Key,PL,TR,Notes
Player_D_02,"Umiejętność dodatkowo wywołuje ten stan u losowego wroga.","Yetenek ayrıca bu durumu rastgele bir düşmana da uygular.",
Player_D_03,"Podwaja ilość stanów <Tag_Neg>Cierpienie</> na wszystkich wrogach.","Tüm düşmanlardaki <Tag_Neg>Acı</> durumlarının sayısını iki katına çıkarır.",
Bukavac_01,"Tempo umiejętności jest tym szybsze, im [HP] wroga są niższe.","Düşmanın [HP]'si azaldıkça yeteneğin Hızı artar.",
Bukavac_02,"Zadaje [DAMAGE] równe 8, za każdego wroga znajdującego się pod wpływem staniu <Tag_Neg>Cierpienie</>.","<Tag_Neg>Acı</> durumu altındaki her düşman için 8 [DAMAGE] verir.",
Bukavac_03,"Wywołuje u wroga <Tag_Neg>Cierpienie</>. Jeżeli jego [HP] są utracone w ponad 50%, inny, losowy wróg także otrzyma ten stan.","Düşmana <Tag_Neg>Acı</> uygular. [HP]'sinin %50'den fazlası kaybedildiyse, rastgele başka bir düşman da bu durumu alır.",
Bukavac_H,"Wywołuje u wszystkich wrogów stan: [Status.Offensive.Dmg_Suffer]","Tüm düşmanlara şu durumu uygular: [Status.Offensive.Dmg_Suffer]",
Djinn_03,"Przywraca ci [HP] równe [GameplayEffect.Instant.Heal.Hp.Djinn].","[GameplayEffect.Instant.Heal.Hp.Djinn] kadar [HP]'ni yeniler.",
Djinn_H,"Wywołuje u wszystkich wrogów stan: [Status.Offensive.Dmg_Debt]","Tüm düşmanlara şu durumu uygular: [Status.Offensive.Dmg_Debt]",
Golem_01,"Spowalnia zaplanowane działanie wroga, ale nie więcej niż o 2 rundy.","Düşmanın planlanmış eylemini yavaşlatır, en fazla 2 tur kadar.",
Golem_02,"Jeśli [FOCUS] wroga jest niepełne, umiejętność zada podwójne [DAMAGE].","Düşmanın [FOCUS]'u tam değilse, yetenek iki kat [DAMAGE] verir.",
Golem_03,"Jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>, umiejętność zada podwójne [DAMAGE].","Düşman <Tag_Neg>Acı</> durumu altındaysa, yetenek iki kat [DAMAGE] verir.",
Krampus_01,"Przywraca całe twoje [FOCUS], ale w zamian tracisz [HP] w przeliczeniu 1:1.","[FOCUS]'unu tamamen yeniler, ama karşılığında 1:1 oranında [HP] kaybedersin.",
Krampus_03,"Zadaje [DAMAGE] 5x większe niż suma brakującego [FOCUS] wszystkich wrogów.","Tüm düşmanların eksik [FOCUS] toplamının 5 katı [DAMAGE] verir.",
