"Hash","NodeName","PL"
"9150E4124548F3A7BFDC218C1DD36CC2","sq001_journal","Horyzont wspomnień"
"2832DF9344676991B77090846BDC7FFC","sq001_journal","Warszawa w mojej pamięci, to dzień, w którym zginął Mieszko Secemin, powiślański lichwiarz. Wciąż widuję go w koszmarach. Może wizyta na Powiślu w końcu uspokoi moje sny?"
"BCBC55D541284339C39E069923AF50F5","sq001_journal","Czuję, że Upyr chce mi coś powiedzieć."
"92F118B34E2FBB92A2E46294BD646146","sq001_journal","Siódme urodziny, Ligii i moje. Słoneczne, beztroskie popołudnie i niespodziewany widok nagiej czaszki Upyra. Zobaczyłem go wtedy po raz pierwszy. Nie spodziewałem się, że nigdy mnie już nie opuści."
"44F585BF4767B3460E8998876BF03F99","sq001_journal","Kiedy miałem dziesięć lat, dostałem cenną lekcję. Ludzie nie poważają tych, którzy, dzięki Percepcji, potrafią odczytać ich sekrety z przedmiotów."
"5D777EF8480162C19E3EE0A6573C2772","sq001_journal","Kiedyś przekonałem Ligię, żeby pohandryczyła się z ojcem, aby uniknąć rodzinnego wyjazdu nad morze. Stanisława trafił jasny szlag, a ja głowiłem się potem, czy to był efekt Manipulacji, czy siła bliźniaczej więzi."
"5DD9A55444491D449965B397435F7080","sq001_journal","Na czternaste urodziny, dostałem od matki grymuar. Zawarłem wtedy Pakt z Upyrem. Byłem Dumny. Jednak ojciec nie uważał, abym był na to gotów. Może miał rację."
"B99E7B704ECC37C3F0929182DA47586A","sq001_journal","Gdy mialem piętnaście lat, ojciec Abaurycego wpadł w kłopoty finansowe. Chciałem pomóc przyjacielowi. Za wszelką cenę. Czy okazała się zbyt wysoka?"
"AA9A48BB4EBB21F5FCFE5DA0ACA43BDD","sq001_journal","Moja Duma wygrała. Uzbrojeni w thaumaturgię i pistolet Stanisława, poszliśmy z Abaurycym do Secemina. Nie wiem, który z nas pociągnął wtedy za spust. Lichwiarz zginął, a potem wszystko potoczyło się bardzo szybko. Ojciec był wściekły, Niedzice trafili na bruk, mnie wygnano do Paryża. Jak zbilansować taki rachunek?"
"167F535E45E2ABFC1C07CF889A6B539B","sq001_journal","Czemu mi to przypominasz? Mogłem coś zmienić? Wybrać inaczej? Kim byłbym wtedy? Duma z pewnością ma na mnie swój wpływ, ale dokonuję sam tych wyborów. Wszystko, co do tej pory zrobiłem, zawiodło mnie tu, gdzie jestem."
"89BE476E4D1B45C7806779AE1CC84D8E","sq001_journal","Upyr zamilkł. Muszę poczekać na rozwój wydarzeń."
"1FF2CEF84A6E9E25A4BF78AC579399DF","sq001_journal","Odwiedź starą siedzibę lichwiarza z Powiśla"
"7AD2455A482F4978ECB3718BE63E165F","sq001_journal","Dowiedz się, czego chce Upyr"
"DEEDCD9848D0CDCED220E19521E18083","sq001_journal","Znajdź drogę we mgle"
"2D8851CC4D883F569C9055A629F159E0","sq001_journal","Poczekaj na rozwój wydarzeń"
