"Hash","NodeName","PL"
"47B281CA4BA96D65BB527A8B9FFB3F56","CinematicNode_Choice_0","Powiedz, że sam to zrobisz."
"EB3FC77646C98ECB6D6333B80DBB1179","CinematicNode_Choice_0","Powiedz, że na nich liczysz."
"2BCF992641B59CCFDB4356AC78AD3446","CinematicNode_Choice_0","1"
"17560A72471651699783E1BA723758A3","CinematicNode_Choice_0","2"
"32C67B2A4A29C2B27C1073B6380122E7","CinematicNode_Response_0","Dobry wieczór. Pana zaproszenie?"
"EB87EBA34C29C97CAB9FDA91E98A6CE0","CinematicNode_Response_0","Nie wiesz, kim jestem?"
"F30F8969428CA80325C8D5936C3DBED9","CinematicNode_Response_0","O... ob... obawiam się, że nie."
"2D4B882C447AACEB2F5AAD8617A5E6BD","CinematicNode_Response_0","Generał-gubernator szuka mnie po całym mieście. Chcesz to z nim wyjaśniać?"
"D993BBF64FDA183B9EEBC18E11B802E1","CinematicNode_Response_0","Nie, oczywiście, że nie. Miałem na myśli... proszę, niech państwo wchodzą."
"F6E7D8524B11B849475257B4AB026A7B","CinematicNode_Response_0","Pan zaprasza."
"0FBB670A48036DC738AFF1B5E1B4E7E1","CinematicNode_Response_1","Co, czekacie na zbawienie? Bez obaw. Ogóras już działa."
"F2F27CDD4AC553C9BD4B6B851C714B32","CinematicNode_Response_1","Słyszeliście? To nasz znak."
"85706ECD46F35D6296C752A69A59C840","CinematicNode_Response_1","<i>Blyat!</> Stój tu."
"E2D86F284112D27DD351CDA44B1D9979","CinematicNode_Response_1","Panie przodem."
"D3461835485909B185B06B8C0C7BE20E","CinematicNode_Response_1","Ale państwo nie mogą..."
"A13C45EA4C16A684E2EA96B19EE895CD","CinematicNode_Response_1","..."
"24C4BFD9453ED7A23BA7AC9594BA673B","CinematicNode_Response_10","Sam to zrobię."
"FC1AF8C649D7035669D141AB494643D9","CinematicNode_Response_11","Zostawcie to mnie."
"1F0CD6714DB50AF3DE12CBBAF1B8D341","CinematicNode_Response_2","Panowie, ja to załatwię. Po prostu idźcie za mną."
"EB9051D549C6A2EB16C866A3A09BA42A","CinematicNode_Response_2","Państwa zaproszenie?"
"0E218F8F4CADEB21E7E628A145DF8426","CinematicNode_Response_2","Jestem Madame Samira, a to są moi asystenci. Hrabina Lermontowa oczekuje, że postawię jej tarota."
"FC42F07A4C1CEAFF2E197F91B85CCBE9","CinematicNode_Response_2","Hrabina Lermontowa? Oczywiście. Ale pani towarzysze..."
"17B8472142648651D1801D9E56193C5F","CinematicNode_Response_2","..."
"E1378C384BA37F8EFC7E7ABA1BCF58C6","CinematicNode_Response_2","Oczywiście, proszę wejść."
"5B418CA9484B5B758F1108A77727291A","CinematicNode_Response_3","..."
"192D7C214EF0A83CAE93038B6826233A","CinematicNode_Response_4","A więc, tak. Niech mnie Allah prowadzi."
"E3AB80FB4A649A0466F200BE8575A79D","CinematicNode_Response_4","Zawsze tak robi?"
"12DB827440DE6B2EA48FF1870765CC46","CinematicNode_Response_4","..."
"9D855F774734D8173A3A09B2FEE69035","CinematicNode_Response_4","No, no."
"2C41A61A43A98159FBB1F791E873827C","CinematicNode_Response_4","Niech wasz Bóg ześle wam łaskę słusznych decyzji. Ja i moi towarzysze chcielibyśmy wejść."
"BF2285D046A48B284C8A7CAE2C8466C6","CinematicNode_Response_4","O... oczywiście, szanowni państwo. Tędy."
"C863E0E74B4BFA93B5B583B5C9EBBF8B","CinematicNode_Response_4","Idziemy?"
"8A4866634BF5E1907F683BA2AB9E7209","CinematicNode_Response_5","No, teraz to nawet przyjemnie się na was patrzy."
"BCFE14614F5E5290222245BB3DC9946E","CinematicNode_Response_6","Chyba... chyba ci ludzie się tu nie wedrą? Prawda?"
"3AF747C945A5EA932F11D7BC128DF670","CinematicNode_Response_6","Uśmiechaj się i sprawdzaj zaproszenia, <ru>parnishka</>."
"3759EF9D4E360132C7484FA87C855EAC","CinematicNode_Response_7","Proszę, polegam na was."
"28CA41CF41C609C37BE9918E31717912","CinematicNode_Response_8","Wasze grymuary są dobrze ukryte? To zostaje kwestia przejścia przez bramę."
"F7281481483BA7A0B9498993AF65A799","CinematicNode_Response_9","Sugestie?"
