"Hash","NodeName","PL","TR","Notes"
"9150E4124548F3A7BFDC218C1DD36CC2","sq001_journal","Horyzont wspomnień","Anıların Ufku","Görev başlığı"
"2832DF9344676991B77090846BDC7FFC","sq001_journal","Warszawa w mojej pamięci, to dzień, w którym zginął Mieszko Secemin, powiślański lichwiarz. Wciąż widuję go w koszmarach. Może wizyta na Powiślu w końcu uspokoi moje sny?","Benim hafızamda Varşova, Powiśleli tefeci Mieszko Secemin'in öldüğü güne eş. Onu hâlâ kâbuslarımda görüyorum. Belki Powiśle'ye uğramak rüyalarımı nihayet yatıştırır.","lichwiarz → tefeci"
"BCBC55D541284339C39E069923AF50F5","sq001_journal","Czuję, że Upyr chce mi coś powiedzieć.","Upyr'in bana bir şey söylemek istediğini hissediyorum.",""
"92F118B34E2FBB92A2E46294BD646146","sq001_journal","Siódme urodziny, Ligii i moje. Słoneczne, beztroskie popołudnie i niespodziewany widok nagiej czaszki Upyra. Zobaczyłem go wtedy po raz pierwszy. Nie spodziewałem się, że nigdy mnie już nie opuści.","Yedinci yaş günümüz, Ligia'nın ve benim. Güneşli, kaygısız bir öğle sonrası ve hiç umulmadık bir an Upyr'in çıplak kafatasının görüntüsü. Onu o gün ilk kez gördüm. Beni bir daha asla terk etmeyeceğini hesaba katmamıştım.",""
"44F585BF4767B3460E8998876BF03F99","sq001_journal","Kiedy miałem dziesięć lat, dostałem cenną lekcję. Ludzie nie poważają tych, którzy, dzięki Percepcji, potrafią odczytać ich sekrety z przedmiotów.","On yaşındayken değerli bir ders aldım. İnsanlar, Algı sayesinde sırlarını eşyalarından okuyabilenlere saygı duymaz.","Percepcja → Algı (glossary)"
"5D777EF8480162C19E3EE0A6573C2772","sq001_journal","Kiedyś przekonałem Ligię, żeby pohandryczyła się z ojcem, aby uniknąć rodzinnego wyjazdu nad morze. Stanisława trafił jasny szlag, a ja głowiłem się potem, czy to był efekt Manipulacji, czy siła bliźniaczej więzi.","Bir seferinde Ligia'yı, aile tatilini denize gitmekten kurtarmak için babamla çekişmeye ikna etmiştim. Stanisław köpürdü; ben ise sonradan bunun Manipülasyon'un etkisi mi yoksa ikiz bağının gücü mü olduğuna kafa yordum.",""
"5DD9A55444491D449965B397435F7080","sq001_journal","Na czternaste urodziny, dostałem od matki grymuar. Zawarłem wtedy Pakt z Upyrem. Byłem Dumny. Jednak ojciec nie uważał, abym był na to gotów. Może miał rację.","On dördüncü yaş günümde annemden bir grimuar aldım. O gün Upyr ile Ant bağladım. Kibirliydim. Gelgelelim babam buna hazır olduğumu düşünmüyordu. Belki de haklıydı.","Byłem Dumny → Kibirliydim (Duma/Kibir)"
"B99E7B704ECC37C3F0929182DA47586A","sq001_journal","Gdy mialem piętnaście lat, ojciec Abaurycego wpadł w kłopoty finansowe. Chciałem pomóc przyjacielowi. Za wszelką cenę. Czy okazała się zbyt wysoka?","On beş yaşındayken Abaurycy'nin babası parasal sıkıntıya düştü. Dostuma yardım etmek istedim. Ne pahasına olursa olsun. Bedel çok mu yüksek çıktı acaba?","PL tipo: mialem"
"AA9A48BB4EBB21F5FCFE5DA0ACA43BDD","sq001_journal","Moja Duma wygrała. Uzbrojeni w thaumaturgię i pistolet Stanisława, poszliśmy z Abaurycym do Secemina. Nie wiem, który z nas pociągnął wtedy za spust. Lichwiarz zginął, a potem wszystko potoczyło się bardzo szybko. Ojciec był wściekły, Niedzice trafili na bruk, mnie wygnano do Paryża. Jak zbilansować taki rachunek?","Kibrim galip geldi. Tılsımkârlık ve Stanisław'ın tabancasıyla donanmış halde, Abaurycy ile birlikte Secemin'in üstüne gittik. Tetiği o zaman hangimizin çektiğini bilmiyorum. Tefeci öldü; sonra her şey çok hızlı akıp gitti. Babam köpürdü, Niedzice'ler sokağa düştü, beni Paris'e sürgün ettiler. Böyle bir hesap nasıl denkleştirilir?",""
"167F535E45E2ABFC1C07CF889A6B539B","sq001_journal","Czemu mi to przypominasz? Mogłem coś zmienić? Wybrać inaczej? Kim byłbym wtedy? Duma z pewnością ma na mnie swój wpływ, ale dokonuję sam tych wyborów. Wszystko, co do tej pory zrobiłem, zawiodło mnie tu, gdzie jestem.","Bunu bana niçin hatırlatıyorsun? Bir şeyi değiştirebilir miydim? Farklı mı seçebilirdim? O zaman kim olurdum? Kibir'in üzerimde şüphesiz bir tesiri var, ama o seçimleri yapan benim. Bugüne kadar yaptığım her şey beni olduğum yere getirdi.",""
"89BE476E4D1B45C7806779AE1CC84D8E","sq001_journal","Upyr zamilkł. Muszę poczekać na rozwój wydarzeń.","Upyr sustu. Olayların akışını beklemeliyim.",""
"1FF2CEF84A6E9E25A4BF78AC579399DF","sq001_journal","Odwiedź starą siedzibę lichwiarza z Powiśla","Powiśleli tefecinin eski mekânına uğra","Quest objective"
"7AD2455A482F4978ECB3718BE63E165F","sq001_journal","Dowiedz się, czego chce Upyr","Upyr'in ne istediğini öğren",""
"DEEDCD9848D0CDCED220E19521E18083","sq001_journal","Znajdź drogę we mgle","Sisin içinde yolu bul",""
"2D8851CC4D883F569C9055A629F159E0","sq001_journal","Poczekaj na rozwój wydarzeń","Olayların akışını bekle",""
