"Hash","NodeName","PL","TR","Notes"
"1CA838624AC9E9B59FE566846EEFA650","CinematicNode_Choice_0","Powiedz, że wiesz już wszystko.","Artık her şeyi bildiğini söyle.",""
"668764564D82DFAE24A81E8061B08D1D","CinematicNode_Choice_0","Zapytaj, co Chajat pamięta z przywołania.","Chajat'ın çağırma anından ne hatırladığını sor.",""
"37EDDEA143A98D8A87E5A488BEA47FA4","CinematicNode_Choice_0","Powiedz, że musisz się rozejrzeć.","Etrafa bakınman gerektiğini söyle.",""
"63854012413A5CF0B4C7E8AB4D068402","CinematicNode_Choice_0","1","1",""
"79EF16904FF634E162AEC5B62D10B674","CinematicNode_Choice_0","2","2",""
"5F5354A84E5A4F4675965F870E8BA3C8","CinematicNode_Choice_0","3","3",""
"AABE205C4B3B889A69F3B59218426D26","CinematicNode_Choice_1","Rozwiąż mu język.","Dilini çöz.",""
"740669284A3317BA96659E9604AB6630","CinematicNode_Choice_1","Zostaw go w spokoju.","Onu rahat bırak.",""
"A5416D7A4CD08333CA963185EE1E5E3B","CinematicNode_Choice_1","1","1",""
"E8FD644E40BA67694B3CE983AF917019","CinematicNode_Choice_1","2","2",""
"988E5190450B6D5F81B54FB2D4D84754","CinematicNode_Choice_10","Wzrusz ramionami.","Omuz silk.",""
"C5AA9B77443EC790296F53A6AADD6B18","CinematicNode_Choice_10","Przyznaj, że mogłeś przesadzić.","Abartmış olabileceğini kabul et.",""
"FFC4927B4D24FF4D799000AB5850AA79","CinematicNode_Choice_10","1","1",""
"7E795A4D4F384E88742C2C93B49EA824","CinematicNode_Choice_10","2","2",""
"ABAF35A24F81C4D16D37FD8B00FACDC9","CinematicNode_Choice_11","Powiedz, że to nieistotne.","Önemsiz olduğunu söyle.",""
"E384E1DC4F0AB08EF357D888AE972D4D","CinematicNode_Choice_11","Potwierdź.","Onayla.",""
"E21F33E54CC06FF73778BDBAF19F33FA","CinematicNode_Choice_11","1","1",""
"0A584D894F8A87B5B571B09551BDD28C","CinematicNode_Choice_11","2","2",""
"DC543422432F71786EF749A7605D344B","CinematicNode_Choice_2","Zwróć uwagę na zrujnowaną ścianę.","Yıkılmış duvara dikkat çek.",""
"0E6040FD4C4637F974056F987CE88D87","CinematicNode_Choice_2","Wskaż na wiadra z gliną.","Killi kovaları göster.",""
"566332054EA23C4C6D73BBB00A800531","CinematicNode_Choice_2","Opowiedz o zapisanym kawałku materiału.","Üzerinde yazı olan kumaş parçasını anlat.",""
"A52FC44746240A5DE342FF83CE20B592","CinematicNode_Choice_2","1","1",""
"762FA3DB4F8AE9F144D1F993407B836E","CinematicNode_Choice_2","2","2",""
"A4A2848E43AF6417B4B8E08F94B7826F","CinematicNode_Choice_2","3","3",""
"04CAA4CC4D2E3AA02A27A0A2C95408A7","CinematicNode_Choice_6","Powiedz, że ojciec nie zasłużył na klątwę.","Babanın laneti hak etmediğini söyle.",""
"1BB90B2440722FA64B87A8A509857D94","CinematicNode_Choice_6","Przyznaj, że ojcu należała się kara.","Babanın ceza hak ettiğini kabul et.",""
"BF1B145C4AEB9AB2DD3301AD2FB40996","CinematicNode_Choice_6","Oświadcz, że nie będziesz go teraz oceniał.","Şimdi onu yargılamayacağını söyle.",""
"A0384E664D4F4A444B46FEA4AF89CA4C","CinematicNode_Choice_6","1","1",""
"25CE676347B59BE3536FFA895660E161","CinematicNode_Choice_6","2","2",""
"CDD7DBA44ADF06553E9DEEB13F0274C8","CinematicNode_Choice_6","3","3",""
"3AA1E1F8443FEB029A8150B318860E71","CinematicNode_Choice_7","Powiedz, że dał się przyłapać.","Kendini ele verdiğini söyle.",""
"3A8B89FF4441191D305D039E7CCFD104","CinematicNode_Choice_7","Powiedz, że skrzywdził człowieka.","Bir insana zarar verdiğini söyle.",""
"C17B6B254CA8900B7B5EDCA00362DC12","CinematicNode_Choice_7","Powiedz, że pozwolił, aby klątwa przeszła dalej.","Lanetin daha ileriye geçmesine izin verdiğini söyle.",""
"046D94F941A93F2FD6BC85B73C4AC414","CinematicNode_Choice_7","1","1",""
"84AAE72D488AACFA02BC3CAC66E249D0","CinematicNode_Choice_7","2","2",""
"AB9D4CDF48ECCFFBEBC3C4996712F65B","CinematicNode_Choice_7","3","3",""
"EC04F0714DD8BEF3FBDC07A16E2AB623","CinematicNode_Choice_8","Uważasz, że kara ojca nie powinna dotyczyć jego dzieci.","Babanın cezasının çocuklarını kapsamaması gerektiğini söyle.",""
"2960C3A6476D734B4D0FF59A34C73EC8","CinematicNode_Choice_8","Sądzisz, że ojciec stanął przed wyborem i wybrał słusznie.","Babanın bir seçimle karşılaştığını ve doğrusunu seçtiğini söyle.",""
"2522EFDB4632B1B697CB1AB11411B2C3","CinematicNode_Choice_8","Powiedz, że żartujesz. Od zawsze życzyłeś ojcu źle.","Şaka yaptığını söyle. Hep babanın kötülüğünü istedin.",""
"42ABB7CC4D410F6142D4BD93B4524E01","CinematicNode_Choice_8","1","1",""
"7346B6BE444B79824234E484C02CF89E","CinematicNode_Choice_8","2","2",""
"07EF357D48F6509999EFE9A87C4B2AFA","CinematicNode_Choice_8","3","3",""
"209F49464D62160B645B85B035F98FCA","CinematicNode_Choice_9","Opuść podziemia.","Zemin kattan çık.",""
"8C2DE3414AB06831CC2CCB92E57FCF5D","CinematicNode_Choice_9","Powiedz, że wyjdziesz sam.","Tek başına çıkacağını söyle.",""
"6B81D7EF40AC8232C360A187E7B5CF7D","CinematicNode_Choice_9","1","1",""
"9C37E1C74E13170F2F5070AD95B1D0CC","CinematicNode_Choice_9","2","2",""
"6738E5114B67B24F639899AB29752130","CinematicNode_Response_0","Długo to jeszcze potrwa?","Ne kadar sürecek daha?",""
"1BC2B5834F9891C31AB84C8E214B54C1","CinematicNode_Response_1","...","…",""
"F3A321A34DBE5FA819259A87C4BA0CD3","CinematicNode_Response_10","Twoje wspomnienie nabiera kształtu i formuje się w słowa. Mów do mnie, Mordechaju.","Anın biçim alıyor ve sözlere dönüşüyor. Benimle konuş Mordechaj.",""
"3D6A616247BEED74A4D0FB930BDD4715","CinematicNode_Response_10","...","…",""
"2D79B3CB43131C821E5218850B079DB4","CinematicNode_Response_10","Czuję... zimno. Glina przenika palce zimnem, do kości. Ale lepiony godzinami kolos jest niemal gotowy.","Hissediyorum… soğuğu. Kil parmaklarımdan içeriye, kemiklere kadar soğukla işliyor. Ama saatlerdir şekil verdiğim dev neredeyse tamam.",""
"6838342446BF27C0E5204E9A2074A338","CinematicNode_Response_10","Sofer wymawia hebrajską formułę, półgłosem, ale jego słowa pulsują w moich skroniach i... duszy. Kolos ożywa... i patrzy na mnie!","Sofer İbranice bir formülü alçak sesle mırıldanıyor, ama sözleri şakaklarımda ve… ruhumda çarpıyor. Dev canlanıyor… ve bana bakıyor!",""
"C5827BFA48B4114FF80F85B989A9C24B","CinematicNode_Response_10","Co Sofer wtedy mówił?","Sofer o zaman ne söylüyordu?",""
"09A21CBC46F72AF9F585529BCA5087B8","CinematicNode_Response_10","Nie, nie... nie wiem.","Yok, yok… bilmiyorum.",""
"7C3306244DD952187387F09077EF5993","CinematicNode_Response_10","Mów!","Söyle!",""
"F2E406D64D11A3D5599712A9D2C6BE3B","CinematicNode_Response_10","Nie słyszałem, zaklinam, że nie słyszałem! Naprawdę! Dosyć, błagam...","Duymadım, yemin ederim duymadım! Gerçekten! Yeter, yalvarırım…",""
"DC87B12740A688C067360E8DE7884693","CinematicNode_Response_10","Dosyć! Twój ród i twoja krew, słusznie zostaliście przeklęci! Dość!","Yeter! Soyun ve kanın hak ederek lanetlendiniz! Yeter!",""
"252F001F451A691B9B5E558C8EFAE1BB","CinematicNode_Response_10","Chajat...","Chajat…",""
"87FD102240FBC0168AB4DC829AEEB26E","CinematicNode_Response_11","Jak chcesz.","Nasıl istersen.",""
"4B0E459646D5D4706D87CABBC5A1EE31","CinematicNode_Response_11","W przeciwieństwie do ojca, rozumie pan słowo ""nie.""","Babanızdan farklı olarak ""hayır"" sözünü anlıyorsunuz.",""
"4149681A4AF69A955923E489AF2E7C06","CinematicNode_Response_12","To miejsce niczego więcej mi nie powie.","Bu yer bana başka bir şey söylemez.",""
"EA3CD935476591CFB0130EB096953D08","CinematicNode_Response_12","A czego sie pan dowiedział?","Peki neyi öğrendiniz?",""
"ED0E21384823B7B03B5440A0A2023765","CinematicNode_Response_13","Z tej gliny ulepiono skorupę,  którą Sofer natchnął salutorem.","Bu kilden, Sofer'in içine salutor üflediği bir kabuk yoğruldu.",""
"E76C18C3488E2AA6ECE3AF9BE40DED5F","CinematicNode_Response_14","Przekazał te klatwę mnie i mojej siostrze.","O laneti bana ve kız kardeşime miras bıraktı.",""
"BB1A93F64E4F14DDC43A1196B05015B7","CinematicNode_Response_14","Ten ""wielkim thaumaturg"", nie zdołał pozbyć klątwy, albo nie chciał tego zrobić.","O ""büyük tılsımkâr"" ya laneti söküp atmayı başaramadı, ya da başarmak istemedi.",""
"09201FB94E1B41B71B847EAE4EDB3DFD","CinematicNode_Response_14","Panie Szulski, znałem Stanisława i wiem, że on nigdy nie chciałby krzywdy pańskiej, czy pańskiej siostry. To był mój błąd, moja wina.","Bay Szulski, Stanisław'ı tanırdım ve bilirim ki sizin ya da kız kardeşinizin zarar görmesini asla istemezdi. Bu benim yanılgımdı, benim kabahatim.",""
"ED6BF4CD475487F0615C0E92145D43E4","CinematicNode_Response_14","Uważaj, zaczynasz bronić człowieka, którego chciałeś zabić.","Dikkat et, öldürmek istediğin adamı savunmaya başlıyorsun.",""
"90C47AC343BAE6F7BB143FAA8B452C05","CinematicNode_Response_14","I z pewnością poniosę za to swoją karę.","Ve bunun cezasını elbette çekeceğim.",""
"04810EEC40A2752B8E43DAA66F9913A4","CinematicNode_Response_15","Z serca mówię panu, że gniew i duma to źli doradcy. Wiem coś o tym, ale dla mnie już jest za późno. Pan jeszcze może ocalić siebie. Będę o panu myślał.","Yürekten söylüyorum: öfke ve kibir kötü danışmanlardır. Bu konuda az buçuk bilgim var, ama benim için çok geç. Siz kendinizi kurtarabilirsiniz hâlâ. Sizi düşüneceğim.","duma=Kibir glossary"
"40AD06244CE23273D4115B82A25C729E","CinematicNode_Response_16","Mam nadzieję, że przewalczy pan w sobie rodzinną dumę i pychę, która panem rządzi.","Size hükmeden o aile kibrini ve gururunu içinizde alt etmenizi ümit ediyorum.",""
"E56AC8594940B4D91AB58E8D9115842D","CinematicNode_Response_17","Kim wy jesteście, albo Sofer, żeby decydować jaka kara komu się należy?","Siz kimsiniz, ya da Sofer, kime hangi cezanın hak olduğuna karar verecek?",""
"7726C5B648D60AB53442DDB6468D69FD","CinematicNode_Response_18","...","…",""
"50FED58A4A6AA50046B1338B7AEF1094","CinematicNode_Response_2","Nic dziwnego, że dach dziurawy, jak fundamenty się sypią.","Temeller dökülüyorsa çatının delik olmasına şaşmamalı.",""
"C84E959845591FD92C90FBA1EDD03356","CinematicNode_Response_2","Piękna metafora, Panie.","Ne güzel bir istiare efendim.",""
"964E8E534EB674DACB7A3EA6EE2DA969","CinematicNode_Response_2","Ale w tym co tu zaszło, nie było Boga, prawda?","Ama burada olup bitende Tanrı yoktu, değil mi?",""
"60E7FDC44E80BC5842A71D8718D7069E","CinematicNode_Response_2","Pan Szulski życzył sobie wiedzieć, skąd pochodzi jego klątwa. Tutaj przybrała swoją formę.","Bay Szulski lanetin nereden geldiğini bilmek istedi. Şeklini burada aldı.",""
"736BA0164C381ED4C44975BD533FF8FE","CinematicNode_Response_26","Ta wyrwa, której nie sposób zignorować, to nowe drzwi, które <i>Golem</> wybił, kiedy powołano go do życia.","Gözden kaçırılması imkânsız olan bu yarık, <i>Golem</> hayata çağrılırken onun açtığı yeni kapıdır.",""
"5C77DC7544DFC324E2BC33A805DE7457","CinematicNode_Response_26","I nikt nic nie widział? Jak to możliwe?","Ve kimse hiçbir şey görmedi mi? Nasıl mümkün olur?",""
"A8F35E5F497ED81450F08B8F9B75F267","CinematicNode_Response_27","Chajat nosił ją i formował ciało <i>Golema</> godzinami.","Chajat onu saatlerce taşıyıp <i>Golem</>'in bedenini yoğurdu.",""
"84AE18614888287CE9578182A184E45F","CinematicNode_Response_28","To są resztki materiału, na którym Sofer coś zapisał, chyba po <i>hebrajsku.</> To może być jakaś modlitwa, inkantacja, nawet zaklęcie.","Bunlar Sofer'in bir şey yazdığı, galiba <i>İbranice</> bir kumaş parçasının artıkları. Bir dua, tılsım okuması, hatta bir büyü olabilir.",""
"FAB2A2624F640FF71CB74C965046ED45","CinematicNode_Response_28","Zbyt mało tego zostało, żeby coś odczytać.","Bir şey okumak için geriye fazla bir şey kalmamış.",""
"4DF477084E3EED5B19E7FFBB110C8FE5","CinematicNode_Response_29","Muszę wiedzieć, co pamiętasz.","Ne hatırladığını bilmem gerek.",""
