Hash,NodeName,PL,TR,Notes
D461B1D347556AA3BED40EB4CDF36F71,CinematicNode_Choice_1,"Spraw, żeby Luka nie podejmował raptownych decyzji.",Luka'nın aceleci karar vermemesini sağla.,
FC4CECE340A2AF2BCBB3769DBDC4B59C,CinematicNode_Choice_1,Przypomnij Luce dowód jego miłości do Vesny.,Luka'ya Vesna'ya olan sevgisinin kanıtını hatırlat.,
42FD60E546257F8C9B8667BAD9FA4202,CinematicNode_Choice_1,Zmuś Vesnę do ucieczki.,Vesna'yı kaçmaya zorla.,
6C3A6A5F44711663D018BC907FBBAB18,CinematicNode_Choice_1,Nic nie rób.,Hiçbir şey yapma.,
78143DC742B5FBE544F240A2F2E6327F,CinematicNode_Response_10,"A ty co tak stoisz? Pozwolisz im na to?! A, tam! Sama sobię poradzę! Wtedy sobie sama poradziłam, to i teraz mogę!","Sen ne öyle duruyorsun? Buna izin mi vereceksin onlara?! Ha, neyse! Kendi başıma halledebilirim! O zaman kendim hallettim, şimdi de yapabilirim!",
38D26E764B37A613DB1A839A1116997B,CinematicNode_Response_10,Coś ty zrobiła...?,Ne yaptın sen…?,
B1AA8D324D9525EA63A06BA1F2FF224D,CinematicNode_Response_10,Idź. Nie musisz na to patrzeć.,Git. Buna bakmana gerek yok.,
CFDCE8F2455FEB98C0F8FFA39604622D,CinematicNode_Response_10,...,…,
4757B8654A8BDEE7121C79B44286F6B4,CinematicNode_Response_11,"Nic nie musi decydować się w tej chwili... Na pewno nie te rzeczy, które są już nieodwracalne.","Şu an hiçbir şeye karar verilmek zorunda değil… En azından geri dönüşü olmayan şeylere.",
99E63AED4BC838708BC2AB8A72C3B529,CinematicNode_Response_11,"No... Właśnie. Rozejść się, łajdaki! Już wystarczy tej krwi we wiosce!",Eee… İşte. Dağılın alçaklar! Köyde bu kadar kan yeter!,
9FCFE36F49E5E05B9FCDDB8BE936BEB1,CinematicNode_Response_11,W jednej wiosce z mordercami?,Katillerle aynı köyde mi?,
679392DB480C779324986497ADA9AAA1,CinematicNode_Response_11,Pierwszy byłeś do lania krwi.,Kan dökmeye en önce sen hazırdın.,
CD3427054F90C50DB909E79BFB9B066A,CinematicNode_Response_11,"To co innego! Do wioski nie mata wstępu, jak tak! Won stąd!","O başka! Madem öyle, köye giriş yok size! Defolun!",
E9E04D6A47F5C3A34D79B9B5BE90BB70,CinematicNode_Response_11,"Ogniem wyczyścimy, co po was we wiosce zostało!",Köyde sizden kalanları ateşle temizleyeceğiz!,
2ED9C47E4B739BE03A18ED9F536DE8A9,CinematicNode_Response_12,"Zastanów się, Luka. Twoje uczucie do Vesny wciąż jest szczere, wiem to. Wysłuchaj jej powodów, zanim cokolwiek zdecydujesz.","Düşün, Luka. Vesna'ya olan duygun hâlâ içten, bunu biliyorum. Bir şey kararlaştırmadan önce onun nedenlerini dinle.",
F98FD79C42D2524E480AECBA2E6D74CF,CinematicNode_Response_12,Tak... ,Evet… ,
6B93473E4A38910FAC1F9EA6CD92A4F4,CinematicNode_Response_12,Do wsi lepiej oboje nie wracajcie!,İkiniz de köye dönmeseniz iyi olur!,
1A3C6DEA42B6C968AA18A4944FEA6EE3,CinematicNode_Response_12,Obejdzie się.,Gerek yok zaten.,
96A4CC1E4B5A70F2F59959A4C3A32E28,CinematicNode_Response_13,Uciekaj...,Kaç…,
E00C6A594C7FBBDD35E33BAC307DD2CD,CinematicNode_Response_13,Zostawcie mnie!,Bırakın beni!,
C1D2C33C43E4C9D81F1BA0B813AC3E1A,CinematicNode_Response_13,Z drogi! Ty już swoje zrobił!,Yoldan çekil! Sen işini çoktan yaptın!,
E71619784F6FB7B9AF4B06981519B721,CinematicNode_Response_13,Jeszcze nie wszystko.,Daha hepsi değil.,
414E569649A96950C59EC5A50C74C5FE,CinematicNode_Response_14,Luka!,Luka!,
5650CBA74897DE54D94348BBA12689B7,CinematicNode_Response_14,Spalić ją!,Yakın onu!,
D87AAC8C4A61DA533FF449A72A7DFA6F,CinematicNode_Response_14,"Tu już nic nie zdziałasz. Była zbrodnia, musi być kara.","Burada artık bir şey yapamazsın. Suç işlendi, ceza olmalı.",
04DE4CA34062C2CC77555792EAC5A525,CinematicNode_Response_15,A ty?,Ya sen?,
