"Hash","NodeName","PL","TR","Notes"
"F21CDE6047447D42965C52BB233E2FC5","CinematicNode_Choice_1","Zapytaj, jak się czuje.","Nasıl hissettiğini sor.",""
"D78FCBAD449A4FC890FF8FA97DE0F1C3","CinematicNode_Choice_1","Nic nie mów.","Bir şey söyleme.",""
"4E7C7C9646263DD9024D6FB57501E8D5","CinematicNode_Choice_1","1","1",""
"2CF7A6A14C7DEC83A919DF850FEBBA0D","CinematicNode_Choice_1","2","2",""
"D00AA7234D1E247E97C8F581ED310112","CinematicNode_Choice_11","Przejdź do wyjaśnień sprawy Golema.","Golem meselesinin açıklamasına geç.",""
"320672DC4EE2D1B4C28F9989E8626DD8","CinematicNode_Choice_11","Dowiedz się, czemu pyta o Ariela.","Ariel'i niye sorduğunu öğren.",""
"36AE8B9F4E75ED3B0F9AC99C5A4A2500","CinematicNode_Choice_11","Powiedz, że powinna odpocząć.","Dinlenmesi gerektiğini söyle.",""
"9B59B8A944C2CB62F5FB2DA97B897C82","CinematicNode_Choice_11","1","1",""
"1DC36E1540513B7A7CD69AA49262B595","CinematicNode_Choice_11","2","2",""
"50C2E98B48FAB4CC4D36F791DBAB1482","CinematicNode_Choice_11","3","3",""
"AE09A5F84F44F5F3E275C9BC2DBC1C71","CinematicNode_Choice_12","Powiedz, że taka była umowa.","Anlaşmanın böyle olduğunu söyle.",""
"DF19D9CA4294BEF0DB7BE8B31B26ADE2","CinematicNode_Choice_12","Przyznaj, że trochę żałujesz tej decyzji.","Bu karardan biraz pişman olduğunu kabul et.",""
"E5F00AF145A0929C8DB5DB9F1BBCEB5F","CinematicNode_Choice_12","1","1",""
"634A52D34BABA828369837A81F9632E2","CinematicNode_Choice_12","2","2",""
"3F616499432F5BABE7B340A6ACBB2D2D","CinematicNode_Choice_17","Wyznaj, że ciągle ją ma.","Onu hâlâ taşıdığını itiraf et.",""
"7DA5A0E84EA2E3F067327EB00344B7E0","CinematicNode_Choice_17","Powiedz, że ją przejąłeś.","Onu üstüne aldığını söyle.",""
"BC71819E48095C484F3E428DF9A831A0","CinematicNode_Choice_17","1","1",""
"E8E7274F48F3119F2B36F893B8275BB3","CinematicNode_Choice_17","2","2",""
"59B5D82F422A3F22219CD983CE9F3840","CinematicNode_Choice_20","Zauważ, że teraz <i>Golem</> może wam służyć.","Artık <i>Golem</>'in size hizmet edebileceğine dikkat çek.",""
"12172D364D97683CC17421AACC0F80FC","CinematicNode_Choice_20","Zapytaj, czy zamierza bronić kryminalisty.","Bir suçluyu mu savunmak niyetinde diye sor.",""
"849EA62046C55035AFB781AA926051D7","CinematicNode_Choice_20","Powiedz, że zrobiłeś to dla niej.","Bunu onun için yaptığını söyle.",""
"66616D6841761CDE359D13B3B6D536D0","CinematicNode_Choice_20","1","1",""
