"Key","Value"
"hair_01","W tym artystycznym nieładzie pobrzmiewają jeszcze echa przeszłości - ta fryzura była niegdyś przemyślana, ale rozbestwiła się pod nieobecność fryzjera."
"hair_02","Przedziałek z boku wysmukla twarz i nadaje jej nieco drapieżnego charakteru."
"hair_03","Uniesione górne partie włosów i krótsze boki - ten styl zdobywa coraz większą popularność za oceanem."
"hair_04","Klasyczna, elegancka fryzura, okiełznana dzięki najlepszej jakości holenderskiej pomadzie."
"special_hair_01","Puszczone na czoło kosmyki dodają nonszalancji i nawiązują do najnowszej mody prosto z francuskich salonów."
"special_hair_02","Niesforny przedziałek manifestuje niechęć do podporządkowania się modowym konwenansom."
"special_hair_03","Kontrolowany chaos i większe kosmyki wygładzone przy pomocy mydła - oto luźna inspiracja stylem nowojorskich gangów."
"special_hair_04","Popularne cięcie 'quarter shingle' to idealna propozycja dla mężczyzn, którzy cenią sobie klasyczną elegancję."
"special_hair_05","'Lwia grzywa' zaczesana do tyłu jest nie tylko spektakularna, ale i wygodna."
"special_hair_06","Całkowite ogolenie głowy odsuwa kolejną wizytę u fryzjera o maksymalną ilość czasu oraz budzi zachwyt miłośników frenologii."
"special_facial_hair_06","Gładko ogolona twarz coraz częściej pojawia się na okładkach magazynów - kto chce podążać za duchem czasu, powinien iść dokładnie w tym kierunku!"
"special_facial_hair_05","Broda à la 'kaczy ogon' to wyrafinowany kształt, który wybierają zazwyczaj najbardziej wymagający klienci."
"special_facial_hair_04","Krótkie wąsy sprawią, że twarz nie będzie wyglądała zbyt młodzieńczo, a do tego są łatwe i wygodne w utrzymaniu."
"special_facial_hair_03","Bokobrody - symbol wysokiej pozycji społecznej i twardego stąpania po ziemi."
"special_facial_hair_02","Cięcie 'imperialne' sprawi, że każdy dżentelmen zyska iście cesarski wygląd."
"special_facial_hair_01","Wąski szpic brody i skrócone wąsy to bardziej praktyczna i wizjonerska wersja najnowszego krzyku w świecie balwierskiej mody."
"facial_hair_01","Starannie przycięte broda oraz wąsy dodają obliczu powagi i stateczności."
"facial_hair_02","Wąsy w stylu 'pikador' dzięki odpowiedniemu uformowaniu i użyciu pomady będą intensywnie przyciągać niewieście spojrzenia."
"facial_hair_03","Broda i zgolone wąsy w stylu 'Dutch' to idealny sposób na to, by szczycić się bujnym zarostem, a przy tym bez skrępowania czerpać radość ze spożywania gęstych zup i sosów."
"facial_hair_04","Broda przycięta w szpic sprawia, że podbródek optycznie się wydłuża, a twarz nabiera smukłości."
"deluxe_hair_01","Fryzura dla ludzi często myślących, co podnoszeniem się linii włosów skutkuje. Niezwykle wyględna. Ukrywa niedostatki, kreuje aurę tajemniczości."
"deluxe_facial_hair_01","Dżentelmana poznasz po wąsie. Zakręcony z fantazją, unurzany w pomadzie jest wyznacznikiem stylu i ponadczasowym afrodyzjakiem dla płci wszelakiej."
