"Hash","NodeName","PL","TR","Notes"
"AA747E7541D3EF6B8A0A4E9920C6A969","q102_readable_chat","A więc sumienie cię ruszyło. Jakie to dla ciebie typowe, że chciałeś je uciszyć pieniędzmi.","Demek vicdanın sızlamış. Onu parayla susturmak istemen sana ne kadar da yakışır.","Wiktor babasına"
"4B266CA84B060AA0144567951E82C865","q102_readable_chat","Tyle z ciebie zostało. Informacja małym druczkiem, która gubi się w gąszczu słów. ","Senden bu kalmış. Küçük puntoyla yazılmış, kelimelerin çalılığında kaybolan bir haber. ",""
"0938AA81485FCF5CCC1558B741E8F194","q102_readable_chat","<i>Paryskie obowiązki</>, też mi. Nie można się było spodziewać po tobie czego innego.","<i>Paris mecburiyetleri</>, hadi canım. Senden başka bir şey beklenemezdi zaten.",""
"5E25396F4F84144288898EB224CE9ADA","q102_readable_chat","To dobry portret. Idealnie oddaje twoją bezduszność.","İyi bir portre. Ruhsuzluğunu kusursuz yansıtıyor.",""
"6187137244A32F34D912E7ABA4CE5739","q102_readable_chat","Ciekawe... Ligia może wiedzieć więcej o tajemniczej ""S.R.""","İlginç… Ligia, esrarengiz ""S.R."" hakkında daha fazla şey biliyor olabilir.",""
"03325C5F4A79F8B624C9509CAB817ADE","q102_readable_chat","Tylko jedno miał ojciec w głowie.","Babamın aklında bir tek şey vardı.",""
"0EEBDF3E40B361CEEFA10BB293A63099","q102_readable_chat","Tatusiowi chyba trząsły się rączki, kiedy to pisał.","Babacığın bunu yazarken elleri titriyormuş galiba.",""
"C9E28AD54B2DFED2848949962DF0F6A6","q102_readable_chat","Gruszki à la Otero? Tutaj? Chwila, to chyba kradzione menu....","Gruszki à la Otero? Burada mı? Bir dakika, bu menü çalınmış galiba….","""…."" dört nokta kaynakta"
"E10CD59B46CA87EC789F479F525C272B","q102_readable_chat","Niektórzy lekarze ostrzegają, by nie przesadzać z dawką.","Bazı hekimler dozu kaçırmamak konusunda uyarıyor.",""
"C79B4956459FF8640F803FA2C2148917","q102_readable_chat","Trochę drogo...","Biraz pahalı…",""
