"Hash","NodeName","PL"
"8D29A2DE43225E0C476654AEF1C282E1","CinematicNode_Choice_0","Wycisz wahanie Hanny, niech odda umowę."
"7418AA3540E8EB262675D4AEE83214F2","CinematicNode_Choice_0","Odejdź."
"433F685C4B095C4713FE97A5F6453997","CinematicNode_Choice_0","1"
"50FB903242DCA0CFE801BD8F69CDE81F","CinematicNode_Choice_0","2"
"11134F91497FCEB9B5116DBD735434E9","CinematicNode_Choice_1","Idź już."
"48317AF84A338855D8FDF7B031EF60DE","CinematicNode_Choice_1","Zapytaj, co naprawdę się wydarzyło."
"EFBA3A994DA3FF6C5E3099896FBCBFC6","CinematicNode_Choice_1","Zapytaj, czemu nie zniszczyła kontraktu."
"4CB464A74E6B9848754AD6AB91D776E0","CinematicNode_Choice_1","1"
"A86A01FA47A01255B44BDCAE62B88DB9","CinematicNode_Choice_1","2"
"78DC1E2E4C82E76A0BA4E094192DB9EE","CinematicNode_Choice_1","3"
"60DE81EB4F9F7BA75836E4A1878AC90A","CinematicNode_Response_0","Jeszcze raz powtarzam, nic nie wiem."
"C995CF9040ACE14803D33FB9091C02FD","CinematicNode_Response_1","..."
"E22460F84B96B8B4A8F2E0B711ED2CDB","CinematicNode_Response_10","Chłopak wypadł z balkonu w Hotelu Imperialnym. Byłaś tam wtedy, kiedy zginął Ludwik, prawda?"
"FBEC72B84CE0689E7E4D42A1BA5F337C","CinematicNode_Response_10","Nic takiego nie pamiętam."
"42D32F9C4F8B1B82E6929B80DF45A8D7","CinematicNode_Response_11","Co tu się dzieje? Ledwo do pracy przychodzę, a tu taki rejwach."
"BAAE1A12433365E41A4A299B396A2A8A","CinematicNode_Response_11","Szef mówi, że pan o mnie pytał. O co chodzi?"
"6413A1294CB4BED7A1273D862DB64B43","CinematicNode_Response_11","Panna Hanna, Wiktor jestem."
"32A693F141897FC3F5473D9DE87E906D","CinematicNode_Response_12","Wiem, że jesteś w posiadaniu pewnego kontraktu. Ktoś w Hotelu Imperialnym chciał zostać trzecim bratem Wright, tylko leciał jeszcze krócej."
"654137A44775EF8440E1578712EF09E2","CinematicNode_Response_12","On cię nasłał, tak? Żeby mnie uciszyć? Zacznę krzyczeć!"
"81F70CAE4DB496F8E46E3BB4E13FBAE6","CinematicNode_Response_12","Nie ma potrzeby. Oddaj mi tylko tę umowę, a zniknę. Zdejmę z ciebie ten ciężar."
"A736BCD54D66CB94B45C08843EE0D331","CinematicNode_Response_12","A weź ją sobie. Nie potrzebuję jej. Kłopoty tylko."
"97DA234442E7696F29688983BE3A0719","CinematicNode_Response_12","Pójdę po nią."
"0CE8EAD04C170C95C9E6B9A513B9BC5A","CinematicNode_Response_13","Ciąży ci posiadanie tej umowy. Uczucie nie do zniesienia, prawda? Sprawia ci wielkie cierpienie."
"0CB89CA94439F7FE672D1683516DF9A9","CinematicNode_Response_13","Twój ból zniknie, jeśli mi ją przekażesz. Dostaniesz swój spokój. Obiecuję."
"A6AB8B7A48AD2347BE7C92B23D7366CA","CinematicNode_Response_13","Ja... Już nie daję rady... nie dam rady..."
"074F6B19413462FAF91DDB9177616733","CinematicNode_Response_13","Przypomina mi o tym, czego nie chcę pamiętać... Oddam."
"936123BF4BA87DBE01F4B38F1425E96D","CinematicNode_Response_14","Proszę, to jest ich umowa."
"93C9DA6B46D240DFCB4A8AAF3A5B2833","CinematicNode_Response_14","Dziękuję."
"B84ECC5B45DA0D832E1087B7EDCEDA04","CinematicNode_Response_15","Powiedz mi, co naprawdę się wtedy stało."
"329C9C764C23F76A6006C480FCB2A8FF","CinematicNode_Response_15","Obaj, Ludwik z Pietią, byli pijani, poszli o zakład. Jeśli Ludwik przejdzie się po balustradzie, Pietia mu zapłaci. Dużo."
"4526B49142F6DA858DA19F95B5380CD3","CinematicNode_Response_15","Ludwik był taki pewny siebie... Zachwiał się i..."
"9093C9404FE127504C2A96B8EE5611B6","CinematicNode_Response_16","Wiem, że spotykałaś się z Ludwikiem, to musiał być dla ciebie cios."
"573A2D2446470C5E7890E0A9CDBAF0A3","CinematicNode_Response_16","Jeszcze raz powtarzam, nic nie wiem."
"86BBB6C0463FCBDB1CAF19B1486159B0","CinematicNode_Response_17","Gdyby te miejscowe ochleje wciąż stały na nogach, inaczej byś pan śpiewał. Proszę dać mi spokój."
"871165F540FFA86E0114B68096B3B3BC","CinematicNode_Response_18","Pójdę już."
"414FCE154E46C2CD0A9FCBAB95C4B70B","CinematicNode_Response_18","Hanka! Kończ to gadanie! Piwo trzeba sprzedawać."
"2DCC7DBD4F210ED1FA84478A99F3E048","CinematicNode_Response_18","Mam nadzieję, że mądrze wykorzystasz tę umowę."
"D031636C48ADA3987334CC8488C07B9F","CinematicNode_Response_18","Co masz na myśli?"
"B3EE6ECD4710686167B20382AC128326","CinematicNode_Response_18","Pietia zasłużył, żeby ucierpieć po tym wszystkim."
"864C7433410021B947B210948CD9269A","CinematicNode_Response_19","Czemu nie pozbyłaś się tej umowy? Mogłaś ją zniszczyć."
"418E909B4457810A02CB6B90121B9422","CinematicNode_Response_19","Chciałam, ale... Bałam się, że Pietia przyśle po mnie kogoś, żeby się chronić. Umowa to dowód jego winy."
"C774029C476B24EC3C0635B410BD544C","CinematicNode_Response_19","Ale to był mój pomysł, żeby ją spisali. Pieniądze przydałyby się Krajewskim. Moglibyśmy się pobrać, wyjechać."
"410017EE4FD08BD32EADA4AF6BD9F12A","CinematicNode_Response_19","Teraz to już bez znaczenia. Zabierz ją."
