"Hash","NodeName","PL","TR","Notes"
"2AA785D840AE2367298B60A4BE01E5A0","CinematicNode_Choice_1","Przywitaj się.","Selam ver.",""
"E6BF892E413D4192610263A97FB0EA76","CinematicNode_Choice_1","Nic nie mów.","Bir şey söyleme.",""
"740603424031D9A36D200495C522E2F6","CinematicNode_Choice_1","1","1",""
"56C1923944D3BB163609308EDC232F08","CinematicNode_Choice_1","2","2",""
"B900CCE44ADF18E6F67824AD0E6B1C78","CinematicNode_Response_0","W porządku. Jak wyglądam?","Hazırım. Nasıl görünüyorum?","Ligia"
"FE7CAE3F466C2DE31DE1D2AF354C747D","CinematicNode_Response_0","Jak zawsze, jesteś bardzo stylowa. Chodź, zanim do nas dotrze, że to nie ma sensu.","Her zamanki gibi çok şıksın. Hadi, kafamıza bunun anlamsız olduğu dank etmeden geç.",""
"BBD276974E205570E02254A73EAB5FA6","CinematicNode_Response_1","...","…",""
"899C4109498F42009D3CEF9D6CE69694","CinematicNode_Response_2","...","…",""
"E9922A6D4A9A5D1F18690C9CB47A9D1F","CinematicNode_Response_3","Możesz uciekać i na krańce ziemi. I tak cię znajdę.","Dünyanın öbür ucuna kaçabilirsin. Yine de seni bulurum.","tehdit halüsinasyonu"
"773351C04D76FFDE363281B92D04C5D6","CinematicNode_Response_3","Pokaż się!","Kendini göster!",""
"C4100BCE4EAC0104472B6CB8FC1715EC","CinematicNode_Response_4","Wiktor? Wiktor. Co ci jest?","Wiktor? Wiktor. Ne oldu sana?","Ligia"
"292B937A4B4A5664ABAEF6A7D5EF4D57","CinematicNode_Response_4","Im dłużej tam stoicie, tym bardziej szkodzicie nam wszystkim.","Orada ne kadar uzun dikilirseniz, hepimize o kadar zarar veriyorsunuz.","maitre d'/kapıcı"
"B1C6D51042A3D51DE77473A0C8AC1796","CinematicNode_Response_5","...","…",""
"AA9E8627417A85C04250E3A8BF265E60","CinematicNode_Response_5","Państwo byli umówieni?","Randevunuz var mıydı efendim?",""
"89D9623D4372AD742B36D3829E855DE9","CinematicNode_Response_6","Jean-Pierre, stary koźle. Przecież to Wiktor.","Jean-Pierre, seni koca teke. Wiktor bu.","anne — şakacı"
"54A44AC642A20EB8EE8FF8AA530619E0","CinematicNode_Response_7","W tych okularach, wyglądasz jak, za przeproszeniem, twój ojciec. Postarzają cię.","Bu gözlüklerle, kusura bakma ama, babana benziyorsun. Yaşlı gösteriyorlar seni.","anne → Wiktor"
"1C98A68942770578AD217F857B252B77","CinematicNode_Response_7","I tyle razy prosiłam, abyś zwracał się do mnie po imieniu.","Bana adımla hitap etmeni kaç kere rica ettim.","anne"
"95ECC97C434C0CDA1A46E5A3E1C2D1EC","CinematicNode_Response_7","Ligio, w tym kolorze ci wybitnie nie do twarzy. Dobiorę ci coś swojego.","Ligia, bu renk sana hiç yakışmamış. Sana kendimden bir şey ayarlayayım.","anne → Ligia"
"BCFEB58543A8556F02CD1EAFA0467839","CinematicNode_Response_7","No dalej, wchodźcie. Macie mi dużo do opowiedzenia.","Hadi, girsenize. Bana anlatacak çok şeyiniz var.",""
"711A00924C7CA483D3A8D38A2FE7F863","CinematicNode_Response_7","Dobry początek.","İyi bir başlangıç.",""
"EAA121FE4C15F8C6252FB6BEEE0ACC61","CinematicNode_Response_8","Mamo. Jean-Pierre.","Anne. Jean-Pierre.",""
