"Hash","NodeName","PL"
"822F5F6E42D49179722A5C988C8B4B69","q201_journal","Wszystkie nasze klątwy"
"0161F20C41A1BA488D11E781AD274BD3","q201_journal","Nieoczekiwanie w porcie pojawił się Golem. Rofe twierdzi, że to ja byłem celem i że Golem ""idzie za krwią"". Dlatego chciałem pomówić z Ligią, ale skończyło się kłótnią. Spróbuję jeszcze raz, rano."
"F131EAF64A1CD4F614BC8F909D27EB35","q201_journal","Jeżeli istnieją jakiekolwiek ślady, które pozwolą mi zrozumieć skąd wziął się Golem i czego ode mnie chce, to znajdują się w papierach ojca. Muszę poszukać w jego gabinecie oraz w sklepie na Mirowie."
"048E944A45A46838790C588A3F53269C","q201_journal","W gabinecie ojca dowiedziałem się, że Golema nasłał na ojca rabin Izaak Sofer, z Synagogi Nożyków. Powinienem z nim porozmawiać."
"58326AC94E7372AC482D9C9CEC4F8E31","q201_journal","Mordechaj Chajat, były subiekt w sklepie ojca, może wiedzieć coś o Golemie. Czas go odszukać."
"CF842D814E413E3F2949DEA681585AA8","q201_journal","A więc Izaak Sofer nie żyje, a nowy rabin, Feldman, nie jest thaumaturgiem. Powinienem sięgnąć do rzeczy jego poprzednika."
"107A7C764E60353F458CDB9FA9320A42","q201_journal","To Mordechaj Chajat życzył sobie nasłania na ojca Golema, a wykonawcą jego woli był stary rabin Sofer."
"11518E1B454848D5106A18AB5739833E","q201_journal","Trafiłem na wzmiankę o Abrahamie Horowitzu, znanym i szanowanym, i zaginionym aptekarzu. Jego apteka jest na południowy zachód od Gościnnego Dworu. Powinienem się tam udać."
"C95D4EAA4BFF18D2A0BEC2A231422610","q201_journal","Mordechaj nie ma zamiaru rozmawiać o przeszłości, a jestem przekonany, że wie sporo. Muszę znaleźć sposób, aby przerwać jego milczenie."
"CFD18B894BDC6FEC258234B79F6AE96C","q201_journal","Ojciec i Mordechaj kiedyś byli przyjaciółmi, ale coś ich poróżnilo. Wściekły Chajat namówił rabina do nałożenia na ojca klątwy Golema. Klątwy, która przeszła na mnie i Ligię."
"5476FDC94B8D7D3B53931292749FB6AE","q201_journal","Rzeczywiście zniknięcie Horowitza jest skutkiem działań ojca. Nie można mu odmówic powodów, aptekarz budował bomby dla socjalistów i narażał na śmierć wielu dobrych ludzi, ale wciąż... Nie wiem, co zrobiłbym na jego miejscu."
"43F782A34BC49AF37F714CAE051707DF","q201_journal","Sprawiłem, że Chajat się otworzył. Chce, żebym udał się z nim do podziemi synagogi."
"463EFD80433D3C80D9840FA5A92BAAAD","q201_journal","Wreszcie wiem, co wydarzyło się w podziemiach, ale wciąż nie mam pojęcia, jak to naprawić. Potrzebuję pomocy. Może rabin Feldman będzie wiedział, co robić?"
"4E50402F455E9CB890A2969CBA439CFF","q201_journal","Wiem, gdzie stary Sofer powołał do życia Golema. Potrzebuję jeszcze pomocy thaumaturga kabalisty, aby raz na zawsze uwolnić nas od klątwy Golema."
"0D3A472D4370AF87EF466AABEF5EE1E3","q201_journal","Odkryj źródło klątwy Golema"
"199C7B9E4D646E0914C26FB8D0C2D054","q201_journal","Połóż się spać"
"D7E0C9694AED926106930AA687D3BEF4","q201_journal","Pomów z siostrą"
"3AF348AF4C606F8EA68D3B86EB10C393","q201_journal","Przeszukaj gabinet ojca"
"71D5093745F43777B6B908B993B3ACE6","q201_journal","Przeszukaj sklep Szulskich na Mirowie"
"0D29E3CD4A4379F4F16485BD11D9BCA6","q201_journal","Wypytaj Ligię o Mordechaja Chajata"
"E794EE764CCB76F52B67A484FB762BB6","q201_journal","Udaj się do Synagogi Nożyków"
"758C975F4EF05F2D2370BA912B3E4FB6","q201_journal","Pomów z rabinem"
"DB67D24D4679895D4E13D28EE5AD8EE7","q201_journal","Spraw, żeby rabin znalazł chwilę na rozmowę"
"F77D3C0847C239BCAC96C49AE0D94CD3","q201_journal","Rozejrzyj się po kancelarii rabina"
"2C4C89194A296856A54C0B9E3E6C5B12","q201_journal","Zbadaj aptekę Abrahama Horowitza"
"A44DF1964E18D1C372A2D7A8F7636342","q201_journal","Pomów z Mordechajem Chajatem"
"004E421F40BA67FAFBA4499152048569","q201_journal","Znajdź sposób na przerwanie milczenia Mordechaja"
"D71CA2D246015283E870A2AF19881581","q201_journal","Skonfrontuj się z Mordechajem"
"A0FBF7354C7A75D6563CF4A3E2641667","q201_journal","Spotkaj się z Chajatem w podziemiach synagogi"
"2E5ADC17484420D44C969EB3651D89B2","q201_journal","Zbadaj podziemia"
"3A5A62A74E28707A646A8FBEEB186F6E","q201_journal","Pomów z Chajatem i Feldmanem"
