Key,PL,TR,Notes
Flaw.Progression.Deed.1,Porywczość,Hiddet,"EN: Vehemence. Vesna'nın Kusuru — ani/öfkeli şiddetli davranış"
Flaw.Progression.Deed.2,Ambicja,Hırs,
Flaw.Progression.Deed.3,Zawiść,Haset,"EN: Malice. Skałon'un Kusuru — kötücül niyet/başkasının iyiliğine tahammülsüzlük"
Flaw.Progression.Heart.1,Duma,Kibir,"Glossary: Duma = Kibir (Wiktor'un Kusuru)"
Flaw.Progression.Heart.2,Zuchwałość,Küstahlık,
Flaw.Progression.Heart.3,Trwoga,Korku,"EN: Fright. Szymon'un Kusuru — ani ürküntü. StatusName_ST Przerażenie=Dehşet ile ayrım için Korku"
Flaw.Progression.Mind.1,Lekkomyślność,Düşüncesizlik,
Flaw.Progression.Mind.2,Zaniedbanie,İhmal,
Flaw.Progression.Mind.3,Egoizm,Bencillik,
Flaw.Progression.Word.1,Intryganctwo,Entrikacılık,
Flaw.Progression.Word.2,Demagogia,Demagoji,
Flaw.Progression.Word.3,Fanatyzm,Fanatizm,
