"Hash","NodeName","PL"
"A29BDD2F4C11C24DFB230A89C899822B","lw_BZR_POI_Readable","Kartka pocztowa"
"D6CBD8C84896DFE183002380AF71B9D6","lw_BZR_POI_Readable","Droga Stryjenko,

bardzo się cieszę, że przyjedziesz. Muszę Ci coś powiedzieć. W mieszkaniu u mojego brata jest najszczęśliwsze miejsce pod słońcem. Znalazłem tam nowych przyjaciół! Musisz to zobaczyć koniecznie.

Antoś

Adres:
Sz. Pani Zofia Mikuszewska
ul. Hoża 17
Warszawa"
"0B5DD4A84985A0F1C79CC38BB6A6D232","lw_BZR_POI_Readable","Kurjer Warszawski"
"8EBD68D84BBA3F0EFEE4FF820F885352","lw_BZR_POI_Readable","Psy rasowe

Spaniele angielskie

Szczenięta po rodzicach nagrodzonych na wystawach polskich i zagranicznych
Pytać pod adresem: Brukowa 34a/3"
"E7D7DA1D4B4595EA18AFF291A623FBF8","lw_BZR_POI_Readable","Liścik"
"235A55834308E14B0874EE857CC9CBEA","lw_BZR_POI_Readable","Sz. Panie Juliuszu,

wielką mi zrobiłeś przykrość podczas ostatniego balu. Panna Jadwiga nie dość, że pochodzi z niezbyt szanowanej rodziny, to jeszcze nie jest wcale urodziwa. Nie rozumiem doprawdy, dlaczego Pan się na nią tak uwziął podczas wszystkich szybkich tańców, kiedy ja stałam z boku i traciłam czas na czczych rozmowach z nudnymi ciotkami.
Pragnąłby Pan się ze mną znów zobaczyć. Zgoda, ale pod jednym warunkiem: jako dowód Pana oddania i zapewnienie o życzliwości przyjmę podarek. U p. Mikuszewskiego na ul. Brukowej można nabyć prezent, który wprawi mnie w lepszy nastrój.

Bez owego podarunku proszę się nie pokazywać.
Marianna"
"CA9E77944CB73AA0BA1E20983F3A2203","lw_BZR_POI_Readable","List"
"F7694B4D46BF0723F68553A9F91421C5","lw_BZR_POI_Readable","Droga Jadwisiu,

pytasz mnie, jak mi się mieszka z cioteczką i wujem. Bardzo wiele tu wygód i pod tym względem jest to zmiana na lepsze. Ostatnio jednak zaobserwowałam, jak dziwne zwyczaje ma mój wuj (słyszałaś już zapewne o nim - nazywa się Adam Bałucki). Ma jeden pokój, obok sypialni, do którego nie pozwala nikomu wchodzić. Zanosi tam często duże paczki. Kiedy pytam o to ciocię, ta odpowiada, że posiada on kolekcję owadów, o którą bardzo dba. Ja jednak nie dowierzam, bo kto by chciał zbierać insekty i tak zazdrośnie strzec do nich dostępu? Odwiedź mnie koniecznie, bo musimy rozwiązać wspólnie tę zagadkę. 

Twoja oddana przyjaciółka,
Anna"
"831489B245BB18008DDDBFA16CFBF031","lw_BZR_POI_Readable","Broszura patriotyczna"
"4E13E2F947E6A4E479554F85FC6A4ADF","lw_BZR_POI_Readable","Nadesłane.

Klub Miłośników Rzadkich Książek organizowany przez A. Bałuckiego zaprasza na spotkania na ul. Targowej 39a w każdą środę o godz. 7-ej wieczór."
"72A9D507461F1729111E7B9B8F5F8222","lw_BZR_POI_Readable","Zgubiona paczka"
"75483C6046BB62EBB84B06B5B41D7068","lw_BZR_POI_Readable","Paczka z książką [adres: W. P. Adam Bałucki, ul. Targowa 39a, Warszawa]"
