Key,PL,TR,Notes
PG_Baalberith,Odrażający pan much.,İğrenç Sinekler Efendisi.,"Baalberith = Süleyman'ın ruhları listesi"
PG_Bukavac,Szkaradny dziwotwór. Inkarnacja kary za zbrodnicze czyny.,Çirkin bir yaratık. Suç eylemlerinin cezasının tecessümü.,
PG_Chocholk,Zwid apatii i marazmu.,Apati ve çöküşün hayaleti.,
PG_Djinn,Prawieczna i zwodnicza istota.,Kadim ve aldatıcı bir varlık.,
PG_Dybbuk,Żałobne widmo. Żeruje na chciwym pożądaniu.,Yaslı bir hayalet. Açgözlü arzulardan beslenir.,
PG_Erlik,"Władca podziemi, mszczący każdy atak na Thaumaturga.","Yeraltının hükümdarı; Tılsımkâra yapılan her saldırının intikamını alır.",
PG_Golem,Gliniane monstrum.,Kilden canavar.,
PG_Hashihime,"Zdradzone mamidło, które po długiej modlitwie zaczyna mścić się na swoich wrogach.","İhanete uğramış bir sanrı; uzun bir duanın ardından düşmanlarından intikam almaya başlar.",
PG_Krampus,Złośliwy czart.,Zalim bir iblis.,
PG_Lelek,Psotny chochlik wabiony ludzką głupotą lub duszą na krawędzi śmierci.,İnsan aptallığına veya ölümün eşiğindeki ruha kanan haylaz bir cin.,
PG_Morana,Bogini zimy i odrodzenia.,Kışın ve yeniden doğuşun tanrıçası.,
PG_Paimon,"Upadły anioł, sługa Lucyfera.","Düşmüş bir melek, Lucifer'in hizmetkârı.",
PG_Shurale,Chichocząca leśna mara.,Kıkırdayan bir orman kâbusu.,"Şurale = Tatar/Başkurt mitoloji orman cini"
PG_Sirin,"Zwodniczo piękna, nieuchwytna i drapieżna.","Aldatıcı biçimde güzel, yakalanamaz ve yırtıcı.",
PG_Upyr,"Upiorne, widziadło. Majak mściwego szlachcica.",Hortlak bir hayalet. İntikamcı bir asilzadenin karabasanı.,
PG_Weles,Pogrzebany bóg bogactwa i spekulacji.,Gömülmüş bir zenginlik ve spekülasyon tanrısı.,
