"Hash","NodeName","PL","TR","Notes"
"1536950D46AEB730DDDCEE83647C255E","CinematicNode_Response_0","...","…",""
"B7D4C5514A00B21F91EB8F82EE8E576F","CinematicNode_Response_1","...","…",""
"2F4023F34ABD2AAED22848B9E7C272D0","CinematicNode_Response_2","Nie chcę tego widzieć…","Bunu görmek istemiyorum…",""
"F0D9EBC64A18B062EC5328B366806C7C","CinematicNode_Response_3","Nie zdawaliśmy sobie sprawy, co robimy... Byliśmy <i>wciąż</> dziećmi.","Ne yaptığımızın farkında değildik… <i>Hâlâ</> çocuktuk.",""
"82523FBA48C0C8838EDEAAAD786FCCDB","CinematicNode_Response_4","Mieszko Secemin był łajdakiem. Zniszczył życie wielu ludziom.","Mieszko Secemin alçağın tekiydi. Birçok insanın hayatını mahvetti.",""
"EA187F3340371061A712D09AB1B47C59","CinematicNode_Response_5","Wszyscy jesteśmy tacy? Czy każdy thaumaturg jest... zniewolony przez swoją Skazę?","Hepimiz böyle miyiz? Her tılsımkâr kendi Kusur'una… esir mi?","Skaza → Kusur (glossary)"
"ADDEFD62401A8915FDC75BB442053C07","CinematicNode_Response_6","To moja Duma...  Ta sama, do której ty przylgnąłeś. Ledwie odkryta, ale... To ona mnie do tego popchnęła. Wtedy wzięła nade mną górę.","Benim Kibir'im…  Senin yapıştığın o. Henüz yeni keşfedilmişti, ama… Beni buna o itti. O an üzerimde galip geldi.","Duma → Kibir; çift boşluk korundu (kaynak aynen)"
"7B1AFBC1471C4A015B9A81B6672E683E","CinematicNode_Response_7","...","…",""
"B90212A64D4120880D3D70AE88B42851","CinematicNode_Response_8","Jeszcze długo dręczyło mnie poczucie winy. Ale z czasem... To wydarzenie sprawiło, że stałem się tym, kim jestem dzisiaj... Prawda?","Suçluluk duygusu uzun süre içimi kemirdi. Ama zamanla… Bu hadise beni bugün olduğum kişiye dönüştürdü… Öyle değil mi?",""
"AD7D1681455CF604974553AA6DDBC9FC","CinematicNode_Response_9","...","…",""
