"Key","Value"
"CombatLog_Damage_Focus","skupienie ({int_f})"
"CombatLog_NewState","Stan"
"CombatLog_Inborn_Vulnerable","Czasowe uśpienie cechy"
"CombatLog_Inborn_Salutor","Uśpienie cechy"
"CombatLog_Death","Wyeliminowany"
"CombatLog_NewWave","Nadeszły posiłki"
"CombatLog_Ability_Interrupted","Przerwanie działania"
"CombatLog_Ability_Delayed","Spowolnienie działania"
"CombatLog_Heal_HP","leczenie ({int_h})"
"CombatLog_Damage_HP","obrażenia ({int_d})"
"CombatLog_NewRound","Runda {int_r}"
"CombatLog_Ability_SpeedUp","Przyspieszenie działania"
