"Key","Value"
"PG_Baalberith","Odrażający pan much."
"PG_Bukavac","Szkaradny dziwotwór. Inkarnacja kary za zbrodnicze czyny."
"PG_Chocholk","Zwid apatii i marazmu."
"PG_Djinn","Prawieczna i zwodnicza istota."
"PG_Dybbuk","Żałobne widmo. Żeruje na chciwym pożądaniu."
"PG_Erlik","Władca podziemi, mszczący każdy atak na Thaumaturga."
"PG_Golem","Gliniane monstrum."
"PG_Hashihime","Zdradzone mamidło, które po długiej modlitwie zaczyna mścić się na swoich wrogach."
"PG_Krampus","Złośliwy czart."
"PG_Lelek","Psotny chochlik wabiony ludzką głupotą lub duszą na krawędzi śmierci."
"PG_Morana","Bogini zimy i odrodzenia."
"PG_Paimon","Upadły anioł, sługa Lucyfera."
"PG_Shurale","Chichocząca leśna mara."
"PG_Sirin","Zwodniczo piękna, nieuchwytna i drapieżna."
"PG_Upyr","Upiorne, widziadło. Majak mściwego szlachcica."
"PG_Weles","Pogrzebany bóg bogactwa i spekulacji."
