"Hash","NodeName","PL"
"7F82C5FF41316B1929F5F3AB505CBB78","CinematicNode_Choice_4","Zrób mu krótki przegląd prasy."
"1F8908584D5AC0A4269C6A8D8093E63E","CinematicNode_Choice_4","Streść tylko nagłówki."
"10746FEE4A7F9951D01E4D98F719808B","CinematicNode_Choice_5","Powiedz, co ty wyczułeś w pasażerach podczas waszej podróży."
"BA2222E445C70C94044796BA5E2F71E8","CinematicNode_Choice_5","Wróć do czytania gazety."
"296E67A149A1B90B63CF14BE871D1F28","CinematicNode_Choice_6","Powiedz, że nie w takich okolicznościach."
"665870E4478AB41CF6A9D8BC49854AF1","CinematicNode_Choice_6","Przeczytaj mu, co pisze się o Warszawie w gazetach."
"6D4C43B640C0FEE75D94F7BD574A57EB","CinematicNode_Choice_6","Powiedz, co myślisz o Warszawie."
"3F199DCF42D38DEC160429AA7CB00154","CinematicNode_Choice_7","Opowiedz kilka spostrzeżeń."
"566A265C4ECB3BE2638506A08875AD5D","CinematicNode_Choice_7","Wróć do czytania gazety."
"6D4D84F84775C43A89030C89BDF5EFDE","CinematicNode_Response_11","<ru>Varshava!</> <dl>Warschau!</> Warszawa! "
"B36EEF2C470D19CA17121F9F63D7FD01","CinematicNode_Response_11","Ostatnia stacja - Warszawa! Pobudka!"
"E71DD7434BB3228E2AF6D4A31DAEFEBE","CinematicNode_Response_11","Chmurzy się."
"87BDEA8A4C91D01E4D018D8DD30446AD","CinematicNode_Response_11","Pogoda jest jak mój nastrój."
"9EB99BB64FDCF12F4E4A958586F36C08","CinematicNode_Response_11","Hmm... Pomijając funeralne okoliczności twojego powrotu..."
"B32FC7BC4C8CEE7ACAD39E8EA023607D","CinematicNode_Response_11","...nigdy nie myślałeś, żeby tu wrócić?"
"10F5FB04422E44E8616392BB755B040B","CinematicNode_Response_12","Robotnicy strajkują. Chcą wykorzystać wizytę cara w Warszawie. Protesty są krwawo tłumione. W zeszłym tygodniu zginęło kilkanaście osób."
"8164C09D4C4713686F7E0A89FE02768E","CinematicNode_Response_12","Bojówkarze z Polskiej Partii Socjalistycznej napadli na pociąg. Skradziono pieniądze, obligacje i materiały wybuchowe."
"99DB9E82444D6BB82C561196726D1816","CinematicNode_Response_12","Podejrzewa się, że ukradli też transport holenderskiej pomady. Socjaliści w Warszawie muszą być bardzo zadbani."
"26B8DA754FF47ED5D20B96BAE4028883","CinematicNode_Response_12","Dalej są morderstwa, rozboje i bieda."
"85766EA34477C5C6A70949AE37C9D5E4","CinematicNode_Response_12","Gazety karmią się sensacją. Pamiętaj, że w mroku wyraźnie widać nawet małą iskrę."
"96DF08DC447EBFAF355DCD94F55F997B","CinematicNode_Response_12","Nawet ja czuję nadzieję od wszystkich, którzy z nami jadą, ty nie?"
"6E1180AF461BCBF8BF1D50BFD276D847","CinematicNode_Response_13","""Tania siła robocza zabiera miejsce do życia..."""
"A893D93F45C2D9B22E11949DBE62E881","CinematicNode_Response_13","Strajki, Żydzi, bieda, przemoc... Polska Partia Socjalistyczna okradła wojsko..."
"7C14E4F14001D4C8377EF7B41CAD3102","CinematicNode_Response_13","Może są jakieś satyryczne rysunki...?"
"DDAAF0C04EEABEC251D6F1B8C55D1D4E","CinematicNode_Response_14","Nie muszę używać swojej mocy, żeby wiedzieć, że wszystkie zabory ciągną tu z nadzieją. Górnicy, hutnicy, guwernantki, sprzątaczki, spekulanci, złodzieje... "
"46EC7BBD4B12B451E124029B56F82550","CinematicNode_Response_14","Miałem okazję odczytać kilka przedmiotów naszych współpasażerów i wiem, że nadzieja potrafi mieć wiele oblicz."
"A8D4EABE49F184BCFF3D7587C58C57B7","CinematicNode_Response_14","Podzielisz się tą wiedzą?"
"3935A0944944D441AD42A9A5F86429BF","CinematicNode_Response_15","Warszawa! Koniec trasy! Witamy w <ru>Varshava</>."
"60B133C5421AF312F6E238AD1E315E02","CinematicNode_Response_15","Chyba pora zapytać, gdzie zamierzasz się zatrzymać?"
"E37025634D790C063E897084B0D0108B","CinematicNode_Response_15","Zawiadomię cię, kiedy sobie coś znajdę."
"3CBF40FE4B1D474EB2668784AAFD1718","CinematicNode_Response_16","[Ziemia lekko się trzęsie. Wiktor rozgląda się po peronie. Zauważa Rasputina oddalającego się z parą, którą obaj widzieli przez okno pociągu.]"
"5EB7A42A4E3B953D7C74D895DE71655A","CinematicNode_Response_16","[Wiktor wychodzi peronu.]"
"9F64428348EDFA81C3477B88522115DA","CinematicNode_Response_17","Na pewno nie przypuszczałem, że przyjadę na pogrzeb ojca. Tak wcześnie."
"9EDF9BA742E020937F260B8B8EC251D7","CinematicNode_Response_17","Zauważyłem, że mieliście pewne różnice w poglądach na życie."
"AF073C10470033DE6E9B2B9E2CFBF2C4","CinematicNode_Response_17","Tak, zwłaszcza na moje. Przyznam jednak, że nie bardzo imponujące odkrycie."
"00EBFD5140A7E8F98CAAD29CD7E9C045","CinematicNode_Response_17","Tylko tyle się o mnie dowiedziałeś w trakcie naszej podróży?"
"3CB5D932487AF03D7D58AC879941AABE","CinematicNode_Response_17","Ślinisz się przez sen."
"DD6B40EF4BDF3D9709717DAB41248B0D","CinematicNode_Response_17","Piszą coś o Warszawie?"
"D1E294CB4A0CCCFDDDB11FA012B74F48","CinematicNode_Response_18","Za bliską uważam tylko swoją siostrę, a warszawiacy...? Zobaczmy."
