"Hash","NodeName","PL"
"E86FCF2747D10A6FA95663A2D2CA77D5","IC_q102","Poszukiwania ojca"
"294013C843C04C515A37E1BE4691A0BB","IC_q102","Myśli ojca zajęte były w ostatnim czasie wręcz obsesyjnym poszukiwaniem wiedzy. Związane jest to z czymś znacznie większym, niż jego zwyczajową ciekawością świata, z której go pamiętam. Szukał czegoś, polował na salutory, zgłębiał tajemnice wszystkiego, co thaumaturgii pokrewne. Nie wiem tylko jeszcze, dokąd go to zaprowadziło."
"443C679A41AFDB35BD0394B431787DE8","IC_q102","Liścik"
"E12897EC418FE91CD58A349167805158","IC_q102","Liścik zaadresowany do ojca, podpisany inicjałami ""S.R."""
"676ED3F94332E1FADED708A939EAE9E7","IC_q102","Serce"
"49A1E6F442A13395B997F983CD79EB3D","IC_q102","Wiadomość jest jedynie pozornie lakoniczna. W istocie pociągnięciom pióra towarzyszyło przyspieszone bicie serca, kierowane powściąganą życzliwością do adresata. Atrament przesiąknięty jest szczególną troską i ciepłem, które wniknęły we włókna papieru."
"52D84EC24D71DF803A190DA3C94A12EB","IC_q102","Walizka "
"5EF7750B46BC873A443C43A5B33EF32D","IC_q102","Skórzana walizka, nosząca na sobie ślady wielu podróży."
"4CD6C6614B551F9DE6F557A91D97DE19","IC_q102","Czyn"
"C4C34EB044223A6587E868A6D99F0BAB","IC_q102","Na walizce osadziły się ziarna piasków pustyni z podróży ojca do Afryki. Odstawiał ją na miejsce, snując plany na kolejne wojaże w nieznane rejony świata materialnego, poszukując tego, co ukryte za zasłoną rzeczywistości."
"6130F6D447CC5CAD0FB62186622C455D","IC_q102","Książki o kulturach antycznych"
"D15BFF95465D7D8D960A81A13E109754","IC_q102","Książki w twardych, skórzanych oprawach, z licznymi zakładkami."
"2F6EDD7E4D0DD15293CE4598392A46B1","IC_q102","Słowo"
"CEAE4F014AA5272BC5D00E9C74486075","IC_q102","Ojciec wertował raz po raz pożółkłe stronice, wczytywał się wciąż w te same słowa, usiłując wyłuskać z nich jakieś znaczenie. Powtarzał jak mantrę słowa o poświęceniu i konieczności ofiary, zatrzaskując jeden z tomów i sięgając po kolejny. Co to wszystko znaczy?"
"D5D69FC24955DD56F824F1A77F55F1EC","IC_q102","Kolekcja książek o okultyzmie"
