"Hash","NodeName","PL"
"E6A257584604A19526B6A681218D02C6","CinematicNode_Response_0","Widzę, że jednak nie próżnowałeś."
"A175FFCD4FE5C40359AE93A1FD81025A","CinematicNode_Response_0","Czy ja słyszałem podziękowanie i słowa uznania?"
"E5EBBE834568010F47490CA7E6511687","CinematicNode_Response_0","Chyba cię słuch zawodzi. Idziemy?"
"581D262B47205224D952FCAF37C02A2D","CinematicNode_Response_0","Zostanę tu na wypadek, gdyby przyszły posiłki."
"0405BD3F42B76B391D8AC18C83A132B4","CinematicNode_Response_0","To nie zajmie długo. I dziękuję, Ariel."
"5B890E824019CED8D17E3CBCDEE3D6C0","CinematicNode_Response_1","Czułem, że idzie zbyt łatwo."
"FDD90E074E3BBC9C7768E58EAA0F1FE8","CinematicNode_Response_1","Ty! Kim jesteś? <ru>Ruki vverkh</>!"
"89A5BD864C84FAA8F4ED5AA9D5405A74","CinematicNode_Response_1","Obawiam się, że mam inne plany."
"407828BB48213969212F78A92F0EE52F","CinematicNode_Response_2","Nie mogłeś tego załatwić inaczej?"
"F629AF9146DF82E0383FD2B3ED7DC6EA","CinematicNode_Response_2","Miałem się z nimi pojedynkować na argumenty?"
"7C37B80E4E8D87F2BE0332900F98BCBB","CinematicNode_Response_2","Przestańcie. Mamy tu coś do załatwienia."
