"Hash","NodeName","PL","TR","Notes"
"D381D25943F8F30915051B82295B75FB","CinematicNode_Choice_1","Powiedz, że dokładnie o to ci chodziło.","Tam da bunu istediğini söyle.",""
"7D8B73714399CC8CDC0DE0B1D2E3BCF3","CinematicNode_Choice_1","Przyznaj, że nie jesteś zadowolony.","Memnun kalmadığını itiraf et.",""
"68A6336C4F057B85FE49B2A848AE7061","CinematicNode_Choice_1","1","1",""
"7A968F1B4F986E46A8A00A8BE28A2A11","CinematicNode_Choice_1","2","2",""
"5BAA9084476D948F4455D0912E451E66","CinematicNode_Choice_2","Zamów strzyżenie.","Tıraş sipariş et.",""
"435F2285418DA5FCE80F4FBF576936DB","CinematicNode_Choice_2","Odejdź.","Çekil git.",""
"86203BEC447E55ACA038408D0E0382B5","CinematicNode_Choice_2","1","1",""
"89B97D6B4B1FC418929DFD92F639C4AB","CinematicNode_Choice_2","2","2",""
"A80ADB7C4D7012653D5367ACA7E81984","CinematicNode_Response_0","Ojojoj. Szanowny pan, widzę, strzyżenia szuka.","Vay vay vay. Muhterem beyefendi, görüyorum tıraş arıyor.",""
"D8A829714F376B03AD278699C1430D3A","CinematicNode_Response_1","Aż tak widać? Proszę strzyc.","Bu kadar belli mi? Buyurun kesin.",""
"861EE30E46DA803987565CB001572B3C","CinematicNode_Response_1","Spokojnie, zaraz będzie po krzyku.","Sakin olun, şimdi bitireceğim.",""
"F66F5FB548FC6A99E4974087F8577624","CinematicNode_Response_2","Dziękuję, może następnym razem.","Teşekkür ederim, belki başka zaman.",""
"DB5FFC5E408723CAADB61A85010D7E00","CinematicNode_Response_2","Proszę nie zwlekać. Będzie tylko gorzej.","Oyalanmayın. Giderek kötüleşecek.",""
"4E363C3443F52A3E79CA0791FE0D8C69","CinematicNode_Response_3","Proszę, proszę.","Buyurun, buyurun.",""
"A2C67FDE4F579E5077168E872EDBBE00","CinematicNode_Response_4","No, to w czym pomóc?","E, yardımım ne olsun?",""
"4DD125FB4CC375252568D6AA144B8E0E","CinematicNode_Response_6","To nie do końca to, o co mi chodziło.","Tam olarak istediğim bu değildi.",""
"338CBDEC464B6C207358938E75E874ED","CinematicNode_Response_6","Ach, dobrze. To jak pan ma wyglądać statecznie, to zrobimy <i>bakenbardy</>. A jak romantycznie, to  <i>ondulacja marcelowska</>.","Ah, peki. Ağırbaşlı görünmek istiyorsanız <i>favori</> yaparız. Romantik görünmek istiyorsanız <i>marcel dalgası</>.",""
"D8634CA5445C4DF33EDDDDBDA87D27A2","CinematicNode_Response_6","Sprawdźmy.","Deneyelim.",""
"3764FFF446FDB3B90BEB4D915C38B312","CinematicNode_Response_7","Doskonale, wyglądam, jak nowy.","Harika, yepyeni oldum.",""
"3E53EA464A023D8C81C055BEB523C0EF","CinematicNode_Response_7","Pan już przedtem bardzo przystojny, mnie wystarczyło tylko uczynić to wyraźne.","Bey zaten önceden çok yakışıklıydı, benim işim bunu belirginleştirmekten ibaretti.",""
"AC49E17F45E74D3BB74A48A42E565A50","CinematicNode_Response_8","I jak się podoba panu <i>takie nowe fryzure</>?","<i>Bu yeni saç tarzı</> nasıl oldu beyefendi?","'fryzure' dil yanlışı (Yidiş-Polonya aksanı), aynı yumuşak kaba Türkçeyle verildi"
