"Hash","NodeName","PL"
"6F96399C4F364A46591AE594B73E3F7A","CinematicNode_Choice_2","Przyznaj, że poproszono cię o pewną przysługę."
"BA1FC7DB4073C86142934A91D72290F3","CinematicNode_Choice_2","Zaproponuj swoją pomoc."
"9C64DE8F4F9A606ABB65728A1C525E18","CinematicNode_Choice_2","1"
"C22D49E3452381E4D6887BBC9343766C","CinematicNode_Choice_2","2"
"BF60203C4600F4635D4DB4B9F7A8E0F0","CinematicNode_Choice_3","Zapytaj wprost, czy wystawi ci przepustkę."
"0937D02D444E94216877CF96DC831C13","CinematicNode_Choice_3","Powiedz, że nie."
"75521C844A724EC9D245F9B5689D22A4","CinematicNode_Choice_3","1"
"6F17D2954A9D8FFE04A371ABC4783897","CinematicNode_Choice_3","2"
"326395DA4BA4D1350EF96D8C5BA75F92","CinematicNode_Choice_4","Upewnij się, że oficjalną."
"62604EEB4EA0884F16BACFBBF10FF6F3","CinematicNode_Choice_4","Skromnie przytaknij."
"C55586CD41C8365EB94005ABF78563A1","CinematicNode_Choice_4","1"
"03B09A504D29CAC9B72F4AA77BCE7FC3","CinematicNode_Choice_4","2"
"BAFDB9734CFB482473D6A1BF29CE027A","CinematicNode_Response_0","Jeden znajomy, któremu zależy na prawdzie o tym wydarzeniu, prosił mnie o pomoc w dotarciu do sprawców."
"AA4F87FD4745060C5D456A8CBBA7AD5F","CinematicNode_Response_0","Powiedz, żeby się nie interesował. Albo zmień znajomych!"
"F7B956224D00BCF2EE89ECBABF3C8784","CinematicNode_Response_0","Jeśli ty, lub Ligia, nie jesteście w to zamieszani, nic ci nie powiem."
"F08DB2374C54FFCE8C5753A64CED001F","CinematicNode_Response_0","Nie jesteście, prawda?"
"79341E1D4C81D5EB74EA1CAA10C21CFE","CinematicNode_Response_1","Pomyślałem, że mógłbym pomóc. Jako thaumaturg."
"E8863A9C4C3FC45A4FA6B795C43F478A","CinematicNode_Response_1","Niestety mój drogi ja ci pomóc nie jestem w stanie."
"E5AC3EBF4A061640DCFE0FBCC12DF499","CinematicNode_Response_10","Wystarczy, że wystawisz mi przepustkę i znikam."
"8F7CD5684C93B6F0FD7FCC9DE374B77F","CinematicNode_Response_10","Chyba cię Pan opuścił!"
"91BE3F924066D0BE78F44690C9AF18E8","CinematicNode_Response_11","Nie jesteśmy w to zamieszani z Ligią, wujku."
"6538CDA549D19666D535519CEEF96439","CinematicNode_Response_11","Przysięgnij."
"B1BEE17F4EE9957D926AF78A68109506","CinematicNode_Response_11","Przysięgam."
"552B8DCA4F0C4787A35C2B894B6744F2","CinematicNode_Response_12","Chcę pomóc. Mogę pomóc."
"CF2FDE0145C8059C654A058375814576","CinematicNode_Response_13","Z oficjalną pieczątką?"
"691DB9EA494B270CEDC0B4A3C2210F4E","CinematicNode_Response_13","A z czym?"
"AEF4CFB74270DBD666D6A0BEB63FA2EA","CinematicNode_Response_13","Dziękuję."
"83ED67574F3D9D3DBA7CEA93338796EC","CinematicNode_Response_14","Nie mogę odmówić wujkowi."
"65D6D4044235B0CCB1DA8F9B84B79855","CinematicNode_Response_15","Chyba mnie Bóg opuścił."
"53F63ACC433FC842911860AAD45F8AC6","CinematicNode_Response_4","Znajdzie wujek chwilę dla mnie?"
"09DD53AD4D8BC17D5DDDB288718D20FC","CinematicNode_Response_4","Źle trafiłeś. Jestem po uszy w robocie. Ten zamach na dworcu, to teraz najwyższy priorytet."
"AE3F5FD440289A3D867ABF8D8707C7DA","CinematicNode_Response_4","Ja właśnie w tej sprawie."
"99C32BF948206C428CA6D6BCFB0FB4A2","CinematicNode_Response_4","Przede wszystkim, mów ciszej. Po drugie, nic ci nie powiem, bo nic mi nie wolno powiedzieć. I po trzecie..."
"8530BE15444D32513788FFB06E3E8DFE","CinematicNode_Response_4","Czy jesteś w to zamieszany w jakikolwiek sposób?"
"4DA65A57420E696817141C9B5C98161E","CinematicNode_Response_5","Już wystarczająco pomogłeś. Mnie, Pietii i Krajewskim."
"088175AA401D8ACFC31C48971DCBCD5D","CinematicNode_Response_5","Jedyne co mogę zrobić, to dramatycznie wyjść i zostawić cię tu samego. Z tymi wszystkimi papierami, przepustkami i oficjalnymi pieczęciami."
"0F1812414FE4AFBFA34A409DC427F0EA","CinematicNode_Response_6","Jedyne co mogę ci zaoferować, to wycieczkę po moim gabinecie. Jak wtedy, kiedy byłeś mały, pamiętasz?"
"651700A8487E4AEC086EE195F886886D","CinematicNode_Response_6","Nie mam pojęcia, o czym..."
"7739FEA64F7DF6A65C1C39B21BE0FC11","CinematicNode_Response_6","To zamknij się i słuchaj."
"66AA8B234976C34FB39CA9935E3585A0","CinematicNode_Response_6","W ramach wycieczki zrobimy ci pamiątkową przepustkę, chcesz?"
"BAB29E1740A9A9AF5B5908BF3BF7347D","CinematicNode_Response_7","Spieszę się, chłopcze. Kiedy wrócę, wolałbym, żeby cię tutaj nie było."
