"Hash","NodeName","PL","TR","Notes"
"6163219F40F266E0AF687EA507DF9D10","CinematicNode_Choice_2","Oskarż ich o terroryzm.","Onları terörizmle suçla.",""
"3D511A004DFCF50FA651CA905AF28C8D","CinematicNode_Choice_2","Przyznaj, że socjalizm jest ci bliski.","Sosyalizmin sana yakın olduğunu kabul et.",""
"C73125474A429045D8D4A284A86AF149","CinematicNode_Choice_2","Zapytaj, jak oni siebie widzą.","Kendilerini nasıl gördüklerini sor.",""
"48BE0C1B4F31C2C26CD9E1B91843D7FF","CinematicNode_Choice_2","Daj Fejginowi mówić.","Konuşma sırasını Fejgin'e bırak.",""
"A0B2C64648C46C0ADFA630869400B63B","CinematicNode_Choice_2","1","1",""
"86B34E3A4F1D01A0D42F81A712767CA8","CinematicNode_Choice_2","2","2",""
"9BB74D5743C32B7AE79B70990B5FBD57","CinematicNode_Choice_2","3","3",""
"F35F04CC4E3ABA3382F513976484133F","CinematicNode_Choice_2","4","4",""
"9EBD0E4B4F02CAF1BFE25FAAF4D05D2B","CinematicNode_Choice_4","Przypomnij mu Ignacego Wiśniewskiego.","Ona Ignacy Wiśniewski'yi hatırlat.",""
"46E15D664D2896B1C118348F86D5F816","CinematicNode_Choice_4","Pozwól Fejginowi kontynuować.","Fejgin'in devam etmesine izin ver.",""
"E583ADC84DC917F11D8830BD172DC299","CinematicNode_Choice_4","Oznajmij, że masz tego dosyć.","Bundan bıktığını duyur.",""
"806AEB5041355B649370F0ABA9791D7C","CinematicNode_Choice_4","1","1",""
"D640321347127B6CD5C39480DABDE1B5","CinematicNode_Choice_4","2","2",""
"22EF2C0B4FB1539FB179C6A1B403CA64","CinematicNode_Choice_4","3","3",""
"8DC7E9BA44C955352A0A649F8076CCD6","CinematicNode_Choice_5","Zapytaj, czy ma na myśli Stefanię Lipnicką.","Stefania Lipnicka'yı kastedip etmediğini sor.",""
"801B4A154CAE2CCD5BDA8FBCF728559E","CinematicNode_Choice_5","Zauważ, że Polska nie istnieje.","Polonya'nın var olmadığını belirt.",""
"8E77D95B4B23CAE2541E0DBA220511D9","CinematicNode_Choice_5","Oskarż ich o mord na wielu niewinnych ludziach.","Onları pek çok masum insanı katletmekle suçla.",""
"AAF3F77B40FFE341122A8EB25AC89B00","CinematicNode_Choice_5","1","1",""
"235C6411469BEB0146542986E653786D","CinematicNode_Choice_5","2","2",""
"9D6A042B4CDBE0397C51EC80A197419B","CinematicNode_Choice_5","3","3",""
"C20E79F849E76A405993A08FDE9EE542","CinematicNode_Choice_6","Najpierw spytaj go o definicję polskości.","Önce ona Polonyalılığın tanımını sor.",""
"1CE705C046EA7B4C437791878850B00C","CinematicNode_Choice_6","Przyznaj, że zdrajcy ojczyzny zasługują na śmierć.","Vatan hainlerinin ölümü hak ettiğini kabul et.",""
"4B5459B3429A7AA5B37AD084ECC63628","CinematicNode_Choice_6","Zauważ, że Lipnicka nie zasłużyła na taki los.","Lipnicka'nın bu kaderi hak etmediğini söyle.",""
"A535948141B44ADD949050A28EFF3A27","CinematicNode_Choice_6","1","1",""
"E816727C4FA285221006318FF2831163","CinematicNode_Choice_6","2","2",""
"46F96E6645D3797321963380B88E4E7C","CinematicNode_Choice_6","3","3",""
"CA9390A44BC6B61F9DD667977EF3B53F","CinematicNode_Choice_7","Nie odpuszczaj Lechitom.","Lehit'lere göz açtırma.",""
"027ACE3B461D04FF365276B3401A5822","CinematicNode_Choice_7","Daj Fejginowi mówić.","Konuşma sırasını Fejgin'e bırak.",""
"B21F57794FF0650529CCA3925CA649F0","CinematicNode_Choice_7","1","1",""
"911926E2433086CBFAC775BCA03B98C7","CinematicNode_Choice_7","2","2",""
"007BEE7049BCB1BC499AC091C73A700A","CinematicNode_Choice_8","Powiedz mu, że są pospolitymi mordercami.","Ona, sıradan katiller olduklarını söyle.",""
