"Hash","NodeName","PL","TR","Notes"
"712A25D44A9D40AAEBC73BBBC31654C1","CinematicNode_Choice_0","Przyznaj, że jesteś nowym wykładowcą.","Yeni hoca olduğunu itiraf et.",""
"DA0744324481E421756FE184086B4A1C","CinematicNode_Choice_0","Zapytaj, o kim rozmawiali.","Hakkında konuştuklarını sor.",""
"F10E9CD94210BFAFB7ED80AAF22B23AE","CinematicNode_Choice_0","Odejdź.","Çekil git.",""
"8D1B16224781A2540C6C3B80028B5B92","CinematicNode_Choice_0","1","1",""
"35FE55A34C8F3AF0F504FDA071097F57","CinematicNode_Choice_0","2","2",""
"DB6BC5A24C307C0A389380872BA11793","CinematicNode_Choice_0","3","3",""
"E5ABA0AC452335F46BDC6789FFB3F193","CinematicNode_Choice_1","Zapytaj, czy mają dowody.","Kanıtları olup olmadığını sor.",""
"EBC99C0945CD0333B09CD7A818AC1D2D","CinematicNode_Choice_1","Słuchaj dalej.","Dinlemeye devam et.",""
"AEF70A7A46392FA1EBEAB4A20304F016","CinematicNode_Choice_1","1","1",""
"B0C37B424A947283F4E1C0A9163F2BEB","CinematicNode_Choice_1","2","2",""
"0DDE7215499119CD778962B2A9443A6C","CinematicNode_Choice_2","Powiedz, że jej pochodzenie to żaden dowód.","Kökeninin hiçbir kanıt olmadığını söyle.",""
"00CB371B444CB44F75DF7C915DEB3FE8","CinematicNode_Choice_2","Powiedz, że twoja matka jest Rosjanką.","Annenin Rus olduğunu söyle.",""
"B60DA85A48876FF3246DB9A9A55528F8","CinematicNode_Choice_2","Zapytaj, czemu nie podejrzewają aresztowanego.","Neden tutuklanmış olanı şüphelenmediklerini sor.",""
"26C552AA492738D074080593B66F602C","CinematicNode_Choice_2","1","1",""
"B3AA52E243996975DA3A6F8D7EECFE0E","CinematicNode_Choice_2","2","2",""
"A63463204D9CDAEE25C254B68A10DBA5","CinematicNode_Choice_2","3","3",""
"49D79C834D71F62D9A4535B66D1DA034","CinematicNode_Response_10","To najpewniej przez naszą małą Rosjankę mamy teraz takie kłopoty. Nie wiem, czemu Dickstein tego nie widzi.","Bu belalar büyük ihtimalle bizim küçük Rus kızın yüzünden. Dickstein'ın bunu görmemesine anlam veremiyorum.",""
"B89083B7402D312664B228A811749B66","CinematicNode_Response_10","Dla mnie to jasne, że to ona donosi.","Benim için aşikâr, ihbar eden o.",""
"662C82FA4E58EF56B34F97AB2A723BCA","CinematicNode_Response_11","Macie czym podeprzeć takie oskarżenia?","Bu suçlamaları destekleyecek bir şeyiniz var mı?",""
"A839CC244D456B16747495BB5FF057FB","CinematicNode_Response_11","Przecież to oczywiste.","Bu apaçık ortada.",""
"987959F84976FD54545589B9F24953B4","CinematicNode_Response_12","To Rosjanka.","O bir Rus.",""
"CD1BC35B4D958C8371548492BF092A2F","CinematicNode_Response_13","Czemu nie podejrzewacie swojego aresztowanego kolegi?","Neden tutuklanan arkadaşınızı şüphelenmiyorsunuz?",""
"7AE8E99E473D6907FE823C9164F8657B","CinematicNode_Response_13","Jego ojciec bił się przecież w powstaniu.","Babasının isyanda savaştığını biliyoruz.",""
"9A994FAC49142DA4581D21AA0F03516E","CinematicNode_Response_13","On by nie sypnął.","O ihbar etmez.",""
"3715951343B8A5E454B928891BA6AD5B","CinematicNode_Response_14","Moja matka jest Rosjanką. Czy to znaczy, że zdradzam tylko połowicznie?","Annem Rus. Bu sadece yarım ihanet ettiğim anlamına mı geliyor?",""
"F4AB2A5043C25E1F6F003D80954BF897","CinematicNode_Response_14","Nie no, nic takiego nie mieliśmy przecież na myśli.","Hayır hayır, böyle bir şey demek istemedik.",""
"95FFCE4E4E38B710E9BD95850B0DE09E","CinematicNode_Response_15","Miejsce urodzenia, to trochę mało, żeby stwierdzić, czy ktoś jest zdrajcą i kapusiem, nieprawdaż?","Doğum yeri, birinin hain ve muhbir olduğunu tespit etmek için biraz yetersiz, değil mi?",""
"E786F19D4A4518B7A40E1E8A7083F405","CinematicNode_Response_15","A pan, ze swoimi zdolnościami, chyba już powinien wszystko wiedzieć, nieprawdaż?","Siz yeteneklerinizle, her şeyi zaten bilmeniz gerekmez miydi efendim?",""
"0F6703664570B017A49097B785FD0CE0","CinematicNode_Response_15","Wszystko w swoim czasie.","Her şeyin bir zamanı var.",""
"20A59DA54896F48A2E4C1DAC0759F895","CinematicNode_Response_16","Połamania nóg.","Bol şans.",""
"D496AB894690D1B3F7592DAE765F1F7B","CinematicNode_Response_17","Do widzenia.","Hoşça kalın.",""
"322B9BA7484F8FC16B6B0EA97C5CFC70","CinematicNode_Response_2","...teraz jeszcze to miejsce. Kiedyś wystawimy tylko nogę za próg i nas zamkną.","…şimdi bir de burası. Bir gün sadece kapı eşiğinden adım attığımızda bizi kapatırlar.",""
"56FF54E044DE6901DBBF0DB147D9A0AB","CinematicNode_Response_2","I wszyscy wiemy, przez kogo nas zamkną.","Ve hepimiz kimin yüzünden kapatılacağımızı biliyoruz.",""
"299E89F640C4DA06694CD0BAF093F0FC","CinematicNode_Response_2","Dzień dobry.","Günaydın.",""
"C4C4E6A341D694F11854FF9660AE7605","CinematicNode_Response_3","Nowy student?","Yeni bir öğrenci mi?",""
"D719177E4A091E1E26ADEAA5E479A375","CinematicNode_Response_4","O, nasz pan wykładowca, dzień dobry.","İşte, hocamız geldi, günaydın.",""
