Key,PL,TR,Notes
hair_01,"W tym artystycznym nieładzie pobrzmiewają jeszcze echa przeszłości - ta fryzura była niegdyś przemyślana, ale rozbestwiła się pod nieobecność fryzjera.",Bu sanatsal dağınıklıkta geçmişin yankıları hâlâ duyulur — bu saç kesimi bir zamanlar özenliydi; berber yokluğunda başına buyruk olmuş.,
hair_02,Przedziałek z boku wysmukla twarz i nadaje jej nieco drapieżnego charakteru.,Yandan ayrılan saç yüzü inceltir ve ona hafif yırtıcı bir karakter katar.,
hair_03,Uniesione górne partie włosów i krótsze boki - ten styl zdobywa coraz większą popularność za oceanem.,Yukarı kaldırılmış üst saçlar ve kısa yanlar — bu stil okyanus ötesinde gitgide popülerleşiyor.,
hair_04,"Klasyczna, elegancka fryzura, okiełznana dzięki najlepszej jakości holenderskiej pomadzie.","Klasik, zarif bir saç kesimi; en kaliteli Hollanda pomadıyla zapt edilmiş.",
special_hair_01,Puszczone na czoło kosmyki dodają nonszalancji i nawiązują do najnowszej mody prosto z francuskich salonów.,Alın üzerine düşen tutamlar umursamaz bir hava katar ve doğrudan Fransız salonlarından gelen en yeni modaya göndermede bulunur.,
special_hair_02,Niesforny przedziałek manifestuje niechęć do podporządkowania się modowym konwenansom.,Ele avuca sığmayan ayrık saç moda uzlaşmalarına boyun eğme isteksizliğini ortaya koyar.,
special_hair_03,Kontrolowany chaos i większe kosmyki wygładzone przy pomocy mydła - oto luźna inspiracja stylem nowojorskich gangów.,Kontrollü bir kaos ve sabunla düzleştirilmiş iri tutamlar — işte New York çetelerinin stilinden serbest bir esinti.,
special_hair_04,"Popularne cięcie 'quarter shingle' to idealna propozycja dla mężczyzn, którzy cenią sobie klasyczną elegancję.","Popüler ""quarter shingle"" kesimi, klasik zarafete değer veren beyler için ideal bir seçimdir.",
special_hair_05,"'Lwia grzywa' zaczesana do tyłu jest nie tylko spektakularna, ale i wygodna.","Arkaya taranmış ""aslan yelesi"" sadece gösterişli değil, aynı zamanda rahattır.",
special_hair_06,Całkowite ogolenie głowy odsuwa kolejną wizytę u fryzjera o maksymalną ilość czasu oraz budzi zachwyt miłośników frenologii.,Başın tamamen tıraşlanması bir sonraki berber ziyaretini azami ölçüde erteler; ayrıca frenoloji meraklılarını da hayran bırakır.,
special_facial_hair_06,Gładko ogolona twarz coraz częściej pojawia się na okładkach magazynów - kto chce podążać za duchem czasu, powinien iść dokładnie w tym kierunku!,Pürüzsüz tıraşlı bir yüz dergi kapaklarında gitgide daha sık görünüyor — zamanın ruhunu yakalamak isteyenlerin tam da bu yöne gitmesi gerek!,
special_facial_hair_05,"Broda à la 'kaczy ogon' to wyrafinowany kształt, który wybierają zazwyczaj najbardziej wymagający klienci.","""Ördek kuyruğu"" tarzı sakal, genellikle en titiz müşterilerin seçtiği rafine bir biçimdir.",
special_facial_hair_04,"Krótkie wąsy sprawią, że twarz nie będzie wyglądała zbyt młodzieńczo, a do tego są łatwe i wygodne w utrzymaniu.","Kısa bıyık, yüzün fazla delikanlı görünmesini önler; üstelik bakımı kolay ve rahattır.",
special_facial_hair_03,Bokobrody - symbol wysokiej pozycji społecznej i twardego stąpania po ziemi.,Favoriler — yüksek toplumsal konumun ve yere sağlam basmanın simgesidir.,
special_facial_hair_02,"Cięcie 'imperialne' sprawi, że każdy dżentelmen zyska iście cesarski wygląd.","""İmparator"" kesimi, her beyefendiye hakikaten hükümdar edası verir.",
special_facial_hair_01,Wąski szpic brody i skrócone wąsy to bardziej praktyczna i wizjonerska wersja najnowszego krzyku w świecie balwierskiej mody.,Dar bir keçi sakalı ve kısaltılmış bıyık — berber modasının en son çığlığının daha kullanışlı ve öngörülü bir versiyonu.,
facial_hair_01,Starannie przycięte broda oraz wąsy dodają obliczu powagi i stateczności.,Özenle kesilmiş sakal ve bıyık yüze ciddiyet ve vakar katar.,
facial_hair_02,"Wąsy w stylu 'pikador' dzięki odpowiedniemu uformowaniu i użyciu pomady będą intensywnie przyciągać niewieście spojrzenia.","""Pikador"" tarzı bıyık, uygun biçimlendirme ve pomat sayesinde kadın bakışlarını yoğun biçimde üzerine çekecektir.",
facial_hair_03,"Broda i zgolone wąsy w stylu 'Dutch' to idealny sposób na to, by szczycić się bujnym zarostem, a przy tym bez skrępowania czerpać radość ze spożywania gęstych zup i sosów.","""Dutch"" tarzı sakal ve tıraşlı bıyık; gür bir sakalla övünürken aynı zamanda koyu çorba ve soslardan çekinmeden keyif almanın ideal yoludur.",
facial_hair_04,"Broda przycięta w szpic sprawia, że podbródek optycznie się wydłuża, a twarz nabiera smukłości.","Sivri kesilmiş sakal, çeneyi optik olarak uzatır ve yüze incelik katar.",
deluxe_hair_01,"Fryzura dla ludzi często myślących, co podnoszeniem się linii włosów skutkuje. Niezwykle wyględna. Ukrywa niedostatki, kreuje aurę tajemniczości.","Sık düşünen insanlara yakışan bir saç kesimi; alın çizgisinin yükselmesi bunun sonucudur. Son derece gösterişli. Kusurları örter, gizem havası yaratır.",
deluxe_facial_hair_01,"Dżentelmana poznasz po wąsie. Zakręcony z fantazją, unurzany w pomadzie jest wyznacznikiem stylu i ponadczasowym afrodyzjakiem dla płci wszelakiej.","Beyefendiyi bıyığından tanırsın. Hayal gücüyle kıvrılmış, pomatla şenlenmiş bir bıyık; stilin göstergesi ve her cinsiyet için zamansız bir afrodizyaktır.",
