"Hash","NodeName","PL"
"4301A0DE4B5BE8F4309D26AB0FB04EC7","CinematicNode_Choice_0","Nie daj im poznać, że nie wiesz. Zmyśl coś."
"18E0411943473329F2FF1EBAAB3ED9D9","CinematicNode_Choice_0","Przyznaj, że nikt tego nie wie."
"341F9FC441F42675C723B5876F473A63","CinematicNode_Choice_0","Przejdź dalej."
"D0D71A1E40FFA073BC3580AC6C61DFAB","CinematicNode_Choice_0","1"
"3FF42958466A441E4619A1964DF6CF67","CinematicNode_Choice_0","2"
"57D4B51C488EFF151E3ABEBA3E649CEE","CinematicNode_Choice_0","3"
"928E31C24EAB00B5D3CDEE9C50A4D5D8","CinematicNode_Choice_1","Powiedz wszystkim, co wyczytałeś z monet."
"B73D4A9B49563A077BB091968EBACB47","CinematicNode_Choice_1","Zbadaj kopiejkę Poliny"
"B04B18624D38F8D8BD41728A55860709","CinematicNode_Choice_1","Odczytaj kopiejkę Cecylii."
"344868184542E136A6BC1F824B2F7794","CinematicNode_Choice_1","1"
"37D3AE944E4DE832CABBBAADDBABCC06","CinematicNode_Choice_1","2"
"2E24635F4678D2D21938398683B2632E","CinematicNode_Choice_1","3"
"8F94B30A4860964FA2BB1FB9C1FB8948","CinematicNode_Choice_10","Podkreśl, że bez mocy ludzie ich nie zobaczą."
"913805E9472F25C4C5149193DFEF086E","CinematicNode_Choice_10","Przywołaj podania, świadczące o tym, że to możliwe."
"4797BEB74C6EF971E879A28C58362D54","CinematicNode_Choice_10","1"
"2E46023241BB84C7022254BE31235D43","CinematicNode_Choice_10","2"
"B63D0608497301562BE8C7AD908E0DEE","CinematicNode_Choice_11","Zaznacz, że thaumaturgowie mają."
"0A6A93EB4E6E2108583CD39E23556854","CinematicNode_Choice_11","Powiedz, że objaśnisz więcej w części praktycznej."
"62BF130E4E291A93E6B8CF8B448D0079","CinematicNode_Choice_11","1"
"F94CE5594E0CEAF849459BAC271BEA31","CinematicNode_Choice_11","2"
"B638C8DB44C20D3C18FB48B204C4B707","CinematicNode_Choice_12","Zaznacz, że nie wolno się bać."
"6C3502404E9613918F7B9293972E6A37","CinematicNode_Choice_12","Powiedz, że nie wierzysz, że to się może powtórzyć."
"0B92C6884212907B266473B1AF15EA33","CinematicNode_Choice_12","1"
"78A3FC7B49392C507919E9A594B929AB","CinematicNode_Choice_12","2"
"1450B3ED46EAF572EFAC41A305BC7C01","CinematicNode_Choice_13","Zaznacz, że w to wątpisz."
"C3919C68485F5D9F75ECADB3B40D8E5E","CinematicNode_Choice_13","Przyznaj, że warto próbować."
"BC41DCF244FF7A5BD747B5AD5D47C924","CinematicNode_Choice_13","1"
"60227F4B4290E21E8D7CE79C470CA822","CinematicNode_Choice_13","2"
"B12F7239436150A9D89F2398FC6865BF","CinematicNode_Choice_2","Zdradź wszystkim, że jest podekscytowana."
"69D9246D4F5FC308C36DCA9C6EC6AE37","CinematicNode_Choice_2","Nawiąż do jej rozważań o Bogu i thaumaturgii."
"5F0F873E49D46B14422174BE9FADB9FB","CinematicNode_Choice_2","Powiedz, co szczerze fascynuje ją w thaumaturgii."
"E3AA79BC415379AB453930850EAB6B04","CinematicNode_Choice_2","1"
"7FFD1DCF43E7C81ED993AB99E762A422","CinematicNode_Choice_2","2"
"C96A8F22431854471D9B59A54DBAC8D8","CinematicNode_Choice_2","3"
"AFC127DF46FFC4DB5293ABBB1D359D5B","CinematicNode_Choice_3","Opowiedz o kopiejce Poliny."
"966F7AD5485C0560A4007782B9B0BC87","CinematicNode_Choice_3","Opowiedz o kopiejce Cecylii."
"C9A6CB0247370EA0A238C68E58329544","CinematicNode_Choice_3","1"
"31C58C264D7F10CF6231808BF99B3539","CinematicNode_Choice_3","2"
"FCA776224F3722C7ED8B8EB159A0D043","CinematicNode_Choice_4","Powiedz o hazardzie."
"2B3DE39C468A6E0C07D6329F3B27F487","CinematicNode_Choice_4","Zdradź, czemu chce się tutaj kształcić."
"84BBB387421A36DBDFF058B662391ED7","CinematicNode_Choice_4","1"
"A9F75F6F4E6CA44B10FD36B892702E39","CinematicNode_Choice_4","2"
"0C44E63B4131ABBFB5699A83365B5083","CinematicNode_Choice_5","Przyznaj, że możesz, ale to ma swoje ograniczenia."
"5E16681A471B3478FEA40D8020B0CA23","CinematicNode_Choice_5","Przejdź dalej."
"BEDE71A24C1DBCB379C70BA941116F53","CinematicNode_Choice_5","1"
"BB0A9B0E464F6748F59A78A642CC4351","CinematicNode_Choice_5","2"
"60CF91A64D28593A58543482BDBF506A","CinematicNode_Choice_6","Przyznaj, że rozmawiasz czasem z nieżyjącym ojcem."
"EEB532C44770BA064523D3AB8B682FBD","CinematicNode_Choice_6","Powiedz, że nie."
"4D6DAC8643723AF33B57C586C52A46E0","CinematicNode_Choice_6","Przejdź do następnej części wykładu."
"92FF22E9465F91C59194918AA6BA55EC","CinematicNode_Choice_6","1"
"334E257D4C58866C0FE320A413F2C997","CinematicNode_Choice_6","2"
"B6DA48A940D8E21B73F957B5A71E0DBE","CinematicNode_Choice_6","3"
"F314C84F47D164655727BC9383DB2D19","CinematicNode_Choice_7","Opowiedz o masce przedstawiającej Welesa."
"5C8AF8E74E2A03BB3EB9CAAFC50DABE5","CinematicNode_Choice_7","Opowiedz o grzebieniu ojca."
"D7E98A7043B1FA578D35B6A9F9FAE3F0","CinematicNode_Choice_7","Opowiedz książce antythaumaturgicznej."
"2A7E53DA42958D72843EF18ECEB8CD1A","CinematicNode_Choice_7","Przejdź dalej. Do części praktycznej."
"7F80240C4FB0C9D941F1C3A841E28CFE","CinematicNode_Choice_7","1"
"46626DDD446B6555A8F954BA90FD122B","CinematicNode_Choice_7","2"
"4C7C56684E2423053D82C6A241206559","CinematicNode_Choice_7","3"
"09A61B6C4D6829F88200D7937F2D3B48","CinematicNode_Choice_7","4"
"3B0CD27143617711E257919D57A50D6B","CinematicNode_Choice_8","Przedstaw się."
"67AC811941E6F4ED29C3F8ADFD081C4D","CinematicNode_Choice_8","Dowiedz się, czy chcą cię o coś zapytać."
"FC69B7904A016DCB6A8BC0A2B08A360A","CinematicNode_Choice_8","Opowiedz im o rekwizytach."
"D4EAD1834A658C9BCC058E9E3451A124","CinematicNode_Choice_8","1"
"4FFA92BF4665F9A7937C06AA9255C31A","CinematicNode_Choice_8","2"
"070504304C5E00C4D9512BB6A2CA43AA","CinematicNode_Choice_8","3"
