Key,PL,TR,Notes
Panel_Map,Lokacje,Lokasyonlar,
Panel_WorldMap,Mapa,Harita,
Panel_Journal,Dziennik,Günlük,
Panel_Glossary,Wpisy,Kayıtlar,"Codex kategorisi — 'Wpisy' = kayıt girdileri"
Panel_Tendency,Wiktor,Wiktor,"Karakter adı; tendency panelinin başlığı karakter adı"
Panel_Progression,Thaumaturgia,Tılsımkârlık,
Panel_Flaws,Skazy,Kusurlar,
Panel_Conclusions,Spostrzeżenia i Wnioski,Gözlem ve Çıkarımlar,
WorldMap_VillagePlan,Plan okolicy,Çevre Planı,
NextPanel,Następny panel,Sonraki Panel,
Progression_NoPoints,Brak punktów,Puan Yok,
Progression_NoPrevStep,Brak poprzedniego kroku,Önceki Adım Yok,
Progression_Active,Aktywny,Etkin,
Menu_Language,Język (Language),Dil (Language),"Orijinal 2 dilli etiket — koruyalım"
Menu_Camera,Kamera,Kamera,
Menu_CameraFOV,Pole widzenia eksploracji (FOV),Keşif Görüş Açısı (FOV),
Menu_Controls,Sterowanie,Kontroller,
Menu_ControlsMovement,Sposób poruszania się,Hareket Şekli,
Menu_Audio,Dźwięk,Ses,
Menu_AudioMusic,Muzyka,Müzik,
Menu_AudioSFX,Efekty,Efektler,
Menu_AudioGlobal,Ogólne,Genel,
Menu_Combat,Walka,Savaş,
Menu_GameSettings,Opcje,Ayarlar,
Menu_Save,Zapisz,Kaydet,
Menu_Load,Wczytaj,Yükle,
Menu_Quit,Wyjdź z gry,Oyundan Çık,
Panel_Menu,Menu,Menü,
Menu_GameSaved,Zapisano,Kaydedildi,
Journal_ActiveQuests,Aktywne,Etkin,
Journal_CompletedQuests,Ukończone,Tamamlanan,
Journal_Select,Wybierz,Seç,
Journal_Track,Śledź zadanie,Görevi Takip Et,
ClosePanel,Zamknij,Kapat,
Progression_Develop,Rozwiń,Geliştir,
CombatSelection_Begin,Rozpocznij,Başlat,
Dialogue_SkipLine,Pomiń wypowiedź,Repliği Geç,
Dialogue_OpenHistory,Przypomnij rozmowę,Konuşma Geçmişi,
WorldMap_CurrentLocation,Tu jesteś,Buradasın,
WorldMap_CityPlan,Plan miasta,Şehir Planı,
Tendency_WorldTendency,Tendencja świata,Dünyanın Eğilimi,
Panel_Insights,Spostrzeżenia,Gözlemler,
Common_Select,Wybierz,Seç,
Consequences_Consequence,Konsekwencja,Sonuç,
Menu_GameOverAdvice_2,"Aby lepiej poradzić sobie w walce możesz skorzystać z podpowiedzi w panelu Pomocy oraz sugestii dotyczących salutorów.","Savaşta daha iyi sonuç almak için Yardım panelindeki ipuçlarından ve salutor önerilerinden yararlanabilirsin.",
WorldMap_ChangeHub,Zmień dzielnicę,Semti Değiştir,
WorldMap_ZoomIn,Przybliż,Yakınlaştır,
Menu_GameOver,Koniec gry,Oyun Bitti,
Menu_SaveWarning,Zapisywanie i wczytywanie gry jest niemożliwe w trakcie walki.,Savaş sırasında oyun kaydedilemez veya yüklenemez.,
Menu_DifficultyLevel,Poziom trudności,Zorluk Seviyesi,
Menu_DifficultyLevel1,Tryb Fabularny,Hikâye Modu,
Menu_DifficultyLevel2,Tryb Wyzwania,Meydan Okuma Modu,
Menu_Exploration,Eksploracja,Keşif,
Menu_NewGameWarning,Czy na pewno chcesz rozpocząć nową grę?,Yeni bir oyun başlatmak istediğinden emin misin?,
Common_Yes,Tak,Evet,
Common_No,Nie,Hayır,
Menu_NewGame,Nowa gra,Yeni Oyun,
Menu_CombatDemo,Demo walki,Savaş Demosu,
Options_SaveAutomatic,Ustawienia zapisują sie automatycznie,Ayarlar otomatik kaydedilir,
Panel_Level,Thaumaturgia,Tılsımkârlık,
Panel_Inventory,Dobytek,Eşya,
Menu_SaveDescription,Nazwa zapisu:,Kayıt adı:,
Menu_SaveHint,Podaj nazwę,Bir ad gir,
Menu_Saved,Zapisano!,Kaydedildi!,
Panel_GlossaryConclusion,Wnioski,Çıkarımlar,
Progression_Flaws,Skazy nabyte,Edinilmiş Kusurlar,
Progression_Heart,Serce,Yürek,"4 boyuttan biri — Yürek (duygu/cesaret)"
Progression_Deed,Czyn,Eylem,"4 boyuttan biri — Eylem (fiziksel eylem)"
Progression_Mind,Umysł,Akıl,"4 boyuttan biri — Akıl (zihinsel)"
Progression_Word,Słowo,Söz,"4 boyuttan biri — Söz (ikna/dil)"
Progression_AvailableUpgrades,Dostępne Ulepszenia,Mevcut Yükseltmeler,
Progression_Upgrades,Ulepszenia,Yükseltmeler,
Progression_Attacks,Ataki,Saldırılar,
Progression_HeavyAttack,Silny atak,Güçlü Saldırı,
Version_Build,Wersja {int}/{sting},Sürüm {int}/{sting},"Placeholder'lar aynen kalmalı"
Menu_ConclusionOption,Od razu wyświetl Wniosek podczas rozmowy,Konuşma sırasında Çıkarımı hemen göster,
Panel_InventoryItemQuest,Przedmioty fabularne,Hikâye Eşyaları,
Panel_InventoryItemCollection,Kolekcje,Koleksiyonlar,
Panel_InventoryItemOutfit,Ubrania,Kıyafetler,
Panel_InventoryItemCollectionMagazine,Magazyny modowe,Moda Dergileri,
Panel_InventoryCollectionSketch,Szkice,Eskizler,
Panel_InventoryCollectionVinyl,Nagrania gramofonowe,Gramofon Plakları,
Panel_InventoryOutfitCoat,Płaszcze,Paltolar,
Panel_InventoryOutfitPants,Spodnie,Pantolonlar,
Panel_InventoryOutfitVest,Kamizelki,Yelekler,
Panel_Salutors,Salutory,Salutorlar,
Menu_GameOverAdvice,"Jeśli chcesz, możesz obniżyć poziom trudności walki w ustawieniach rozgrywki.",Dilersen Oynanış ayarlarından savaş zorluğunu düşürebilirsin.,
ProgressionBlockedRasputin,"Twoja Percepcja pozostanie osłabiona a rozwój thaumaturgii niemożliwy, dopóki nie złożysz wizyty Rasputinowi.","Rasputin'e uğramadığın sürece Algın zayıf kalacak ve tılsımkârlığını geliştiremeyeceksin.",
ProgressionBlockedCombat,Rozwój thaumaturgii i ulepszanie umiejętności jest niemożliwe w trakcie walki.,Savaş sırasında tılsımkârlık geliştirilemez ve yetenekler yükseltilemez.,
UpgradesInfo,"Ulepszenia kupisz za Punkty Thaumaturgii w panelu Thaumaturgia. Po nabyciu, przypisz Ulepszenie do ataku, aby przyniosło efekt.","Yükseltmeleri Tılsımkârlık panelinde Tılsımkârlık Puanıyla satın alırsın. Aldıktan sonra etki etmesi için Yükseltmeyi bir saldırıya ata.",
Dialogue_SkipCutscene,Pomiń przerywnik,Ara Sahneyi Geç,
DimensionPowerBlocked,"Zaniżona, dopóki nie udasz się do Rasputina.","Rasputin'e gidene kadar düşük.",
ProgressionBlockedRasputinSmall,"Percepcja jest osłabiona, złóż wizytę Rasputinowi.","Algı zayıfladı, Rasputin'e uğra.",
Menu_Resume,Wznów,Devam Et,
Menu_QuitToMenu,Wyjdź do menu,Ana Menüye Dön,
Glossary_Category_Family,Rodzina,Aile,
Glossary_Category_Other,Inne,Diğer,
Glossary_Category_Countries,Kraje,Ülkeler,
Glossary_Category_ChatactersOther,Inni,Diğerleri,
Glossary_Category_Caucassus,Kaukaz,Kafkaslar,
Glossary_Category_Warsaw,Warszawa,Varşova,
Glossary_Category_Thaumaturgy,Thaumaturgia,Tılsımkârlık,
Glossary_Category_Book,Książki,Kitaplar,
Glossary_Category_Item,Przedmioty,Eşyalar,
Glossary_Category_Letter,Listy,Mektuplar,
Glossary_Category_Newspaper,Gazety,Gazeteler,
Glossary_Category_Note,Notatki,Notlar,
Glossary_Category_Notebook,Notesy,Not Defterleri,
Glossary_Category_NoteLatge,Duże Notatki,Uzun Notlar,
Journal_Category_Main,Zadania główne,Ana Görevler,
Journal_Category_Side,Zadania poboczne,Yan Görevler,
Panel_InventoryCollectionPhoto,Zdjęcia stereoskopowe,Stereoskopik Fotoğraflar,
Menu_QuestOverride,Czy chcesz nadpisać wcześniejszy zapis gry?,Önceki oyun kaydının üzerine yazmak istiyor musun?,
Menu_LoadWaring,Czy na pewno chcesz wczytać ten zapis gry?,Bu oyun kaydını yüklemek istediğinden emin misin?,
Menu_SettingsWarning,Czy chcesz wprowadzić zmiany w ustawieniach?,Ayarlardaki değişiklikleri uygulamak istiyor musun?,
Menu_QuitWarning,Czy na pewno chcesz opuścić grę?,Oyundan çıkmak istediğinden emin misin?,
