"Key","Value"
"Name_Debuff_Vulnerable","Rozbicie"
"Name_Offensive_Suffer","Cierpienie"
"Name_Offensive_Bleed","Krwawienie"
"Name_Offensive_Pay","Zapłata"
"Name_Offensive_Debt","Krwawy dług"
"Name_Offensive_Focus","Przerażenie"
"Name_Counter_Self","Kontratak"
"Name_Counter_Team","Zespołowy kontratak"
"Name_Convert_DmgToFocus","Psychiczna obrona"
"Name_Defensive_40","Postawa obronna"
"Name_Defensive_60","Gruba skóra"
"Name_Defensive_80","Hart"
"Name_Block_4","Dodatkowy pancerz"
"Name_Buff_Dmg_Max","Perfekcjonizm"
"Name_Buff_Dmg_Basic","Adrenalina"
"Name_Buff_Dmg_Prog","Adrenalina"
"Name_Buff_Dmg_Chance","Loteria"
"Name_Buff_Dmg_Salutor_1","Więź siły"
"Name_Buff_Dmg_Salutor_2","Więź brutalności"
"Name_Buff_Speed_Next","Szybkość"
"Name_Buff_Speed_Temp","Ponaglenie"
"Name_Buff_Speed_Salutor","Więź szybkości"
"Name_Buff_Hide_Action","Nieprzewidywalność"
"Name_Resist_NegativeStates","Niewrażliwość na Stany"
"Name_Resist_ActionManipulation","Niezachwiany"
"Name_Debuff_Dmg","Osłabienie"
"Name_Debuff_Speed","Spowolnienie"
"Name_Debuff_Mark","Oznaczenie wroga"
"Name_Debuff_Def","Odsłonięcie"
"Name_Debuff_Heal","Powikłania"
"Name_Debuff_Stun","Ogłuszenie"
"Name_Debuff_NewSalutor","Osłabienie wymiarów"
"Name_Trap_Hit","Ryzyko"
"Name_Trap_Vulnerable","Rykoszet"
"Name_Inborn_ResistDmg","Odporność"
"Name_Inborn_Konieczkin","Pod komendą naczelnika"
"Name_Inborn_Restore","Regeneracja"
"Name_Inborn_Focus","Skupienie"
"Name_Inborn_BlockStatus","Niewrażliwość"
"Name_Rasputin_Bukavac","Jarzmo Bukavaca"
"Name_Rasputin_Djinn","Jarzmo Djinna"
"Name_Rasputin_Golem","Jarzmo Golema"
"Name_Rasputin_Krampus","Jarzmo Krampusa"
"Name_Rasputin_Lelek","Jarzmo Lelka"
"Name_Rasputin_Morana","Jarzmo Morany"
"Name_Rasputin_Weles","Jarzmo Welesa"
