"Hash","NodeName","PL","TR","Notes"
"8FCD6896434D5FADBD2DF7BD68C07577","CinematicNode_Choice_0","Przyznaj, że ci się podoba.","Beğendiğini söyle.",""
"8DD6B10A40683F50E8B44882D8889C3F","CinematicNode_Choice_0","Poproś o zmianę.","Değişiklik iste.",""
"7B258B3F4ABD792C564C9D8F7C2951B7","CinematicNode_Choice_0","Dowiedz się, czemu nie zwykł rozmawiać.","Neden konuşmayı sevmediğini öğren.",""
"9FD65A274B2B8C01FA23FF84EF197C60","CinematicNode_Choice_0","1","1",""
"8259D15F404C5E3BB861C8B68DC10721","CinematicNode_Choice_0","2","2",""
"02922A5B465E3F7B1172FA8F2D4FF921","CinematicNode_Choice_0","3","3",""
"ED804089414998C2C68C5AB164458CFE","CinematicNode_Choice_1","Poproś o strzyżenie.","Tıraş iste.",""
"23BA53A1499493D61B7CD787D56E50B5","CinematicNode_Choice_1","Odejdź.","Çekil git.",""
"755DD2EC4BCBCC88997A6C95D89D9B94","CinematicNode_Choice_1","1","1",""
"DCB5417D4C4B7A0F090A7EB6666B53CF","CinematicNode_Choice_1","2","2",""
"C7976EA0498725DCE4E2C8B7B73BEEB4","CinematicNode_Response_0","Proszę wybaczyć, nie zwykłem rozmawiać z klientami. Jest pan zadowolony?","Bağışlayın, müşterilerle konuşmaya alışık değilim. Memnun kaldınız mı?",""
"0CC7A1474896F2C1E7D446856035713A","CinematicNode_Response_1","Nie jestem przekonany.","Emin değilim.",""
"2451EAB041F3B62AFAA954B6BE314CF1","CinematicNode_Response_1","Może za dużo <i>fiksatuaru</>? Wie pan, taka teraz moda.","Belki fazla <i>briyantin</> vardır? Bu aralar moda böyle.",""
"D5E7C4394B54FF6AFEF4C29222B8C614","CinematicNode_Response_1","Ale niech będzie, zmieniamy.","Neyse, değiştirelim.",""
"9D1EFB8743E2015A6EC5E5B3496B89B5","CinematicNode_Response_2","Tak. Ma pan talent.","Evet. Yeteneğiniz var.",""
"B1E88D4D46819606961BC3A3D87CB384","CinematicNode_Response_2","Lata wprawy. Moi klienci są zawsze zadowoleni.","Yılların pratiği. Müşterilerim her zaman memnun kalır.",""
"DE81C6CD4AB00079F3098F95F2FAB850","CinematicNode_Response_3","A, to pan rozmowny. Proszę.","Demek siz konuşkansınız. Buyurun.",""
"55A1EF094BD45512EC323AB30FA77C2F","CinematicNode_Response_4","Tak?","Evet?",""
"55406CA144C2CC7C38E2F7BA61CB06B6","CinematicNode_Response_5","Nie umknęło mi, że jest pan najmniej gadatliwym golibrodą, u którego byłem. I sam pan przyznaje, że nieczęsto rozmawia z klientami. Czemu?","Gittiğim en az konuşan berbersiniz, bu gözümden kaçmadı. Üstelik kendiniz de müşterilerle pek konuşmadığınızı söylediniz. Neden?",""
"A0E314EA46FDFBE5DEEB208A47E5D2B5","CinematicNode_Response_5","Gdy przygotowuję ich na ostatnią drogę, wtedy trudno spytać o zdanie.","Onları son yolculuklarına hazırlarken fikirlerini sormak biraz güç oluyor.",""
"A6ADBDAF4CC8E375923570B3995EEBF7","CinematicNode_Response_5","Strzyże pan też nieboszczyków?","Ölülerin de mi saçını kesiyorsunuz?",""
"9094F4C64B562CF4BB80FABE5EE2F3FF","CinematicNode_Response_5","Przede wszystkim. Też się muszą prezentować, w końcu pogrzeb jest raz w życiu.","Özellikle onların. Onlar da düzgün görünmeli, cenaze ömürde bir kez olur nihayetinde.",""
"1234BB8B45D6FECC4645F596610FB44D","CinematicNode_Response_5","To co pan sądzi? Zadowolony?","Peki, ne düşünüyorsunuz? Memnun musunuz?",""
"64DEA3114A4AF567EDA8C49AC423CFB2","CinematicNode_Response_6","Proszę.","Buyurun.",""
"4568C8A24770142A1F16C79AC02115C0","CinematicNode_Response_7","Niech mnie pan doprowadzi do porządku.","Beni toparlayın bakalım.",""
"E396EEB14ECEA957E7BC18AC437C509E","CinematicNode_Response_7","Tak jest.","Emredersiniz.",""
"26A3A84249CE56F4A18E7BAEC0462994","CinematicNode_Response_8","Jednak przyjdę innym razem.","Yine de başka zaman geleyim.",""
"6B9F59A04F706F162B0817AC6BD997F7","CinematicNode_Response_8","Jak pan życzy.","Nasıl arzu ederseniz.",""
