"Hash","NodeName","PL"
"B9A53BD640BC0748B7C497A611548DED","CinematicNode_Choice_5","Powiedz, że żądasz pokazu fajerwerków."
"F4130BC647E9EBF07B828EADA97BCEBB","CinematicNode_Choice_5","Zacznij temat skradzionej broni."
"6B6B55BA446681DA4B4CE5820D898CBE","CinematicNode_Choice_5","Zacznij temat ich więźnia."
"73E726974CB06C7D2369269382E5E791","CinematicNode_Choice_5","Powiedz, że nie chcesz kłopotów."
"85A48FFA488E17B0AF336F848426EBEC","CinematicNode_Choice_5","1"
"BBCB2FA3467AA67230C0C6AB543241E4","CinematicNode_Choice_5","2"
"DC5E83E04B7008093D57B1B8B817D8E9","CinematicNode_Choice_5","3"
"7C25A22E4D861D9A0718C9A7F49E3258","CinematicNode_Choice_5","4"
"3F535310403F8F17261C55AECED71771","CinematicNode_Choice_6","Przyznaj Jemiołowi rację."
"FFCB6CD04630C54C6081D9A85E2012C7","CinematicNode_Choice_6","Zauważ, że Edek ma dar przekonywania."
"78F8F20D416E33392CE2A690593CAEED","CinematicNode_Choice_6","Zauważ, że to Edek jest za wszystko odpowiedzialny."
"F2EAFC8242E14CC25D8A71A7D4792419","CinematicNode_Choice_6","1"
"CB16D0464EA245962F9245B17B51B52C","CinematicNode_Choice_6","2"
"6EC0836C453715CC8177B497B05EB43F","CinematicNode_Choice_6","3"
"ABEC9521452719A4085CC0B7104ED25C","CinematicNode_Choice_7","Zacznij temat Edka."
"55A6F9A24BDFC2F194812F91BE948A8A","CinematicNode_Choice_7","Powiedz, że musisz za potrzebą."
"C327C9914709D2D34D8E6D8A047B2C2D","CinematicNode_Choice_7","Dopytaj o skradziony ładunek."
"80E64F9348EB0FFE52FFECA9821D3637","CinematicNode_Choice_7","1"
"23E4B47E43292913D3D415BC3D8DE675","CinematicNode_Choice_7","2"
"ADC54B5B4BDD5DA34D70EABEB5EB8A38","CinematicNode_Choice_7","3"
"214DBDFD408FC0C86048289E8338137C","CinematicNode_Choice_8","Podsuń mu myśl o rewanżu."
"F1D2F4B04B3DBED693CDAF8048ABA83F","CinematicNode_Choice_8","Weź stronę Jemioła."
"1CAED94945CEAB23EC1663AA168E53D9","CinematicNode_Choice_8","1"
"0C305A094BC71AB76335F3BBD4069EE0","CinematicNode_Choice_8","2"
"10A0DC904F3322C18D0B7EBD25D9324C","CinematicNode_Choice_9","Zaproponuj rozwiązanie."
"C719C74C4F6D79112F430EAE3DA14320","CinematicNode_Choice_9","Nakieruj go, by sam wpadł na genialny pomysł."
"0656130D42C3606CB33C5F9E0CA05E6A","CinematicNode_Choice_9","1"
"84E6206C4B73A70ABBE18E928465DE67","CinematicNode_Choice_9","2"
"7AC396A84F7E608AE065788323B81176","CinematicNode_Response_11","Musimy go od razu...? No, wiecie..."
"2A3B66F3473792B95A5743A5458EB9EB","CinematicNode_Response_11","Ej!"
"72942F134102066C7D77A19E80F51428","CinematicNode_Response_15","Co zamierzaliście zrobić z pojmanym żandarmem? Wiem, że go tu trzymacie."
"1E294AB84BCF82C48ACECA9C5E2B7361","CinematicNode_Response_16","Kim jest ten człowiek za drzwiami?"
"6983B5444F522AEC96691CADAD3ADE84","CinematicNode_Response_17","Nie szukam kłopotów, panowie."
"23F08ADB4AFFC99932E7378612F24DD9","CinematicNode_Response_17","To trzeba było tu nie wchodzić. Dobrze mu powiedziałem, Edek?"
"A5FA815145C12C9F83180BBC42EA50D7","CinematicNode_Response_17","Nie mów mu, jak mnie zwą, Jemioł!"
"CD753937406EBBCCDD37638E27F844BE","CinematicNode_Response_18","Obiecano mi pokaz fajerwerków. Ile jeszcze mam czekać na </>Złotego Tygrysa</>?"
"BF7ACA41419F2E36D5E99CAA7E0BD5BF","CinematicNode_Response_18","To była przykrywka przecie! Nie ma żadnego..."
"BD30AC114BEEB3C1A2BFA5A955E99F19","CinematicNode_Response_18","Zawrzyj gębę, Jemioł!"
"9C4A7ED5453B6109EF1B3AB092524EE1","CinematicNode_Response_19","To wy jesteście tymi herosami podziemia, których szuka pół Warszawy? To wy podprowadziliście ruskim broń?"
"4ADFAFF44D5FDC958F27E797D32793C1","CinematicNode_Response_19","Edek, on wszystko wie."
"A94932A44F4482E06F3D86A3E46B8CF5","CinematicNode_Response_20","Sam widziałeś, co się dzieje. <dl>Gliny</> wozami pancernymi wjechali! Nie uciekniemy!"
"E2FB3B18483683D918A495A1CF60529C","CinematicNode_Response_20","Nie będziemy uciekać. Weźmiemy ich z zaskoczenia! Rozdamy ludziom broń, a policji urządzimy prawdziwe fajerwerki."
"684036E24EE91FF6C7B64EA18FDBE84B","CinematicNode_Response_20","Najpierw wypędzimy ruskich z naszej dzielnicy, potem z miasta, a potem, kto wie!"
"580275564258908C4053EB9AF03FB04B","CinematicNode_Response_20","Ty, Jemioł, masz broń, to pilnuj tego tu. Idziemy!"
"F801E70D45177E9327CD65B0AED41B9B","CinematicNode_Response_20","Czemu ja? Też chcę iść."
"F20FAF4A4A7E137ED97118AC570089FE","CinematicNode_Response_20","<dl>Pomyślunek</> trzeba mieć najpierw. Waruj tutaj, mówię!"
"4EDF839A4D3306FA51FC98883CDB42F9","CinematicNode_Response_21","Edek, powiem ci coś jedno. Teraz to trzeba chyba będzie ich obu utopić."
"77F8EFF14A64FF582A4395A3E590EF71","CinematicNode_Response_21","Na to się nie pisałem, Edek."
"4DFB32384B5B58813AAB1F916DBD5F33","CinematicNode_Response_23","Ile razy mam ci powtarzać, że nie ty tu jesteś szefem, Jemioł?!"
"123A0084469D5731F590398B399E8EA0","CinematicNode_Response_23","Przestańcie do mnie mówić <i>Edek</>!"
"EC721F9D422AD1E1C20C0CBFE7BAF404","CinematicNode_Response_23","Co innego obiecywałeś, Edek. <i>Bez komplikacji</> i <i>królowie życia</>, mówiłeś."
"6C7F035E4805BEAFCC454F8F642BAD53","CinematicNode_Response_23","Wiem, co mówiłem!"
"7DFE91D74B4846BCAE54ECA9E603C04B","CinematicNode_Response_24","Jemioł ma rację. Powinniście mnie zwerbować."
"336B891F4CA342F356FDC0A58557E24E","CinematicNode_Response_24","Widzisz?"
"E14789B6490CE043C2CD10BD7C40C7E5","CinematicNode_Response_25","Nałogowo opowiadasz kolegom bajki, co?"
"8136FFD54CC8B6B7C18114B3E48A1F0C","CinematicNode_Response_25","Ja im otworzyłem oczy na to, do czego są zdolni, jak się postarają."
"56AF979A4E3728FEF107D8809852B352","CinematicNode_Response_25","Myślę, że z ciebie jest zwykły kłamca."
"FE677C364476BC537BA9FDA0934A81AD","CinematicNode_Response_26","Nie da się ukryć, że ponosisz największą winę z nich wszystkich. To ty to zacząłęś."
"F323061F455B630211796E94742C22CD","CinematicNode_Response_26","Ani ty, ani Jemioł, nie jesteście mózgami operacji. Bez obrazy. Wystarczy, jak zgłosicie sprawę policji i wrócisz do domu, do żony."
"38B8500E423CFD4A80285BBE13230E0D","CinematicNode_Response_26","Właściwie, to racja."
"A9F33D0A414073267478BDA24B7E9BA8","CinematicNode_Response_26","Co ty? Nie widzisz, co on robi? Chce nas skłócić, klin między nas wpycha. Nie, to jeszcze nie koniec!"
"CFD564C04009CF4D43CA568AAA3AD2F6","CinematicNode_Response_27","Jemioł ma rację. Powinniście mnie, Edek, utopić, zanim komuś o was powiem."
"F21892F045E7664E629C04813A53DD2A","CinematicNode_Response_28","Nie Jemioł tu decyduje!"
"7C3AFBB74AF550B1891284B18A2B67F9","CinematicNode_Response_28","Mi się zaczyna widzieć, że tylko Jemioł kombinuje, jak z tego wyjść cało."
"04BACFA8478639DF34B6A989FD6AE0B7","CinematicNode_Response_29","Powiem ci coś jedno. Może my go zwerbujemy do nas? Może się przyłączy?"
"A4E2CE794A4814C6C0675E9A527CA7BA","CinematicNode_Response_29","Ta, albo w łapę może weźmie?"
"7DAEF09F45F9DB846DA3F9AA1C85721A","CinematicNode_Response_3","Już ja mu powiem coś jedno."
"6D4AA26E4DBCE1A7AF0863A243D93841","CinematicNode_Response_31","Powiem ci coś jedno. Żadnych sztuczek, jasne?"
