"Hash","NodeName","PL"
"E528426946788B48BBCEF4BF9693461D","CinematicNode_Choice_10","Przyznaj, że nie miałeś o niczym pojęcia. "
"98C97BCC4BABFAABF3ECE5BDC01853CA","CinematicNode_Choice_10","Powiedz, że rewolwer był pewniejszą opcją."
"C7FAB1C34DA759D65423C2874871F6C2","CinematicNode_Choice_11","Idź w poemat pisany krwią."
"8E0C6B934D1B05D19B46DCBF033A8A6B","CinematicNode_Choice_11","Zderz Abaurycego z jego brutalnością."
"D855F2FE47DE5BA14AB4C095920F6060","CinematicNode_Choice_6","Zgódź się. "
"9A8C03E345401AC8D74920BA3EB6336E","CinematicNode_Choice_6","Powiedz, że chcesz się rozejrzeć. "
"2941F66C47A8DAC56032579FD0642BA7","CinematicNode_Choice_7","Zacznij temat Lelka."
"7870DEA3450B4EB091F45A9AF82B9B1A","CinematicNode_Choice_7","Zagadaj o poezję."
"72A9B6E04F438F27D28EB885CC2D10F3","CinematicNode_Choice_7","Dopytaj, co się z nim działo przez lata. "
"CC88C5B34C80443DDB68C09868E52A6E","CinematicNode_Choice_7","Pomów o waszej przeszłości."
"FED761784A1CF4257797039193156257","CinematicNode_Choice_7","Zapytaj o jego plany."
"BBC6CF274A1607F15DF2378D740B3F67","CinematicNode_Choice_7","Odejdź."
"CB38494B42FCD27E85FD64BBF349349F","CinematicNode_Choice_8","Spróbuj dojrzeć Skazę Abaurycego. "
"A397B45849B65F8927191FAF5E513C34","CinematicNode_Choice_8","Opowiedz Abaurycemu o Skazie."
"9C77DB0E4852A8FF7B6E6EBF1C1ABF69","CinematicNode_Choice_9","Przeproś go."
"63A5446A4B4652A5E2D2E49AAC08DD37","CinematicNode_Choice_9","Wytłumacz, ze chodziło o salutora."
"FF5F6E794ED5A64CDA92B5A073AFF99C","CinematicNode_Choice_9","Powiedz, że go uprzedzałeś."
"8BCC3EB14BA694AE16687081CA2BC452","CinematicNode_Response_25","Witaj w moim świecie! "
"53B2DD8C42744462CE0326A83968A6C4","CinematicNode_Response_25","To znaczy? Tutaj też trzymają kogoś na zapleczu i będziemy go zaraz straszyć utopieniem w Wiśle? "
"5F147DE945B7EF34FE7018985574B62A","CinematicNode_Response_25","Udzielił ci się pozytywny nastrój dzielnicy! To dobrze! Ale nie zgadłeś, przyjacielu. Tutaj... tutaj dzieje się magia."
"0C9DDF934C29F9211115B8AA38A3F0E2","CinematicNode_Response_25","Tu <i>myśl przeobrażona w słowo zostaje, by w materię wniknąć i wszechświat czułością nasycać</>."
"7A5DEFA741CE535F4D3128BA93630D3D","CinematicNode_Response_25","To co, napijemy się?"
"F78DF1C248CD0DA5DD13B9AA02D6B143","CinematicNode_Response_26","Ja... wiem już, że to nie za tobą podąża Lelek."
"16DF5FAB4144B392698869B0D9BB40BE","CinematicNode_Response_26","Widzisz? Sam diabeł się mnie nie ima. Pukał do mych drzwi kilka razy, ale nigdy nie mogliśmy się dogadać. "
"289F2E204A8F7FB9A49F5BAD758BF798","CinematicNode_Response_26","Pozornie wydajesz się być dla niego idealnym kandydatem, ale tylko pozornie. "
"7BFDA08A4BE297B3F8E58BBBF0DEAFB0","CinematicNode_Response_27","Dawaj po lornecie. "
"D8168E8842E0B35FA4BEE4A7992A6820","CinematicNode_Response_27","Tutaj się przychodzi, żeby ucieszyć podniebienie jakimś wykwintnym trunkiem! Niech będzie... Meukow z osiemdziesiątego trzeciego. "
"D8F070444193FAA8B3D47FA4A916941E","CinematicNode_Response_27","Nie próżnujesz. "
"B6A773AC47CDE0E33FD74A801405B6CD","CinematicNode_Response_27","Po latach żebrania i jedzenia resztek z wielkopańskich stołów, nie próżnuję!"
"9407425D40B20AB9F652B4AF2A99B55C","CinematicNode_Response_27","Przychodzisz tu, żeby od półświatka oddech wziąć? "
"ECC30AC4452058D5B76D71A620CDC440","CinematicNode_Response_27","Przychodzę tu, żeby nie zapomnieć, kim jestem. Poetą!"
"15B9793C4773AB89E82D0C880E00C4D1","CinematicNode_Response_28","Ty się napij i daj swoim słowom pofruwać, czy co tam z nimi robisz, a ja się tu rozejrzę za Lelkiem."
"BB64DB914714A3AA843C89915A66C3AB","CinematicNode_Response_28","Jak sobie chcesz. Dla mnie to, co zwykle. A kolega o suchym pysku sobie tu powęszy. "
