"Hash","NodeName","PL"
"699D36AF403791D2D3A8C1A8B010397C","CinematicNode_Response_3","Ja was kojarzę z plakatów cyrkowych Buffalo Billa! Bessie i Alice Gordon, słynne pięściarki z Ameryki."
"D41175604ACBE03DCEA685867118E842","CinematicNode_Response_3","<i>Yes, honey</>, autograf?"
"2E373E384158B9E3F619C592815DFDC5","CinematicNode_Response_3","Bardziej mnie interesuje, co robicie w takiej mordowni?"
"7AD181A74AB17070D44BD69BFD2EAC8D","CinematicNode_Response_4","Przepraszam. Panie tu walczą?"
"6818256C4438B58300E7D6BE43B2ED34","CinematicNode_Response_4","<i>Yes</>, Bessie i Alice Gordon od Buffalo Billa. Jakiś problem?"
"40124A14482D54E7E4AA309BEF61589B","CinematicNode_Response_4","W żadnym razie. Zastanawiam się, jak się tutaj znalazłyście."
"D6F3A0A84500A11056A1B18D76B13201","CinematicNode_Response_5","<i>To get even.</> ""Mamy rachunki do równania""?"
"439A05FC4D9968AE66CD4E95A28BD9E6","CinematicNode_Response_5","Do wyrównania. Z Barszczykiem."
"870F85FD4C78521A779DA98547E07805","CinematicNode_Response_5","<i>Fucking asshat</> umawiał się ze mną przez jakiś czas. Tylko nie wspomniał..."
"89CD9A064CAD55EF6204779345186735","CinematicNode_Response_5","...że ze mną też chodził na randki."
"0769CCBF44FD5818D03AC7885F1B8A5D","CinematicNode_Response_5","Wyleczymy mu sklerozę, <i>the American Style</>."
"054902554A8C0B366CEA89BA312B451E","CinematicNode_Response_5","Przemocą."
"F87285AD4029C39B88DFB7B0F44B281B","CinematicNode_Response_5","Rozumiem. Życzę udanej walki."
