"Hash","NodeName","PL"
"499FEFCC4DD0356BAEEED68FF2B2938D","CinematicNode_Choice_1","Zignoruj go i pożegnaj się."
"35E041754F3F150763EE629529E08AAA","CinematicNode_Choice_1","Wyznaj, czemu go pogrążyłeś."
"5C8CFD89492DF76CC7CA719F9D49EDD8","CinematicNode_Choice_1","1"
"61548DA94C7A3621A264E894C806D362","CinematicNode_Choice_1","2"
"95BECB474458D7098A3BDDA00DE45BB4","CinematicNode_Choice_2","Pogratuluj mu. Ma to, czego chciał."
"B70D646F45D60CDD5AFEE7B5535FACF6","CinematicNode_Choice_2","Zauważ, że to dzięki tobie tu jest."
"5F006B65482B54C8E43DC6A3865CDD35","CinematicNode_Choice_2","Powiedz, że to pożegnanie."
"6A4A120B4A0CBA2938E0B6934FBDF6E8","CinematicNode_Choice_2","1"
"B835DF6A47E8C05F874D02B78E647ED4","CinematicNode_Choice_2","2"
"C15107354520C4CEA2564D8C5236457A","CinematicNode_Choice_2","3"
"E899FB384C97566B67E5C79E62367167","CinematicNode_Choice_3","Powiedz, że owszem, ale to sprawa osobista."
"A1C664594B9D1188DEE6B68E2D6546BC","CinematicNode_Choice_3","Powiedz, że tak. I potrzebujesz pomocy."
"F2AC78FB434CF29CF6E2879B1464B22E","CinematicNode_Choice_3","Powiedz, że jedynie ucinacie sobie pogawędkę."
"911B19674CD30E753850759C891BD49C","CinematicNode_Choice_3","1"
"B5ADD3E84CE78B976A5FE1AC57EF91BA","CinematicNode_Choice_3","2"
"CFFCCC7245CC40CCD3348C9290EEF290","CinematicNode_Choice_3","3"
"7A4D24F64EF8C1301F0025A5A1AECF1E","CinematicNode_Choice_5","Powiedz, że po prostu go nie lubisz."
"D26AEACE4254A28CD65DC3BBB3917EA3","CinematicNode_Choice_5","Przyznaj, że przestałeś mu ufać."
"DFD82C75430EC2CE66D95CA63840F1EA","CinematicNode_Choice_5","1"
"287737F9431BBC0AB87025908E23F80B","CinematicNode_Choice_5","2"
"F94B12C44ACA34CA1F85A9AF5F18EB44","CinematicNode_Choice_6","Przyznaj, że wiedziałeś, że ci się uda."
"5568DC9E497F71078CA61481A625ECAA","CinematicNode_Choice_6","Zauważ, że gdyby nie Duma, nie stalibyście tu dzisiaj."
"EC227A2E4122C4AAD1AF06A667BB182F","CinematicNode_Choice_6","Powiedz, że sam nie dałbyś rady tego dokonać."
"757D582B4094BF0D4BFB178B391397D7","CinematicNode_Choice_6","Zbyj go."
"19BFEE764E91EEC279AF968DD6EA8B61","CinematicNode_Choice_6","1"
"3B278FEC406654F778811BB3272EF2AC","CinematicNode_Choice_6","2"
"E1EF34B04EA0582C0E41D089766A4038","CinematicNode_Choice_6","3"
"AB592C9F4D45AF64479B6C97B447C973","CinematicNode_Choice_6","4"
"34DA3347469593396AF2BD9B8260836A","CinematicNode_Response_0","Zarządzam zaniechać przemocy wobec tych, którzy władają mocą."
"DFF205814C7916F0D6F69883D8B1F537","CinematicNode_Response_1","Takie jest nasze życzenie."
"546C35484D3FB9BE30CD23A67E2F50E9","CinematicNode_Response_10","Zamknęliśmy oczy na cierpienie poddanych. Na cierpienie thaumaturgów, którzy swoją moc otrzymali od Boga."
"D45BAD4E44C1DED39011F3A98F354F57","CinematicNode_Response_10"," Dlatego za obowiązek sumienia uznajemy zażegnanie wszelkiej przemocy względem nich. Ze skutkiem natychmiastowym."
"20ECE4784DAFC72E61D71498208BF6EA","CinematicNode_Response_11","I w tym smutku podjąłem decyzję, aby ukrócić brutalne ataki na thaumaturgów. Od dziś dobiegną one końca."
"8BC34FD948F91F0AC4F876AE1F672055","CinematicNode_Response_12","Chociaż dziś wygraliśmy dzięki tobie i twojej Dumie, jutro może ona przynieść nam zgubę."
"564004AE43023B8E6972DB9DBB2AE388","CinematicNode_Response_12","Chcę cię przed tym ustrzec."
"4B9DD3904146EA1EC5C4E69D8870EB33","CinematicNode_Response_13","W zamian za moją łaskę, staną oni przy mnie w walce z wrogami Imperium Rosyjskiego. I zapewnią długie i stabilne rządy caratu."
"CB220F534CA8FDB8AB469A9DBF1AE1E5","CinematicNode_Response_14","Gdyby nie ta Duma, której tak bardzo się lękasz, nie byłoby nas tu."
"0B6708E346D3B1D0D255AB9920A470A5","CinematicNode_Response_15","Nie wystarczyło ci spełnienie własnego snu, Kainie? Zapragnąłęś jeszcze zrujnować mój?"
