"Hash","NodeName","PL"
"0D80250E45D08719FD7A46A920FE083F","CinematicNode_Choice_0","Poproś o coś innego."
"CD345B6D490027906C5510AF2548551A","CinematicNode_Choice_0","Potwierdź, że <i>klawo</>."
"93CD24874767384E4B5137AD6E662132","CinematicNode_Choice_0","1"
"C3400E4A4506E3FBB8DE1090900C62AF","CinematicNode_Choice_0","2"
"47699CD1414AB71257365B9AEF86FB09","CinematicNode_Choice_2","Zmień wygląd."
"0F52AF0B45E6F074D5BBFCB02DA4ED87","CinematicNode_Choice_2","Zrezygnuj."
"0CF068AF4E287FDE27B485B05C6145E5","CinematicNode_Choice_2","1"
"93F2BB404958E9D52294E2A4F6B3CBB9","CinematicNode_Choice_2","2"
"3E384E8A454AD8E883261499AAF75C8C","CinematicNode_Response_0","Co tym razem? Tniemy? A może golimy <dl>cyferblat</>?"
"2BC6C4314DCB8DF2767BF6801AE5AC3A","CinematicNode_Response_1","Do dzieła."
"581F66334E9514D69B83B9B477D7013B","CinematicNode_Response_1","Wnet <dl>aligant</> będzie gotów na <dl>ksiuty</>."
"B2D116A64E2F9254A0FDD49AD31793D2","CinematicNode_Response_1","Bo jak brzytwą zacznę <i>majchrować</>, a pan się będzie rzucać jak ryba, to mi podłogę zapaskudzi."
"AA8665D944DCC118295A2D95D31B1DBE","CinematicNode_Response_1","Rozumiem, nie chcemy odgrywać tutaj scenariusza z Fleet Street."
"1587DBD644621ED0CFCFDF957CADAF02","CinematicNode_Response_10","Rzeczywiście, <dl>klawo</>."
"E1AD00CF41F902BF1A2B1AA259B332D5","CinematicNode_Response_10","No, powiedz pan tam, komu chcesz, że tu nie ma <dl>fuszerki</>."
"F89D5BAB42FAF43F0F4E35999628D1BC","CinematicNode_Response_2","Jeszcze to przemyślę."
"70A590A54A24FE16D87B37AFA4BAAA22","CinematicNode_Response_2","Tylko <dl>wartko</>."
"024F1C1D4424D3B092370D931AB06281","CinematicNode_Response_3","Ale się porobiło z tymi <dl>glinami</>, co?"
"19FD84634802E2D765C03E9993464AF0","CinematicNode_Response_3","Trudno zaprzeczyć."
"8403AE2343B8A3FAAB0B7F8D2A3DF7E5","CinematicNode_Response_3","No, to co <dl>aligant</> życzy?"
"D5F5E8DD426220353E1046A4566BFE47","CinematicNode_Response_4","Co to za <dl>bajzel</> pan masz na <dl>cyferblacie</>? Który to tak, na <dl>patataja</> machnął?"
"3D93F0D14F572857CD2F0780776169A4","CinematicNode_Response_4","Pan się oddasz w moje ręce, zaraz <dl>git</> zrobimy."
"6A05CFA6471CEBC3214241BD163D2954","CinematicNode_Response_6","No, na moje oko <i>klawo</>. Nie?"
"846641C2489FDF7D4F960CB4F817DD5E","CinematicNode_Response_9","Nie wyglądam zbyt dobrze."
"6B8F296541E560A9C0BC83992A3A0F01","CinematicNode_Response_9","Panie, bardziej <dl>galantny</>, to już pan byłeś za młodu."
"527F922E49F58048D6D95B9D4E00DF44","CinematicNode_Response_9","Ale włosy, to zawsze można poprawić. Zaraz pan <dl>nazad</> będziesz <dl>glancuś</>."
