"Hash","NodeName","PL","TR","Notes"
"C82156A2471B42087ED2B5A171D1B068","CinematicNode_Choice_2","Podpuść Danisa do gry w rosyjską ruletkę.","Danis'i Rus ruleti oynamaya kışkırt.",""
"72C1F8244BDB860025558B9BACAE5518","CinematicNode_Choice_2","Zapytaj Danisa o ulubiony bar.","Danis'e en sevdiği barı sor.",""
"D6E250294952DB865B23138923A8313E","CinematicNode_Choice_2","Spytaj o list od narzeczonej. ","Nişanlısından gelen mektubu sor. ",""
"8F0F027D407E3A0BF6F301AF44E4D907","CinematicNode_Choice_2","Odejdź.","Uzaklaş.",""
"501DCAE64EB176D255B7A4880B6D04BF","CinematicNode_Choice_3","Wybierz rewolwer Abaurycego.","Abaurycy'nin revolverini seç.",""
"3ABF59F345B94965015998A29D7975AF","CinematicNode_Choice_3","Zostań przy swoim rewolwerze.","Kendi revolverinde kal.",""
"7AFFCD8A433CB698B5F7C590D466029D","CinematicNode_Response_22","No chodź już, nie daj się prosić. Głowę ci opatrzę. Bez dodatkowych opłat.","Hadi gel, kendini nazlatma. Kafandaki yarayı sararım. Ekstra ücretsiz.","Danis flört"
"65128F814A6712BBFCD47CABF71DA528","CinematicNode_Response_22","Na górę mi nie spieszno. Z kimś bym pograł... Chcesz? ","Yukarı çıkmaya acelem yok. Birileriyle oynayabilirim… İster misin? ",""
"A982E2634CA79327AB7C7EAFBA41CC89","CinematicNode_Response_22","Ja?! W życiu! Ładne mam dłonie, wszyscy mi mówią. Nie pokiereszuję ich sobie tym żelastwem.","Ben mi?! Hayatta olmaz! Ellerim güzel, herkes söyler. Şu hurda demirle kendimi sakat etmem.",""
"5492D9474D7695B2FBDCC8A5FB87B525","CinematicNode_Response_22","A magik co się tu przysłuchuje?! ","Büyücü de ne diye dinleyip duruyor?! ",""
"D524E25C42470CFEB8F17886979EAA64","CinematicNode_Response_23","<i>Meta, Seta i Lorneta</>, czy <i>Bar Londyński</>?","<i>Meta, Seta ve Lorneta</> mı, yoksa <i>Londra Barı</> mı?","'Bar Londyński' = London Bar; aslen İngilizce bar adı"
"D1C9FE08422BA4238351FDA348FDAC1C","CinematicNode_Response_23","<i>Nora Demona</>!","<i>Şeytan İni</>!","'Nora Demona' = mekan/bar adı; çevirilir"
"CEFCDFCA43B42BAA8B9E94BC62007953","CinematicNode_Response_23","A co, kurwa, plebiscyt robisz? Czy dla Niedzica szpiegujesz?","Anket mi yapıyorsun lan? Yoksa Niedzic için casusluk mu?",""
"607564AD4391563B26943FAAC61F16FB","CinematicNode_Response_23","Z czystej ciekawości pytam. Dla nikogo nie pracuję, to ja mam na usługach...","Sırf merakımdan soruyorum. Kimse için çalışmam, benim emrimde…",""
"88BD9A114358C9B338E9F99D01223022","CinematicNode_Response_23","Diaboły, wiem, wiem... Idźże stąd, już mi się sprzykrzyłeś.","Şeytanlar, biliyorum, biliyorum… Çek git buradan, senden bıktım zaten.",""
"7186250646464F0E107A1BA1AADD9490","CinematicNode_Response_24","Tak cicho siedzisz, może w coś zagramy?","Öyle sessiz oturuyorsun ki; bir oyun oynayalım mı?",""
"1B5209D8451998ADD5B2A797167B29DB","CinematicNode_Response_24","Grywacie tu, chłopcy, w rosyjską ruletkę, czy jesteście za miękcy? ","Siz çocuklar burada Rus ruleti oynuyor musunuz, yoksa çok mu yumuşaksınız? ",""
"943112B34582557390D4C19A389E0B0E","CinematicNode_Response_24","Ha! Takiś chojrak?! Dla mnie to chleb powszedni! Gramy!","Ha! Sen bu kadar mı gözü kara?! Benim için sıradan ekmek! Oynuyoruz!",""
"CB59F9384DA08516E3ECF29CA06DEEEB","CinematicNode_Response_24","Ktoś mówił o rosyjskiej ruletce?!","Rus ruleti diyen kim?!",""
"7B5FD1304B14003241C619861558D240","CinematicNode_Response_24","Pokaż, jaki jesteś twardy, paniczyku.","Göster bakalım ne kadar sertsin, küçük beycik.",""
"6E13CE3D4CAEA94A35E796BBA89743EF","CinematicNode_Response_24","Sześć komór, jeden nabój. Zaczynamy?","Altı hazne, bir mermi. Başlıyor muyuz?",""
"4DC6C566487DDC2829D7278D9C712B4B","CinematicNode_Response_24","Poczekaj, Wiktor! Zagrajmy moim.","Dur Wiktor! Benimkiyle oynayalım.","Abaurycy silah değiştirmek ister"
"B0FB20A04716F5062E2D1FA629EF21B4","CinematicNode_Response_25","Przypomina ci to coś? ","Sana bir şey hatırlatıyor mu? ",""
"7D9A759243BE8F126A7EF088BEFDC7F9","CinematicNode_Response_26","Wszyscy łżecie!","Hepiniz yalan söylüyorsunuz!",""
"755618604E8E68399211AA8B3727D3DC","CinematicNode_Response_26","Myślisz, że śmierci się boję? To na mój widok kostucha ze strachu drży!","Ölümden korkuyorum mu sanıyorsun? Azrail beni görünce korkudan titrer!",""
"E3393BD44C418F02443CAAB79722A42B","CinematicNode_Response_26","No to wal.","Çek o zaman.",""
"D5E17F36468F4EADFCAFDDBE3F8B9D5B","CinematicNode_Response_26","Patrz uważnie!","Dikkatli izle!",""
"B5B4F1D24696F11C65DE9EA7F6FD2D33","CinematicNode_Response_27","Może być i twój.","Seninki de olabilir.",""
"49D0DF1942E63F55F36C7CA129ECC11E","CinematicNode_Response_27","Będzie tym ciekawiej!","O zaman daha da ilginç olur!",""
"E520BA364BBE26EB01B194A192278A7A","CinematicNode_Response_28","Następnym razem zagramy twoim.","Bir dahakine seninkiyle oynarız.",""
"7682908C4BFD4C6B8F29C19DAAA34ABC","CinematicNode_Response_28","Mam nadzieję. Niech będzie po twojemu, nie będę nalegać.","Umarım öyle olur. Dediğin gibi olsun, ısrar etmeyeceğim.",""
"18A73B97460827A6C903DDAA548E8942","CinematicNode_Response_29","Stul pysk! ","Kapa çeneni! ",""
"DD8E223D45715D08190945A33C6E8968","CinematicNode_Response_30","Czego tu znowu węszy?","Yine neyin kokusunu alıyor burada?",""
"2BBA63B442C08EA38831AFA20EB5B871","CinematicNode_Response_31","Znalazłem coś, co do ciebie należy. List. Czy...","Sana ait bir şey buldum. Bir mektup. Acaba…",""
"5BACA60140A003F9FCAAC686BEF3CB4C","CinematicNode_Response_31","Oddawaj! Jeśliś go czytał, to pożałujesz! To prywatne sprawy! ","Ver onu! Okuduysan pişman olursun! Özel meselelerdir! ",""
"737F04C44F50222B1DEC3199347EC40D","CinematicNode_Response_31","Spokojnie, chciałem tylko porozmawiać. ","Sakin ol yalnızca konuşmak istedim. ",""
"BA00736F40B44259C094A1889FC6A9E1","CinematicNode_Response_31","Nie mamy o czym gadać! Zostaw mnie. ","Konuşacak bir şeyimiz yok! Bırak beni. ",""
"817019C147483CF7FF435AB9487A700E","CinematicNode_Response_32","Nie zawracaj sobie mną głowy. Już idę. ","Benimle kafanı yorma. Gidiyorum zaten. ",""
"7FCD36AC42C21CBEC3B5B2938D058E4E","CinematicNode_Response_33","Bierzcie mnie w opiekę, bogowie chaosu!","Beni himayenize alın, kaos tanrıları!",""
"DCE4D02C489FEA52729473B2318CA9BE","CinematicNode_Response_33","To koniec. Wiemy, co czeka w bębnie.","Bu son. Top içinde neyin beklediğini biliyoruz.",""
"C968E5B34853F3CBE618A7A84E5E3C28","CinematicNode_Response_33","Starczy ci odwagi, by przekroczyć jeszcze tę jedną granicę?","Bu son sınırı da aşacak cesaretin var mı?",""
"C5CD87984727B3E7C2CC95993BD47356","CinematicNode_Response_34","Co, ciężko w portkach?","Ne oldu pantolonda ağırlaştı mı?",""
"93F9E7D0453B2BAEA17DE3B69F8501C1","CinematicNode_Response_35","Ochujałeś, Wiktor?!","Aklını mı kaçırdın, Wiktor?!",""
"5A6486D44E5023752569AD902C738D92","CinematicNode_Response_36","Panowie, dość, pożartowaliśmy. Danis, tam nic nie ma. Nie nabiłem go.","Beyler yeter, yeteri kadar şaka yaptık. Danis, orada bir şey yok. Doldurmadım.",""
"48E174A346CCAB1FC9420EA237837160","CinematicNode_Response_38","Łżesz, Niedzic!","Yalan söylüyorsun, Niedzic!",""
"0E182B03426DF8594DEC1EA5CB368D5E","CinematicNode_Response_39","Tak to wyglądało z Paszą? Zastanawiasz się, czy będziesz ścierał resztki mojego mózgu z twarzy?","Pasza ile de böyle mi olmuştu? Yüzünden beynimin kalıntılarını silecek misin diye merak ediyor musun?",""
"CA146AB84FA45EAEEC0628A4DE85A3CD","CinematicNode_Response_40","Lubisz to uczucie, kiedy krew się burzy w żyłach? Wtedy czujesz, że żyjesz, co?","Kanın damarlarda kaynaması hissini seviyor musun? O zaman yaşadığını hissediyorsun, değil mi?",""
"7597EF6841B9153690BB6C995A165FFB","CinematicNode_Response_41","Pasza miał pecha i przegrał <i>szaszkę</>, co?","Pasza şanssızdı, <i>şaşka</>yı kaybetti, öyle mi?",""
"1DE38DD54908CD086FF3439FE92B4376","CinematicNode_Response_42","Moja kolej. Miło było was poznać. A z tobą, Wiktor... Jeśli tak zadecyduje los, rozmówimy się w piekle.","Sıra bende. Tanıştığımıza memnun oldum. Sana gelince Wiktor… Kader böyle karar verirse, cehennemde görüşürüz.",""
"A5A782EA448163F207EAEF89B98419C0","CinematicNode_Response_42","No, jeszcze cztery!","Hadi, dört tane daha!",""
"A87883EE4BFC7975AD5F8BA83D2F8894","CinematicNode_Response_42","...","…",""
"75A7A0F2473E45E28A5AAD884D89FCBE","CinematicNode_Response_42","Zaczynamy drugą rundę!","İkinci raundu başlatıyoruz!",""
"490F69A24DC832945129AC8B2E0B0DFD","CinematicNode_Response_43","Zaraz, czy to nie jest ten sam <dl>gnat</>, co myśmy nim...?","Dur bakalım, şu aynı <dl>silah</> değil mi, biz de onunla…?","'gnat' = silah argosu; <dl> tag aynen"
"6119541749C1505261FE46A16039AFA6","CinematicNode_Response_43","Graj.","Oyna.",""
