"Hash","NodeName","PL","TR","Notes"
"F7864817488D58395D517B807A3CBF69","CinematicNode_Choice_0","Zapytaj, co się stało.","Ne olduğunu sor.",""
"4F5AB1044E2F1AF59220B7B474062979","CinematicNode_Choice_0","Zignoruj ją i odejdź.","Onu görmezden gel ve uzaklaş.",""
"270711A44518063C819DA0AD3F254804","CinematicNode_Choice_0","1","1",""
"71C3FCC3442CA65951BF6E98E13B970E","CinematicNode_Choice_0","2","2",""
"DFA2F6B54B549F41268F809BAEC1769B","CinematicNode_Choice_1","Zduś w niej nienawiść.","İçindeki nefreti söndür.",""
"20CE08CC48A8E1EE7144B3805EF1FCF6","CinematicNode_Choice_1","Pociesz ją.","Onu teselli et.",""
"11BDAE6C41340CFE1B610DA6F0DE8A20","CinematicNode_Choice_1","Zauważ, że sami są sobie winni.","Bunu kendi başlarına ettiklerini belirt.",""
"BBCF93AD4746A792AC968D89ECB1206F","CinematicNode_Choice_1","Odejdź.","Çekil.",""
"36C1C9F2457277E7096EEB9670473FCD","CinematicNode_Choice_1","1","1",""
"EFD266DD4511AC243732E6BFCA559073","CinematicNode_Choice_1","2","2",""
"032C52D14FF14522723A6AA2F98CB269","CinematicNode_Choice_1","3","3",""
"57F69F204C7D537753FE2C8665D3DF69","CinematicNode_Choice_1","4","4",""
"808746DA4491596C806F7DB8EC11FD39","CinematicNode_Choice_2","Daj ujście wątpliwościom Tadzika.","Tadzik'in şüphelerine bir kapı arala.",""
"ECE59D5447480B12D75E90A4E631FADF","CinematicNode_Choice_2","Każ im się rozejść.","Dağılmalarını söyle.",""
"249C97804885EE969CFC7797D8421A7E","CinematicNode_Choice_2","Weź się za nich.","İşlerini gör.",""
"600A59D94A04D331ABA2F3B21F190CF7","CinematicNode_Choice_2","1","1",""
"F66DFC314B82BAFB5A3061A293740505","CinematicNode_Choice_2","2","2",""
"F6B00D5042049F776616C98C313DF970","CinematicNode_Choice_2","3","3",""
"51827C9C48A2632C9738449CF76FA2CC","CinematicNode_Response_0","Niech cię piekło pochłonie! Żebyś się w piekle smażył, pomiocie! Mój Tadzik... Zbyszek...","Cehennem yutsun seni! Cehennemde yan, soysuz! Tadzik'im... Zbyszek'im...",""
"3EFB28934F7B01EB6FA7BAA19F3268E6","CinematicNode_Response_0","Teraz babcia widzi, jak się kończą krucjaty? Wszyscy przegrywamy.","Şimdi nine, haçlı seferlerinin nasıl bittiğini görüyor mu? Hepimiz kaybediyoruz.",""
"48DDF8DA4A418445733FE68C66D01BFC","CinematicNode_Response_0","Jeszcze zobaczycie! Mój piękny Tadzik! Mój synek!","Daha görürsünüz! Güzel Tadzik'im! Oğulcuğum!",""
"58D759754F2B833DEF045197ECFD1722","CinematicNode_Response_1","Babciu, co z wami?","Nine, neyiniz var?",""
"D109EA3E40BC7FFBEA4249A170DC7B98","CinematicNode_Response_1","Mój synek! Mój piękny Tadziulek. Panie Boże, Jezu Chryste, Matko Boska! Ześlijcie ognie piekielne na złego, co mnie syna zabrał.","Oğulcuğum! Güzel Tadzio'm. Ulu Tanrı'm, Yüce İsa, Meryem Ana! Oğlumu elimden alan o kötüye cehennem ateşlerini gönderin.",""
"C0BB00374D1CA19F3EADBAB78BEFAD6E","CinematicNode_Response_1","Ubijcie no tego biesa-magika.","Şu büyücü-iblisin işini bitiriverin.",""
"85A2FB4F43A85F17D969C5914398B1EE","CinematicNode_Response_10","Koniec krucjaty, wracajcie do domu.","Haçlı seferi bitti, evinize dönün.",""
"42227C8A4BFFC8CC039BE199F57E13B0","CinematicNode_Response_12","...","...",""
"74CBDC764084B2BD1D2C15AF1009CFDE","CinematicNode_Response_13","Co tu się dzieje?","Burada neler oluyor?",""
"D752AE084EF7F54CBE1A14807B30A43B","CinematicNode_Response_13","Krucjata na chwałę Bożą, ot co.","Tanrı'nın şanına bir haçlı seferi, başka ne olacak.",""
"184210A142F1EFF74213BF9FEEF504F2","CinematicNode_Response_14","W żałobie nie ma miejsca na twoją nienawiść. Wiesz, że twój syn chciał powstrzymać rozlew krwi. Umarł pełen wstydu.","Yasta nefretine yer yoktur. Oğlunun kan dökülmesini durdurmak istediğini biliyorsun. Utancıyla can verdi.",""
"B56DE76743CC6BE538B3C2B85CC6DE4D","CinematicNode_Response_14","Mój chłopiec...","Oğulcuğum...",""
"7BECE89940A1815C3CD1F9990A77E576","CinematicNode_Response_14","Konając, ściskał medalik z komunii. I modlił się o przebaczenie. Dla was wszystkich.","Son nefesinde komünyon madalyonunu sıkıyordu. Hepiniz için bağışlanma diliyordu.",""
"C8C340C1423EE2F38DE02799876930ED","CinematicNode_Response_14","Medalik... skąd wiesz...","Madalyon... bunu nereden biliyorsun...",""
"A737DFA34443EB0FD9726383070871D4","CinematicNode_Response_14","Wiem. Zaufaj mi. Uczcij syna, tak jakby tego pragnął. Nieś pokój, a nie ogień.","Biliyorum. Bana inan. Oğlunun anısını onun isteyeceği gibi yaşat. Ateş değil, huzur taşı.",""
"A80C369A45BBE863EFB6F986200062AA","CinematicNode_Response_14","...","...",""
"A67B4A3E4958B80262B401AF68EEE2A9","CinematicNode_Response_15","Taki dobry synek, cnotliwy. Tylko ta nienawiść, którą w sobie nosisz. Została w tobie zasiana, przez ludzi, dla których jesteś marionetką. ","Öyle iyi yürekli, dürüst bir oğulcuk. Yalnızca içinde taşıdığın o nefret. Onu sana, kuklası olduğun adamlar yerleştirdi. ",""
"5565F6F6417B9FE6956F7D933071BA3A","CinematicNode_Response_15","Skończ przelewać krew. Przecież tego nie chcesz.","Kan dökmeyi bırak. Sen bunu istemiyorsun ki.",""
"76D073D14C6633C7B9B8D495490631B6","CinematicNode_Response_15","Co on gada do ciebie, Tadzik?","Sana ne diyor o, Tadzik?",""
"1BA5960443ADCFE46290AEB5EBED9F06","CinematicNode_Response_15","On ma rację, mamuś. Co my wiemy o tych magikach? Tylko to co w ulotkach napisali, ale czy to prawda?","Haklı, anneciğim. Bu büyücüler hakkında ne biliyoruz ki? Sadece broşürlerde yazanları, ama bunlar doğru mu ki?",""
"63D07026426424C1785FF2B9C7F171C9","CinematicNode_Response_15","A tamtemu już życia nie wrócimy. Ja idę do domu. Nie będę krwi rozlewał.","Onu da geri getiremeyiz. Ben eve gidiyorum. Kan dökmeyeceğim.",""
"16A561B64C60FFDE625E95BBBC8079B0","CinematicNode_Response_15","Tadziu...","Tadzio'm...",""
"086B5E694ED04E7AE77D28B3AE151157","CinematicNode_Response_17","Przepraszam.","Üzgünüm.",""
"6D7ADA514569C59D803E2D8BC4854FBF","CinematicNode_Response_17","A pan czego wracasz? Nie widzisz pan, że ja w żałobie?","Beyim niye geri döndün? Yasta olduğumu görmüyor musun bey?",""
"8250FC4642F6F77712E6DDA588E8EF41","CinematicNode_Response_18","Leć Zbyszek po podpałkę, mówią że diabłów to ogniem trzeba traktować. Jeszcze dychał jak się do domu czołgał.","Koş Zbyszek, çıra getir, derler ki şeytanlara ateşle bakılır. Eve sürünürken hâlâ soluyordu.",""
"DB6BFDDB4CA68F1F2A2A0BBBF94A2FFC","CinematicNode_Response_19","...","...",""
"D02647EF4F0BD6484AC78C8665AE7495","CinematicNode_Response_2","Przykro mi z powodu pani straty. Mogę jakoś pomóc?","Kaybınız için üzgünüm hanımefendi. Bir şeyle yardım edebilir miyim?",""
"6BF435C04D46611C7FF501BF7FCB47D4","CinematicNode_Response_2","Weź pan tego zbója i karę boską na niego sprowadź! Ale... ty jesteś jednym z nich!","Beyim, şu hayduta Tanrı'nın gazabını indir! Ama... sen de onlardan birisin!",""
"E5E42AF8452FBC29439593ADD1C6CD75","CinematicNode_Response_20","W imię Ojca i Syna, my się diabłów nie boimy. Chłopcy, bijta go! Zanim wam dusze pozabiera!","Baba ve Oğul adına, biz şeytandan korkmayız. Oğullar, vurun şuna! Ruhlarınızı almadan önce!",""
"930006104EC7C7735F4CE0980FAF3432","CinematicNode_Response_21","...","...",""
"E428A5864FE39A5CABEE0EBFE9DD2C3A","CinematicNode_Response_3","Co tu się wydarzyło?","Burada ne oldu?",""
"86346CB2442937B437A184BE99A06956","CinematicNode_Response_3","Krucjata. Dobre nasze chłopcy, chciały diabła z dzielnicy wypędzić. I co im przyszło?","Haçlı seferi. İyi oğullarımız semtten şeytanı kovmak istediler. Ellerine ne geçti?",""
"65B297054367C721D107ACB03089DFA4","CinematicNode_Response_3","Jezu, czemuś nie zesłałeś ognia piekielnego? Przecież ten magik, to nie człowiek prawdziwy, trzeba go ubić. Duszy nie ma, lepiej żeby nie żył.","Yüce İsa, niye cehennem ateşini göndermedin? Bu büyücü gerçek bir insan değil, gebertilmesi lazım. Ruhu yok, yaşamasındansa ölmesi yeğdir.",""
"2D6B63664FE8AC36EE62EFA7C3755C1B","CinematicNode_Response_3","Czemuś pozwoliłeś temu diabelcowi ukatrupić mi syna?","O lanet şeytana niye oğlumu öldürmesine izin verdin?",""
"B0E0EBBF4F1C1B8F99E323AE3826A781","CinematicNode_Response_4","Powiem pani coś, tak od serca. Im się wszystkim należało.","Yürekten bir şey söyleyeyim hanımefendi. Hepsi bunu hak etmişti.",""
"BC0A37A742F53B0B5ED2D1901DDD91F7","CinematicNode_Response_4","Co!? Coś pan... a tyś taki sam diabeł, jak i tamten!","Ne!? Ne diyorsun bey... sen de o diğerleri kadar şeytansın!",""
"AFBA17F048AFE6409AA4A9B566A85E9A","CinematicNode_Response_5","Pomocy! Olaboga, ludziska, pomocy, ratujcie! Magik mnie morduje!","İmdat! Aman Tanrı'm, ahali, yardım edin, kurtarın! Büyücü beni öldürüyor!",""
"D6AA9929448B137FA619DD8BDD1BACCE","CinematicNode_Response_6","...","...",""
"5D3FD3EB408436D2BA4AAE835374F6EB","CinematicNode_Response_7","Czy Rofe jest w środku?","Rofe içeride mi?",""
"4CF687D34121883753F5E0A1BCA9DDE3","CinematicNode_Response_7","Matko Bosko! Synuś, tu jeszcze jeden jest!","Meryem Ana! Oğul, burada bir tane daha var!",""
"2676207F42DE00494D7776BB9C6EFC2E","CinematicNode_Response_7","Matkę mi ruszasz? Zatłukę, tak mi dopomóż Bóg.","Anama mı bulaşıyorsun? Tanrı şahidim olsun, geberteceğim seni.",""
"0926462340C3B51AA405318A9BF27A1F","CinematicNode_Response_8","Boże mój, Boże! Takiego pięknego syna miałam, taki dobry chłopiec. I go bies ubił!","Tanrı'm, ey Tanrı'm! Ne güzel bir oğlum vardı, ne iyi bir oğlandı. Ve onu şeytan öldürdü!",""
"D4BA3B0D4B7CCC8ADF4B778FAD5F543F","CinematicNode_Response_8","Żeby tego czarta gangrena dopadła!","Şu lanet iblisi kangren tutsun!",""
"C82C8DE04529C5125606FBA7F83C666E","CinematicNode_Response_9","To chodźcie, miejmy to za sobą.","Hadi öyleyse, bitirelim şu işi.",""
