"Hash","NodeName","PL","TR","Notes"
"994D2C7D44821FE6AEE288926BAB7ECF","CinematicNode_Choice_0","Przeraź Serce cara perspektywą podzielenia losu Skałona.","Çar'ın Yüreğini, Skałon'un kaderini paylaşma ihtimaliyle dehşete düşür.",""
"42B269854D55F69A181567BB58E52126","CinematicNode_Choice_0","Zatrwóż Serce cara lękiem o jego rodzinę.","Çar'ın Yüreğini, ailesi için duyduğu korkuyla titret.",""
"2463E56C434FC638CEDBA485E81972B0","CinematicNode_Choice_0","Uwolnij Serce cara od lęku, oferując mu przychylność.","Ona iyi niyet sunarak Çar'ın Yüreğini korkudan kurtar.",""
"CD210E304249CCDD3DCA32A2BAACB191","CinematicNode_Choice_0","1","1",""
"E2BE9EFB468B91AFF7682FA0945A84A6","CinematicNode_Choice_0","2","2",""
"B30E43514D8A4C4098B50792B985AA90","CinematicNode_Choice_0","3","3",""
"8989AEE7414723383624F09BC74D4637","CinematicNode_Choice_10","Ostrzeż cara przed Rasputinem.","Çar'ı Rasputin'e karşı uyar.",""
"7B9898F44E3F38177BF61490F29BEDD5","CinematicNode_Choice_10","Oznajmij, że z tobą, nic im nie grozi.","Senin yanındayken hiçbir tehlike altında olmadıklarını ilan et.",""
"21C4431E44919C61966250B91B076B92","CinematicNode_Choice_10","Przyznaj, że nie jesteś pewien.","Emin olmadığını kabul et.",""
"CAB9A00B432452FA16ABEDBDA39D9F96","CinematicNode_Choice_10","1","1",""
"6ACC2B4A4C38AA9DB6401891F8151F95","CinematicNode_Choice_10","2","2",""
"2AAED3B347A3AAC75FCF1295FD8E3787","CinematicNode_Choice_10","3","3",""
"558CFC724DBCCFA2707D488646319372","CinematicNode_Choice_11","Zagraj informacjami związanymi ze Swietłaną.","Swietłana ile ilgili bilgileri kullan.",""
"C45DF7A54EB241B858A66A958BE96F75","CinematicNode_Choice_11","Zauważ, że jest przyparty do muru.","Onun köşeye sıkıştırıldığını belirt.",""
