"Hash","NodeName","PL","TR","Notes"
"BC5114B346990FDA01CC61A531073F39","CinematicNode_Choice_0","Powiedz, że otrzymałeś jej wiadomość.","Mesajını aldığını söyle.",""
"8DDA5AD5450892F173B3BD88E36831CB","CinematicNode_Choice_0","Opowiedz o incydencie z Czesławem.","Czesław ile yaşanan olayı anlat.",""
"5583DBB84E5A74A3A2E21890712BF685","CinematicNode_Choice_0","Powiedz, że ty zawiadomisz Dicksteina.","Dickstein'a senin haber vereceğini söyle.",""
"7B32FF98456D27C9D4D232AC5EA28327","CinematicNode_Choice_0","Powiedz, że byłeś u Dicksteina.","Dickstein'a uğradığını söyle.",""
"E709869C409C348014428F91D270D7D8","CinematicNode_Choice_0","1","1",""
"98847D9E408F0B00EA806A81C6E39EA6","CinematicNode_Choice_0","2","2",""
"39F5F5CE4F77D770BD2E469F9199E6C2","CinematicNode_Choice_0","3","3",""
"2DCE4ABB4AC39D203F4DCB9FA3983C10","CinematicNode_Choice_0","4","4",""
"0DEB0B1B419FF201FDB55D9618846614","CinematicNode_Choice_2","Przejdź do rzeczy.","Konuya gir.",""
"EFE4C99142DED907E573D593C43D86BF","CinematicNode_Choice_2","Pochwal ją.","Onu öv.",""
"D54CA90F4F31C7373C1D769D324D04CC","CinematicNode_Choice_2","1","1",""
"A186E72D4B9760E6DBF0248F2487875F","CinematicNode_Choice_2","2","2",""
"2B87E2054F3534BDE4DDDCB66EFEF52B","CinematicNode_Response_0","Żołnierze dzisiaj po mnie przyszli. Udało mi się uciec i przybiegłam od razu tutaj. Zaczęły się aresztowania, jestem pewna, że chcą zamknąć Uniwersytet Latający.","Bugün askerler peşime düştü. Kaçmayı başardım, doğruca buraya koştum. Tutuklamalar başladı; Uçan Üniversite'yi kapatmak istediklerinden eminim.","Cecylia"
"ABFA7D8C4D49C4A2B8588680AF8096B5","CinematicNode_Response_0","Muszę ostrzec, kogo tylko zdołam. Dicksteina przede wszystkim.","Ulaşabildiğim herkesi uyarmalıyım. Her şeyden önce Dickstein'ı.",""
"170C775149D699C23BB62BA7D520495C","CinematicNode_Response_0","Musimy zorganizować zebranie w antykwariacie.","Antikacıda bir toplantı düzenlemeliyiz.",""
"130E1FFA44AEC4251666149C1A3765A4","CinematicNode_Response_1","Panie Wiktorze jak dobrze, że pan jest!","Bay Wiktor, ne iyi geldiniz!",""
"60169A004248EA1DE4BBDEBAEDB23492","CinematicNode_Response_1","Wszystko w porządku?","Her şey yolunda mı?",""
"EC9D86A643229710A42F9ABF4DF32162","CinematicNode_Response_10","Zawiadomimy, kogo zdołamy.","Ulaşabildiğimiz herkese haber vereceğiz.",""
"5C38A427486BED7A76DECFBF097218B0","CinematicNode_Response_10","I spotkamy się w antykwariacie za Placem Zielonym. To umówione miejsce na takie wypadki.","Ve Yeşil Meydan'ın arkasındaki antikacıda buluşacağız. Böyle durumlar için kararlaştırdığımız yer orası.","Plac Zielony → Yeşil Meydan (glossary)"
"C2B51ACA43585121794437A977D9E7BD","CinematicNode_Response_11","To była świetna robota. Zwłaszcza jak na kogoś, kto nie ma thaumaturgicznych mocy. Brawo.","Harika bir işti. Özellikle tılsımkârlık gücü olmayan biri için. Bravo.",""
"A19FEA6049B58A78770F66B27A669F65","CinematicNode_Response_11","Jestem pilną studentką, to wszystko.","Çalışkan bir öğrenciyim, o kadar.",""
