"Hash","NodeName","PL"
"08D4C87542E71A95AF30ACA45709F29F","CinematicNode_Choice_0","Przyznaj, że to była strata czasu."
"8B8D3CDA4542634ED63B3C8CF5B38729","CinematicNode_Choice_0","Zapytaj, co teraz."
"B199FC60456749FF5892D2AB9C7C70B9","CinematicNode_Choice_0","1"
"1E0CB28842D36BCB56F3C0988539C14A","CinematicNode_Choice_0","2"
"9133BA3E45BCEE05E601B7B7F1DC1DF8","CinematicNode_Choice_2","Zapytaj Klarę o Rybaka."
"41A2ED6B4B020958A581B28A07BB301F","CinematicNode_Choice_2","Zapytaj Piotrka, czemu chciał się tu z tobą spotkać."
"8130DE2947FD24211A81FF8AEE2D18B8","CinematicNode_Choice_2","Odejdź."
"58A03B004915D7D5EDFA7FB4BFCC4436","CinematicNode_Choice_2","1"
"A98A552C4E297FA4BFEC89BB26D8D62E","CinematicNode_Choice_2","2"
"9324ACF343FA238306D6B78E543732B2","CinematicNode_Choice_2","3"
"F916EBDC41B471B7CFBD26AD05C5F875","CinematicNode_Response_0","To jeszcze nie koniec! Teraz się rozdzielamy. Ty idź przepytaj inne ciocie, a ja cię znajdę później."
"A78ECABE4DCD08F991DCAE88A7A4A727","CinematicNode_Response_0","Po zmroku, niektóre z nich pracują tu, a inne w uliczkach."
"1FFCD1214C1424D5B214EFA0A9B141E0","CinematicNode_Response_0","Pamiętaj, żeby się na mnie powołać. To jest, na Piotrka Józtę! I tym razem, zadawaj lepsze pytania."
"3CFDAF65415A6873D189F5A176A3C4DC","CinematicNode_Response_1","Jesteś jego prawdziwą ciocią?"
"1F4CFD8E4944E3C2C3D05583440D0DC8","CinematicNode_Response_1","Ale z ciebie <dl>amerykan</>! Oczywiście, że nie!"
"23E47FBB42D08EC8C0EB238A1788042C","CinematicNode_Response_10","Wróciłem."
"CD12C1334E365E2BE1A8208B3F608DD2","CinematicNode_Response_10","Co nowego, wspólniku?"
"36C0F00A4AF2083CE27724A49709CAF0","CinematicNode_Response_12","Uważaj na niego. Jeśli coś mu się stanie, to będzie twoja wina."
"7B4BECE241F206B78C48DB97B3CFFE5B","CinematicNode_Response_15","Co tu robimy?"
"B58B5D4547F1277F5F087A82BBB34866","CinematicNode_Response_15","No jak to, co? Ciocie są kluczem do świata informacji! Wiedzą i widzą więcej, niż ktokolwiek inny na Powiślu."
"AE2D76EC4D14EE6A6F61A191CB41D99A","CinematicNode_Response_2","A znasz Tadeusza Pielechę?"
"5C7B410A409563CA35BEA4A2C9FA1DA8","CinematicNode_Response_2","Niespecjalnie, a to on zabija?"
"ABE8FED94B0A84307EF1C1B6797E3067","CinematicNode_Response_3","Piotruś, to jest to śledztwo, w które się bawisz?"
"509D47B54BA3B9FDA3D4748C6C2E0D57","CinematicNode_Response_3","Lepiej uważaj, bo jeszcze sobie biedy napytasz."
"04159D7A46F9C106F6A92E9BA65FA7DE","CinematicNode_Response_4","Niepotrzebnie się fatygowałem."
"D3851C25480BDA3006F206AA8EF290D2","CinematicNode_Response_5","Co dalej, wspólniku?"
"4A3E30644F3FAC73A6B1BB985DD60420","CinematicNode_Response_6","Ale z ciebie <dl>andrus</>!"
"B62A2AA946D3C7F5F1CD7E9602CE0247","CinematicNode_Response_6","Dzień dobry."
"ED211A7A41ABB6C5ADDD408AFF501EF0","CinematicNode_Response_6","Przerwę mam. Wróć później."
"F0751EF14BA5C97B32440A96133AC9F3","CinematicNode_Response_6","Ja go przysłałem, ciociu Klaro! Robimy razem śledztwo!"
"C916C71C4F439C8A7E8FEDA9D37E4C29","CinematicNode_Response_7","Co wiesz o Rybaku?"
"38FF6ED14082745231BED685DF1C9F4D","CinematicNode_Response_7","Tyle, że już siedzi. Nareszcie. To przeklęte miejsce zazna trochę spokoju."
"42870C0B4462FD11F57B72BD2251BD71","CinematicNode_Response_7","No właśnie nie siedzi! Szukamy tego prawdziwego!"
"2F861485481B372EFF2474AE05B94BF2","CinematicNode_Response_8","Piotruś, Piotruś... Przy tobie to nic nie można powiedzieć. Pamiętasz rękawiczki tamtej damy?"
"1C176A0B44832ACCF36B36B0C82D9948","CinematicNode_Response_8","Raz wspomniałam, że mi się podobają, na następny dzień mi takie przyniósł."
"8D7E637346851C0B7A1DA6B06AD27334","CinematicNode_Response_8","No... mówisz, masz!"
"16CC9FED46799240AC0E9FA7EF4023F9","CinematicNode_Response_9","Wrócę później."
"A2C5CC3D4B0C1C0F8DA2E9828420D32A","CinematicNode_Response_9","Tylko się nie ociągaj, wspólniku."
