"Hash","NodeName","PL"
"19F5C57A4DE5936BD25B86AB23924801","CinematicNode_Choice_0","Odezwij się pierwszy."
"1DB57421450A392F132C76919A589830","CinematicNode_Choice_0","Powiedz coś głupiego."
"F4F4EC014CAF316674296785F010D8A7","CinematicNode_Choice_0","Nic nie mów."
"421DB0AF41E17A859D90538808E0F5D2","CinematicNode_Choice_0","1"
"ADD0F793474D59D0EA3257A42BB3CE44","CinematicNode_Choice_0","2"
"FE84FBC3452D9FCFDC5EB88652C3C30F","CinematicNode_Choice_0","3"
"8C53FB7449B9938B05454A8A83509CDF","CinematicNode_Choice_2","Spróbuj udawać Neumayera."
"16D71D634A5539F205C67CA849374141","CinematicNode_Choice_2","Zapytaj, czy chodzi o siodło Bucefała."
"A75F044549202BD3FBB1DB9D7DED1CE8","CinematicNode_Choice_2","Powiedz, że Neumayera nie ma."
"1A6D939A4CD1800EE5C3D8B88A925D2A","CinematicNode_Choice_2","Odłóź słuchawkę."
"EA16CED24A18D2CB39D95E983EF1E761","CinematicNode_Choice_2","1"
"433992954777CB16DF13E987558D4FE2","CinematicNode_Choice_2","2"
"32F63E874D808B4BAE717F807EE2D569","CinematicNode_Choice_2","3"
"DF5B509A4AB87B4B9BA6E2BF7097FEA2","CinematicNode_Choice_2","4"
"1526A138401ABDC2032072B0113808C1","CinematicNode_Response_0","Ciekawe, kto dzwoni o tej porze?"
"CF336C4B4A50F52F5799FD859C41849A","CinematicNode_Response_1","..."
"F7EC73A641D72397CE572E93FF1F8D11","CinematicNode_Response_1","Halo? Halooo... słyszy mnie pan?"
"FFAD603D4B320A5F405CC6A066EC0208","CinematicNode_Response_1","..."
"A293F845437B4D7F9AD963A484E745FA","CinematicNode_Response_1","Ustrojstwo nie działa. Halo! Halooo! No diabli nadali tę technologię, kurwa..."
"DF603DCC4388DC9917522B9214343A0F","CinematicNode_Response_2","<i>Pod liściem łopianu, siedziało sobie dwóch panów. Wąsy mieli sterczące, bo to były zające.</>"
"9FDC55DF434AC1834824DAAF2A7DDD3F","CinematicNode_Response_2","La la la la la."
"68876906448CC74E198DF991F5C6F15F","CinematicNode_Response_2","..."
"65251F8747038FE00BEA739753A4BC3E","CinematicNode_Response_2","<i>Kotki małe dwa, chciały przejść się chwilkę. Nie wiedziały kiedy, przeszły całą milkę. I znalazły coś, taką dużą ość.</>"
"C323F927421E31E146B882937EB4CCAD","CinematicNode_Response_2","Tra la la la la."
"9D0799F640BAB3C5D1395095E2D6E99C","CinematicNode_Response_2","..."
"7CAED37744BBF854132704A690CF908D","CinematicNode_Response_2","..."
"13EA9DFF4331E6E57D55FC9F9A31EFC7","CinematicNode_Response_3","Neumayera nie ma."
"86AB754E4450774E315A71BD9C7E6BAC","CinematicNode_Response_3","To dlaczego pan odbiera jego telefon? Kim pan jest?"
"B3ACD7BB41042A01DDD7ED94BCDB6B85","CinematicNode_Response_4","Chodzi o siodło Bucefała, prawda?"
"B9CA8A094414B9B89EB8A782402144D8","CinematicNode_Response_4","Tak. Rozmawialiśmy wczoraj o kosztach i zastanawiał się pan nad zdobieniami. Czy już się pan zdecydował?"
"D889512547062E502B5A319B8284720F","CinematicNode_Response_4","Pan wybaczy, dużo się dzieje. Wezmę wszystkie."
"1E822A3A48DBB67B2EB6B8A31D0201C5","CinematicNode_Response_4","Wszystkie?"
"3CB59B5A432DB04AFDC4C792AD334DF6","CinematicNode_Response_4","Tak, niech kapie złotem i diamentami. Chcę, carskie siodła Romanowów wyglądały, jak biedni krewni. Cena nie gra roli. Da się zrobić?"
"2BB922504A6EB2B67F3AE19F7C40B311","CinematicNode_Response_4","Tak. Jak cena nie gra roli, to tak. Oczywiście. Do usłyszenia, panie Neumayer."
"98071FBC4771123FA00BDB807E1343B1","CinematicNode_Response_5","Halo, słucham?"
"1BA09C7F4E8B0A809DF8D295532E5BB3","CinematicNode_Response_5","Pan Neumayer, dzwonię od rymarza w sprawie wykończeń."
"12F34F574A6D4E971138C58D76AB6510","CinematicNode_Response_5","Życzy pan sobie jakieś?"
"640284D740595BA62AD016888CA2B6EC","CinematicNode_Response_6","A mógłby mi pan przypomnieć w jakiej sprawie?"
"8B2E625B4FA61E7F9B2405B3AC72285B","CinematicNode_Response_6","W sprawie siodła. Rozmawialiśmy wczoraj dwie godziny, był pan... chwileczkę. Czy ja rozmawiam z panem Neumayerem? Ma pan inny głos."
"D75C3C094F339738D5F1BFB27D12FE36","CinematicNode_Response_6","Pomyłka!"
"85012AD949E6D4B72937A3AA729DB927","CinematicNode_Response_7","..."
