"Hash","NodeName","PL"
"A32D187947844524B2BE93A6C60A7B80","IC_q201a","Geneza Golema"
"F8B6E348447C1991A6F4E6917698D2C9","IC_q201a","To rabin Sofer z Synagogi Nożyków nałożył na ojca Klątwę Golema. Ciekawe, szczególnie że tych dwóch się najwyraźniej przyjaźniło. Z drugiej strony, niszczenie ważnych relacji było ulubioną rozrywką ojca, więc nie dziwi mnie to. Jeżeli chcę pozbyć się Golema, powinienem udać się na Mirów."
"F80DA62548CCD7A28F0D75B8F22477A6","IC_q201a","Stary list"
"1B70174F41286D8E09B6208860D081EC","IC_q201a","Bardzo generyczny list. Dziwne, że ktoś go zachował."
"565271DA4E3F4B4460A10980846B5374","IC_q201a","Zdziwione słowa"
"1171404F429F9A84ED086EA7A006C03A","IC_q201a","Pod zgrabnymi literami pulsuje głęboka, ukryta toń thaumaturgicznej wiadomości: szukasz kabalisty poza Warszawą? Niepotrzebnie, jeden z najlepszych jest bliżej, niż myślisz - Izaak Sofer z Synagogi Nożyków."
"276BE07F4CF0809189933E99ACC81702","IC_q201a","Amulet"
"A59C74FF4AB137DC66A0948F340509E8","IC_q201a","Cylindryczny medalion skrywa ochronną inkantację w języku hebrajskim."
"F4D35A064A2EB7AB29603E8FB6EAB273","IC_q201a","Zmartwienie rabina"
"50DA742F4D92A36229B415AF39D87BFB","IC_q201a","Słowa wyryte na amulecie emanują żalem, wiadomość zaklęta w medalionie szepcze o ostrzeżeniu. Echo rzuconej klątwy Golema pachnie mroczną kabałą i wyrzutami sumienia. Czuję coś jeszcze... Ślad. Znam go, był w ruinach kamienicy, pod którą zginął ojciec."
"48B02BF349F0A75709EDA8A3EE9479C3","IC_q201a","Tekst kabalistyczny"
"79A8E54C491F7DC08FB7F39F7C20799A","IC_q201a","Długi i zawiły. Jest o tym, że tylko synowie Abrahama mogą tworzyć żywe ciała z gliny. Wieje mizoginią."
"2253463B40C17C310D9424B712E397DB","IC_q201a","Frustracja ojca"
"87E637704396D7579AF557B99508E036","IC_q201a","Uderza książką o biurko, gwałtownie przewraca strony, rozrywa papier między drżącymi palcami. Ze zniecierpliwienia. Zamiera w zamyśleniu nad Klątwą Abrahama, którą na niego nałożono. Musi być jakieś rozwiązanie, musi!"
"25CD9B414BB575E3EBECC6A8CB34034E","IC_q201a","Remont synagogi"
"AE1618B84C2D52C4689E299EFA2C438F","IC_q201a","Robotnicy są bogobojni, ale w swej wierze doszli do odmiennych wniosków. Młodszy chce jak najszybciej odnowić świątynię na boską chwałę. Starszy boi się, że naprawa tego, co Bóg wolą swą zniszczył, jest grzechem. Powinienem zadbać, żeby zwyciężyła ta interpretacja, która jest mi na rękę."
"38FE4B4341D45A7D909855893985A980","IC_q201a","Młody rabin"
"EBB71AB34FD38C9723F2E788A2EC98A8","IC_q201a","Remont synagogi, niesforni robotnicy... nic dziwnego, że rabin nie ma czasu ze mną porozmawiać. Ma sporo na głowie."
"62DFE84B439DCE4DAC36898707945201","IC_q201a","Stara drabina"
"802962B54F5DF66739E4F8BA315CCBCA","IC_q201a","Wysłużona. Na pewno widziała więcej niż jeden remont."
"79BB7E8942939B38BE2E908FE87F237B","IC_q201a","Chęć do pracy"
"611E57414CCAE20C030FF88024E1AB5D","IC_q201a","Drabina została postawiona energicznie i z głębokim przekonaniem, że praca przy odbudowie Domu Bożego to i zaszczyt, i dobry uczynek, który nie umknie Oku Najwyższego oraz jego zastępów niebieskich. Taka praca to skarb."
"2DD95FEA4BB8C7A4354297BBBD913F6B","IC_q201a","Wiadro na deszczówkę"
"F2EB417C419C9CDA5A7EB4AA0A465B1C","IC_q201a","Widać dach przecieka w więcej niż jednym miejscu."
"5128D2D943CE58C3908BE9AF0DD31D23","IC_q201a","Gniew"
"82B8E2AC4D509AB9C9AAD7B57A56CD89","IC_q201a","W lustrze wody odbija się myśl czysta i mocna jak kulka gradu. Dom Boży nie może wyglądać jak ruina. To nie przystoi i trzeba coś z tym zrobić, póki jest na to czas."
"9C27D23C43CAA22821DAB4A9FBEE2681","IC_q201a","Pęknięta ściana"
"FB91A1374711070EED3D35AC0E2A79B6","IC_q201a","Szczelina biegnie od ziemi, do samego dachu synagogi, z którego miarowo kapie woda."
"E05865A44FE43F59CBD8F4B09112E93C","IC_q201a","Bojaźń"
"D8094E974A229D00A7D270AE64F1212E","IC_q201a","W pęknięciu ściany kryje się strach przed słuszną karą boską wymierzoną tym, którzy prawdziwie na nią zasługują. Wszak gdyby Bóg chciał inaczej, byłoby inaczej. Ktoś musiał nagrzeszyć i dlatego synagoga wygląda, jak wygląda."
"CB70CC394784D7BDD577B4A59FBC2837","IC_q201a","Podziemia synagogi"
"E12F238D438977B350C69A8340B72FCB","IC_q201a","To tu przywołano Golema, który dogonił i zabił mojego ojca. A teraz ściga mnie. Myślałem, że salutory nie mogą mieć fizycznej formy, ale myliłem się. Dzięki kabale i nienawiści, nawet fundamentalne prawa thaumaturgii mogą zostać nagięte. Nie odkręcę tego sam. Potrzebuję sprzymierzeńca."
"EB89095744CD8D45336F0BA0536A3B78","IC_q201a","Zniszczona ściana"
"42CE7CAE4597DE09927D1A8A69D22503","IC_q201a","Więc to tędy wyszedł Golem! Ta dziura tłumaczy problemy Feldmana z dachem."
"923FC03242E94E6BC38A1F8A488DB9E6","IC_q201a","Bezmyślna siła"
"B084F91448EE2E82BCBC31A608EAA637","IC_q201a","Kamienie pękają, kruszą się i osuwają. Ściana rozsypuje się w pył w obliczu brutalnej, nieludzkiej siły, która niesie w sobie jedynie nienawiść, pustkę i zniszczenie."
"C27F55A24CA9910E9965DD866BC8C85C","IC_q201a","Wiadra z gliną"
"0E106A3B4698D8DE06F443857FFF82C9","IC_q201a","Glina pewnie posłużyła do stworzenia Golema."
"F37B5B8F41BBAFF6988321BAC6BDC77B","IC_q201a","Rzadkie wydarzenie"
"16B942C743D272EEE73CC2B13DCD910A","IC_q201a","Do mokrej wtedy gliny przyczepiły się fragmenty rozterki. Z jednej strony powołanie Golema jest czynem ekstremalnym. Lekkomyślnym nawet! Z drugiej, ta menda, Szulski sobie zasłużył. Żadna kara za jego zbrodnie nie jest ani zbyt wielka, ani zbyt dotkliwa."
"74CF9303412AB4413EF6C796CD9374AE","IC_q201a","Zapisany materiał"
"FF1051924953684CB593C0BE0608F98A","IC_q201a","Materiał ze starannie wypisaną hebrajską inkantacją."
"016A62A14DED83CFC9A6578733E330A6","IC_q201a","Staranność"
"7DFCE375444D0E7EA954EF93D6DFF012","IC_q201a","Nad materiałem zawisły słowa głębokiego skupienia. Każdy błąd, najmniejsze uchybienie w złożonej inkantacji, może doprowadzić nie tylko do niepowodzenia, ale również śmierci kabalisty. Więc spokojnie, powoli i precyzyjnie. Stawka jest wysoka."
"134241164586E2B93E95D598CC70D2B9","IC_q201a","Kolumna"
