"Hash","NodeName","PL"
"3883B21E4FDF3AB0EA4831B030C682BF","CinematicNode_Choice_4","Do rzeczy. Dowiedz się, o co chodzi."
"76B6478C4223F1C397B86DBF8DF281E6","CinematicNode_Choice_4","Przyznaj, że nie znasz zasad tej gry."
"BD6F0C9D487CD86CE72DA8A97BA0D47C","CinematicNode_Choice_4","Zauważ, że jej ojciec nie lubi thaumaturgów."
"FFAED7844723402BB43B6A909A40697D","CinematicNode_Choice_5","Podziel się sekretem Iriny."
"9E5DCCB14DEAAD831658CABFC31E91CE","CinematicNode_Choice_5","Zdradź sekret Maksyma."
"673C66494EB3632D884B96AB53795457","CinematicNode_Choice_5","Opowiedz o sekrecie Siergieja."
"5AAF30E04BB417685EA94F8B8579B922","CinematicNode_Choice_5","Oddaj Zosi jej wachlarz."
"8E45FA9D459DD7C6A7311286C2953030","CinematicNode_Choice_5","Powiedz, że wciąż szukasz."
"74D37C2D470A230F5B9E5AB0ED5FB78B","CinematicNode_Choice_6","Powiedz, że twoje serce jest już zajęte."
"E2632B3540E1E55EA6918189D08F689E","CinematicNode_Choice_6","Wykręć się od odpowiedzi."
"525F2FA94E6D9E51069EBCB80EA6CA00","CinematicNode_Choice_7","Powiedz, że przyjmujesz wyzwanie."
"461E0A52413E413E49EC9DA9DD67C359","CinematicNode_Choice_7","Zauważ, że to oszustwo."
"0140C79E481D50B890831B8BBC50DCE4","CinematicNode_Response_29","I jak moje moce miałyby się panience przysłużyć?"
"C9AAB7B84CD836D1F207288ECE2F987D","CinematicNode_Response_29","Otóż, zamiast prawdy, przypadło mi wyzwanie."
"6681106A424CF94047359C9542B2AB72","CinematicNode_Response_30","Panienki ojciec nie byłby zachwycony, że jego córka bawi się z thaumaturgiem."
"A698E41D4269E59C6194ADAF92633261","CinematicNode_Response_30","Może właśnie o to mi chodzi?"
"AF6866404C2E9150D0000F80CCD91EF4","CinematicNode_Response_30","Żeby nie spełniać ciągle jego życzeń?"
"C93928E147A9E1BCD498B687B4A4FEA1","CinematicNode_Response_31","Panie Wiktorze, mogę panu zająć chwilę?"
"29C86D33416F40BD44A05D8DB5F55EEC","CinematicNode_Response_32","Czym mogę służyć?"
"6C17021E4FD83F9E7461F08952A3FDED","CinematicNode_Response_32","Czy nie zachwyciłby mnie pan swoimi mocami?"
"0EB318704DC494282BCD2CB8DA8F300B","CinematicNode_Response_33","Pan jest thaumaturgiem, prawda?"
