"Hash","NodeName","PL"
"43A8814B45C26A5C9A1C75ABF40F0FAC","lw_smg02_readable","Stara książka antythaumarugiczna"
"F7033CA843424093253DFD89CDCB8D7A","lw_smg02_readable","O sposobie, w jaki czarownicy lud napastują, wiarę chrześcijańską lżąc; oraz o środkach, jakie przedsięwziąć należy

Wiele sposobów jest, któremi zły duch ludzi niewinnych na pokuszenie wodzi, z czego odstępstwo czarownicze mnoży się. Dlatego prostych ludzi pouczać należy, aby pomocy w troskach swoich w klasztorach i kościołach szukali, a nie u pomiotu diabelskiego, jak to się do tego czasu ku zelżywości wiary chrześcijańskiej, a ku rozmnożeniu czarowników, działo.
I toć jest co Theophilus pisze: albowiem wszelka zwierzchność od Boga jest, której dany jest miecz na karanie złych, a obronę dobrych. 
A iż teraz to w uważeniu mamy, że wszelkimi sposobami panowanie szatana nad ludem zakończyć należy, thaumaturgów zalecamy na stosach wiązać i palić. 
W Rawennie wszystkich w czarowników w ten sposób się pozbyto, co zakończyło wszelkie mieszkańców frasunki: mężczyźni sprawę małżeńską odprawować na powrót poczęli, a nieszczęśnicy zamienieni w bestie postać swą odzyskali."
"3E4A1F09485A8666A75F5ABF207A569A","lw_smg02_readable","Pamiętnik Ligii"
"DCAFCC0349D617B3836DF0B986BD32B3","lw_smg02_readable","Wiktor wrócił. Z jednej strony chcę płakać ze szczęścia, z drugiej… Mój brat bardzo się zmienił i trudno zobaczyć mi w nim chłopca, którym kiedyś był. Pamiętam nasze dwunaste urodziny. Ostatnie kiedy byliśmy wszyscy razem ja, Wiktor, tata i matka. Zabrali nas na karuzelę, a później do cukierni Pani Jagody. Kopaliśmy się z Wiktorem pod stołem i podkradaliśmy sobie z talerzy najsmaczniejsze kąski.<br>Wciąż pamiętam jego śmiech. Jak on potrafił się śmiać! Całym sobą, aż mu się policzki trzęsły. Rodzice jedli na pół pączka ze śliwką i wyglądali prawie na szczęśliwych. Pomyślałam wtedy, że wszystko się ułoży. Że będziemy prawdziwą rodziną bez krzyków, sekretów i tej okropnej presji sztywnych oczekiwań. Niestety, myliłam się. Najpierw odeszła matka, później Wiktor, a teraz ojciec. Wszyscy odchodzą. Ciekawe ile czasu minie, zanim mój brat znowu mnie opuści?"
"132136BB4D77B80D13BE3EAB43257016","lw_smg02_readable","Niedokończony tekst"
"F85079BA4621F8603DF9D3BDD9B86952","lw_smg02_readable","Jak zauważa wyżej wspomniany autor “Ogniwa”: “W fabrykach oprócz mężczyzn, pracują także kobiety i dzieci, co najprawdopodobniej jest wynikiem smutnej okoliczności, że i kobiety i mężczyźni, tak samo jak dzieci, potrzebują jeść.” Cytat świadomie przewrotny, jednak bezwzględnie punktujący fakt, że praca dzieci jest barbarzyństwem, na które…"
"F272EFCE48E402B8545B68B347B9AA0F","lw_smg02_readable","Nadpalony list"
"37C58D74404D1CA8F9F389987D20A6F2","lw_smg02_readable","Moja miłość do Ciebie płonie! Nie pozwalając mi jeść! Nie pozwalając mi spać! Nie pozwalając mi żyć! Ligio błagam ukróć mą agonię! Zgódź się zostać moją…"
"9AFBD7234692710DEF907CAC6A63500D","lw_smg02_readable","Przedarty list"
"9CE97FD94AA217018DF55BAC8FE85291","lw_smg02_readable","Szanowna Panno Szulska,
jestem człowiekiem praktycznym i nie kieruję się sentymentem. Kieruję się zyskiem. Nasze połączone przez małżeństwo majątki zapewnią nam obojgu rozliczne korzyści. Pani pieniądze dołożą się do budowy mojego imperium wędliniarskiego, Pani będzie wreszcie mogła skończyć tę szopkę z pracą…."
"7095EAF44F8AF0807D1576A620EF3FE9","lw_smg02_readable","Starannie złożony list"
"6B716BCD472659C74D20BB97A06BEBE5","lw_smg02_readable","Szanowna Pani Szulska,
będę szczery, nie jest Pani moim pierwszym wyborem. Pani twarz jest pospolita, tendencja do noszenia spodni i nadmierna niezależność niepokojące, a goszczący często na twarzy wyraz irytacji sprawia, że Pani brwi wyglądają jak dwa wściekłe borsuki. Do tego jest pani inteligentna, a to nigdy nie wróży dobrze u kobiety. Oboje wiemy, że życie z Panią, będzie dla mnie źródłem nieustających migren i utrapień. Mimo tego jestem skłonny zaproponować Pani małżeństwo. Sądzę, że we wskazanych przeze mnie okolicznościach, moja oferta jest więcej niż szczodra.

Proszę ją rozważyć,
Ignacy Wokulski"
"C78A6BE74EAF375DAB9170B68D88A110","lw_smg02_readable","Tajemniczy list"
"FE0E614D43D8DFE5B56A13BC42DEB481","lw_smg02_readable","Wyjdź za mnie. Niczego od ciebie nie oczekuję, do niczego nie będę Cię zmuszał. Wystarczy mi, że będę blisko. Zrobię wszystko, żeby dać ci wolność, której pragniesz. Będziesz nietykalna. Przysięgam."
