"Hash","NodeName","PL"
"1909C8F443D6B1AD89B173B5689E3422","CinematicNode_Choice_0","Wysłuchaj jej do końca."
"24110A2D4C2861638BF55F9A97264DEB","CinematicNode_Choice_0","Przyznaj, że żałujesz swojego pytania."
"6F85F9774FD6F9A08292C194DF0DD2BA","CinematicNode_Choice_0","1"
"8C1476934538DB8FF9C75EB56964B5A8","CinematicNode_Choice_0","2"
"C8B9570C47F5F02CABC44FAC00CA4E81","CinematicNode_Choice_1","Przyznaj, że w jej rękach sklep jest bezpieczniejszy."
"C1B8066F473C0908DE87AEAFE8F64B14","CinematicNode_Choice_1","Zauważ, że ojciec sobie tego nie życzył."
"843E0F4648DD8D047AFFBE8899AE9DF1","CinematicNode_Choice_1","Zapytaj najpierw, jaka jest różnica między tymi proszkami."
"B4D9BE444F3E871F06E627B8F19C706E","CinematicNode_Choice_1","1"
"5608EC8E41754E3174698EA945C796C6","CinematicNode_Choice_1","2"
"99D3BB584D08B1D0D8F767B716F9929D","CinematicNode_Choice_1","3"
"B1C9F487492CE95EA419A59D724F22AA","CinematicNode_Response_0","A ""sproszkowana mumija"" to olejek. Egipskie mumie są pokryte ciemną substancją, która jest mieszanką balsamów i płynów organicznych z ciała zmarłego."
"5197F1AF430E613A961ADEBCF8027DD4","CinematicNode_Response_0","Taką zastygłą ludzką żywicę trzeba oskrobać z mumii i robi się z tego olejek. Pomaga w gojeniu, wysypkach, bólach gardła i zawrotach głowy."
"FEE4C7634B1CA3AB39ABB9868A0A1D61","CinematicNode_Response_0","Zdaje się, że ta substancja to <i>bitumin</>. I są łatwiejsze sposoby, żeby ją zdobyć, niż skrobanie mumii."
"D9E3B7694297882957DFBEA80ACC61E3","CinematicNode_Response_0","Być może. Ale nasi klienci wolą skrobane mumie."
"127799E24ADF8C194F9CE688B3891EB5","CinematicNode_Response_0","Chyba że myślisz nad dywersyfikacją asortymentu?"
"85B3D6E14F24A81DD3A0A992508A2AE7","CinematicNode_Response_1","Udajmy, że nie pytałem."
"4D2B36EC40F6EDFA8AF11B8A89768E11","CinematicNode_Response_1","Rozumiem, że wciąż nie interesuje cię twoje dziedzictwo."
"4B5EFD8E4184BD41008E35B9CCFBB922","CinematicNode_Response_10","Zapraszam na komnaty."
"8468512C4F3DAB6441C37AB6D37DD272","CinematicNode_Response_2","Nie wydaje mi się, żeby królowe grzebały się w słupkach cyferek, egzotycznych nazwisk, adresów i listów przewozowych."
"A616C7E44E0835693E2A9EA2FF8C20D9","CinematicNode_Response_3","Zainteresowałeś się rodzinnym przedsiębiorstwem?"
"4348175749BD1D3C11FDABAE420129F6","CinematicNode_Response_4","Zbyt mało, zbyt późno."
"E81B01FD48C8C72DAF943BB9D18ABA25","CinematicNode_Response_5","Tu się niewiele zmieniło."
"6C4C6E9D435F549A2DF8AEBDCB8BD3BC","CinematicNode_Response_5","Tylko szyld, i może właścicielka."
"1E27B4544E3CCC0368E854B1E82D3676","CinematicNode_Response_5","Racja, teraz to twoje królestwo."
"C3C506454DCD4DB18276BD8F9442B1E8","CinematicNode_Response_6","Muszę się zająć inwentaryzacją. Postaraj się nie zrobić większego bałaganu, niż jest teraz."
"9AD9344F466042339EE973BFA855803D","CinematicNode_Response_7","Nasza rozmowa utwierdza mnie tylko w przekonaniu, że ojciec zostawił przedsiębiorstwo we właściwych rękach."
"763B92F94474367456159E8A8AB50A52","CinematicNode_Response_8","Ojciec wyraźnie nie chciał, żebym miał cokolwiek wspólnego z rodzinnymi interesami, prawda?"
"7B720D7445B747CCB18558A35F2889CC","CinematicNode_Response_8","Mhm."
"091255CA4DF683120DDC619C3DB70347","CinematicNode_Response_9","Właściwie jaka jest różnica między proszkiem z mumii a proszkiem z czaszki?"
"F9D155CC4D2156666A83A395CE3A5521","CinematicNode_Response_9","Proszek z czaszki to proszek z czaszki. Robi się z niego wywar na apopleksję i krwawienia."
"415664F6443C23620202DAB316C9CE5D","CinematicNode_Response_9","Thomas Willis, pionier badań nad mózgiem, zwykł dodawać do niego czekoladę."
