"Hash","NodeName","PL","TR","Notes"
"7BF6B9F843EC2903CC848D802F2CD16B","CinematicNode_Choice_1","Przypomnij jej o bracie.","Ona ağabeyini hatırlat.",""
"16C7DD6044FAFFB3012D5893B6CD2260","CinematicNode_Choice_1","Wypomnij jej niechęć do Warszawy.","Varşova'ya duyduğu nefreti yüzüne vur.",""
"FFB01E5F4F2B8814F624EBA275720451","CinematicNode_Choice_1","Porusz wątek zapachu ryb.","Balık kokusu meselesini aç.",""
"5B77ED9947473822FC63368287997B67","CinematicNode_Choice_1","Wydobądź jej całą sympatię dla Piotrka.","Piotrek'e duyduğu tüm sevgiyi ortaya çıkar.",""
"63A65DC34180E62A4C7B5AA475545CE0","CinematicNode_Choice_1","Każ jej odstąpić od Piotrka.","Piotrek'ten uzaklaşmasını emret.",""
"8CB84C92437B41FD925A2E9EE7161CD3","CinematicNode_Choice_1","1","1",""
"7AD88FAC478C7A8878D328B368FDC0E2","CinematicNode_Choice_1","2","2",""
"BB9AD30340E940744055DC9C6A4BDC21","CinematicNode_Choice_1","3","3",""
"749CE61343AF8763BCDAF5B49864DABE","CinematicNode_Choice_1","4","4",""
"B1F90E764862A55F239BBF86AA1E997D","CinematicNode_Choice_1","5","5",""
"F5CA50C944585976DFD31F8C9F2F55FD","CinematicNode_Choice_11","Przyznaj, że to już koniec.","Bunun artık son olduğunu kabul et.",""
"A81B0AE14DB5CFAF59242490B8069F73","CinematicNode_Choice_11","Zacznij jej grozić.","Onu tehdit etmeye başla.",""
"D9B84E99485CCBF2A05A5D89346A423B","CinematicNode_Choice_11","Zauważ, że Piotrek ją lubił.","Piotrek'in onu sevdiğini söyle.",""
"E4671BC649433E6CDC0303885C2C9F14","CinematicNode_Choice_11","1","1",""
"CE43146D4B8BF5C3A7EB03A72EDE031E","CinematicNode_Choice_11","2","2",""
"C738ED8C4B08000D5AFD97A6E7BD2618","CinematicNode_Choice_11","3","3",""
"34B385DC486C2B706020098985B0EDE9","CinematicNode_Choice_13","Zapytaj, czy jego też zabiła.","Onu da öldürüp öldürmediğini sor.",""
"E82DCA234423B20025A6FAA5630D5CDD","CinematicNode_Choice_13","Zauważ, że to żadne usprawiedliwienie.","Bunun bir mazeret olmadığını söyle.",""
"908A7D174CC52EC73D768AB86C912ACA","CinematicNode_Choice_13","Zapytaj, czy w takim razie, Piotrek przypomina jej brata.","Madem öyle, Piotrek'in ona ağabeyini hatırlatıp hatırlatmadığını sor.",""
"74F3A96A44B57499FFE596BFB3BDBDC1","CinematicNode_Choice_13","1","1",""
"19AC068F4D8FDC72B22DDB8E973D2889","CinematicNode_Choice_13","2","2",""
"CC0213FF4FE68EBBC9180296D805A56E","CinematicNode_Choice_13","3","3",""
"E4EC72E9480586E8B544CBB2200DAE36","CinematicNode_Choice_2","Powiedz, żeby nie obwiniała miasta.","Şehri suçlamamasını söyle.",""
"3A1A2E71404D1214C6D274B89FBFE87C","CinematicNode_Choice_2","Przyznaj, że też nie lubisz Warszawy.","Senin de Varşova'yı sevmediğini kabul et.",""
"C38ACA97470FFA68EBDD128E66BE2335","CinematicNode_Choice_2","1","1",""
"8C5305D34363650B23E09FA502379FF1","CinematicNode_Choice_2","2","2",""
"86431B034845048B41E770B68E4E574A","CinematicNode_Choice_3","Nie słuchaj jej.","Onu dinleme.",""
"8ACBFA9848F88367E92153B3214D733F","CinematicNode_Choice_3","Wycofaj się.","Geri çekil.",""
"7848711645E7FC7A5636FB8A84CB6AB5","CinematicNode_Choice_3","1","1",""
"CCA56B624716EF191195A2A17ADCFAAA","CinematicNode_Choice_3","2","2",""
"3926986C49F3A68FEB37F79B92755A79","CinematicNode_Choice_9","Przyznaj, że cię nabrała.","Seni kandırdığını kabul et.",""
