"Hash","NodeName","PL"
"D9AC101A408521564202AF976CF5B999","CinematicNode_Choice_3","Postaw na Barszczyka."
"D748066C47A08387C43E808A8E56C0C0","CinematicNode_Choice_3","Postaw na pozostałych."
"6609734F4F27A6642B0211B622170622","CinematicNode_Choice_3","Poproś o wytłumaczenie."
"DDE964284D1EBC4F714A99A64F32B2CB","CinematicNode_Choice_3","1"
"76EE01BC419BAE8F3E9B99A32F3EF0AF","CinematicNode_Choice_3","2"
"F1DB832442EF8AF6A1C4EFB4024FCED2","CinematicNode_Choice_3","3"
"1916517944E25616D08B6F8D63F0E15E","CinematicNode_Choice_4","Obstaw zakład."
"CF3814D941E0FF6B974C188F844C0548","CinematicNode_Choice_4","Zapytaj, co to za miejsce."
"36CEEEEF466D14974DD235A0D6ED4BB7","CinematicNode_Choice_4","Zapytaj, kto walczy."
"3639E31C43EF78C94D0E18BE2ED22DAD","CinematicNode_Choice_4","Odejdź."
"2BFEEC794B7EB00B788EE7B02D6BB119","CinematicNode_Choice_4","1"
"E2CD48E14545B1DCC897718A57BFCE88","CinematicNode_Choice_4","2"
"CBBDA33040087B434A6AC7B949F9AE3E","CinematicNode_Choice_4","3"
"26D7AA514737C5AF1C9938968393E02E","CinematicNode_Choice_4","4"
"EDE6E58C41B6A46533537B8171FDEB0C","CinematicNode_Choice_5","Powiedz, że przyszedłeś z Arielem."
"7698865C4AF22797F607A78AF307DA1A","CinematicNode_Choice_5","Skłam, że jesteś na wieczorze kawalerskim."
"BE5862C044B95E2944A9B8B680BDD076","CinematicNode_Choice_5","1"
"384A6CD0443C1FA2BEFB20AFDD850330","CinematicNode_Choice_5","2"
"621A58A74FB644BA25C44F8854448BD8","CinematicNode_Response_18","Stawiam rubla na całą resztę."
"7A46955E4DD258C1479E2DBCC0A4B5F7","CinematicNode_Response_18","Jak pan chce!"
"917D43184276790C6A95A180396B8220","CinematicNode_Response_19","Stawiam rubla na Barszczyka."
"336CA8444FEA8F22A8AD879B8570CF2E","CinematicNode_Response_19","<dl>Git</> wybór!"
"6B96D91A4035BBDA519CF48D23D8D81F","CinematicNode_Response_20","A pan co taki niezorientowany? <dl>Na gazie</> jesteś, czy <dl>kikujesz</>, żeby nas wsypać?"
"7EF304F948DF56F2DC7A6DABC1289A03","CinematicNode_Response_20","Kto pana tu wpuścił?"
"EFFA133D4603CADFD98135A724308CB4","CinematicNode_Response_21","Kto walczy?"
"EF9C516347D32BC047E954BC512F3ABD","CinematicNode_Response_22","Chciałbym obstawić walkę."
"6C8AC893474E7D38DEDE29965F43EFF2","CinematicNode_Response_22","Na Barszczyka czy na resztę?"
"CA6C4D2A4376B22A25501BA457603B99","CinematicNode_Response_23","Może następnym razem."
"5AAB5C8F4218CAA10A0372B241869EB0","CinematicNode_Response_24","Nie rozumiem."
"71812A8249F473DF16CB09A082EB5135","CinematicNode_Response_24","Czego pan nie rozumiesz?"
"0F62D3D44FD33CE37626A8990DCC0B8E","CinematicNode_Response_25","Przyszedłem po moje pieniądze."
"28916372400F184C59066DA721F729E5","CinematicNode_Response_25","Panie, co mnie pan w wała robisz? Sam na siebie chcesz pan stawiać?"
"151038F643B54B556EB06A94DFFC9B11","CinematicNode_Response_25","Nie wiedziałem, że będę walczył."
"C4D5BB5F42D65D8457DF81BAAFEA8E8E","CinematicNode_Response_25","To nie jest żadne wytłumaczenie! Nie zapłacę!"
"E9A8EF9F4DE532C110244EB755248464","CinematicNode_Response_25"," Zjeżdżaj pan."
"908AFDF14397FDBEBD3D5CA15D0ABB50","CinematicNode_Response_26","Obstawiajcie ludziska, nie śpijcie, bo wam <dl>mamonka</> ucieknie!"
"BF5DAA9A441BB6D5BC9B418A7F24F3D7","CinematicNode_Response_26","Zakładzik?"
"E95F5BD64B675C99E80F6FBB09F1C921","CinematicNode_Response_27","Przyszedłem z Arielem Rofe."
"D49EB21C4FAB67FCA69E77B7F76A2F0A","CinematicNode_Response_28","Jesteś pan w naszym ""Lochu"". Bez zasad, bez hamulców, tak tu się bawimy."
"1E1B1F274623DE4A167DAA8D786719A7","CinematicNode_Response_29","Pan szanowny wybaczy, na kawalerskim jestem i tak trochę..."
"A86B206346F2126AFF118A9B6314BF6E","CinematicNode_Response_29","<dl>Mantyczenie</> się załącza? Panie, kto tak nie miał?"
"8625B5D2474CF3E2C39EB28F39A2FD33","CinematicNode_Response_30","Nasza chluba i duma. Prawdziwy <dl>andrus</> z Powiśla - Barszczyk!"
"D352ED9C4C0D375A71C46F87471EFE96","CinematicNode_Response_30","A w drugim narożniku?"
"24BF93294F61A16DC4430AACAFA9E2F7","CinematicNode_Response_30","Wszyscy, którzy chcą go sprać! <i>Wszyscy na jednego!</> Taka tradycja lokalna."
"4595D3FD48FCFB8AA0A935A0577FD360","CinematicNode_Response_31","Co to za miejsce?"
"8177515E4CE7EDEAA574F68C6D1D8BCD","CinematicNode_Response_32","Pytaj pan. Powiem, co wiem!"
"1D0730F54834B1D63952C39C1861DCF8","CinematicNode_Response_33","Ale pytał pan, kto walczy."
"F0FCCCF848C8A584C93128B610260CE9","CinematicNode_Response_34","Weksle przyjmujecie?"
"4F09880C44456E51499638AB144EE352","CinematicNode_Response_34","A co się będę szczypał, pisz pan!"
"D61D706E48962EDD37CF2399325696F1","CinematicNode_Response_35","I co? Namyślił się pan w tak zwanym międzyczasie?"
