"Hash","NodeName","PL"
"A61E2A2B4AD014392F43A78B288C5EE0","CinematicNode_Response_2","Gdzie on jest...?"
"D02DDD6146C9C87E6ACB8E813B3BB93B","CinematicNode_Response_2","Nie widzę go... Ale czuję, że..."
"A45C20414E7EBA3ADAC986BE32941C23","CinematicNode_Response_2","Tak chcesz się bawić?"
"A44ECF2B4C7B66D318D2759F0074EA76","CinematicNode_Response_2","Ten jego trel... jest nieznośny..."
"47A2D9AD47727C8F0C53F1883DD40D38","CinematicNode_Response_2","Słyszysz go? Dobrze, to znaczy, że możesz go wskazać."
"B9671D884F4E901FEB4BA08948DDAE5B","CinematicNode_Response_2","Wskaż mi go. Wsłuchaj się w jego śpiew i pokaż, gdzie się ukrył."
"8C5B4A4A4A5B042FA51B47B014D4B673","CinematicNode_Response_2","Masz go."
"84B2B0B142134FFBC3D96FA4FA84FCC5","CinematicNode_Response_3","Widzisz go? Jest niesamowity."
"F62B091E4C5C01652258FEAB05EA2A12","CinematicNode_Response_3","N-nie... mogę... go... poskromić..."
"6081B98E48B5344CBC1646B0E1BDC0F7","CinematicNode_Response_3","Możesz. I potrafisz. Zobacz... On boi się ciebie. Uspokój bicie swojego serca. To go płoszy. Uspokój się..."
