Hash,NodeName,PL,TR,Notes
AC58EE9645928BBEBB91E093EB2CB127,CinematicNode_Choice_5,Zapytaj ją o firmę. ,Ona şirketi sor. ,
F3BDADBD4F8C5C3FA46591881E588136,CinematicNode_Choice_5,Zauważ jej niecodzienny ubiór.,Alışılmadık kıyafetine dikkat çek.,
05D2868A4CD74F72F4472288F5676D06,CinematicNode_Choice_5,Skomentuj jej palenie. ,Sigara içmesi hakkında yorum yap. ,
F31B738A4D8B64C36CD10F93DD929985,CinematicNode_Choice_5,Zapytaj o ślad kobiety znaleziony w gabinecie.,Çalışma odasında bulunan kadın izi hakkında sor.,"'Ślad' = İz (glossary)"
AD5C35C14430E45E1AA29FBDCAE20C25,CinematicNode_Choice_5,Odejdź.,Uzaklaş.,
92F33AF1469E0ADE0B2B6BAB85FB86B8,CinematicNode_Choice_6,Wykręć się.,Kaçamak cevap ver.,
A9290759419460698AE5418E9CC127FA,CinematicNode_Choice_6,Zaprzecz. Nie chcesz tego.,Reddet. Bunu istemiyorsun.,
CFD0313F4239C0EF8664D6AC462EC30B,CinematicNode_Choice_6,"Zapewnij ją, że może na ciebie liczyć.",Sana güvenebileceğine dair güvence ver.,
71CAAD95436669714BCE04B6CF1FCAE6,CinematicNode_Choice_7,Dopytaj o Rumiancewę.,Rumiancewa hakkında soruyu derinleştir.,
AFA2C7944368620BE85FA6B9AA5A984F,CinematicNode_Choice_7,"Dowiedz się, gdzie możesz ją znaleźć. ",Onu nerede bulabileceğini öğren. ,
2529BD724AE07618E2021980385C831B,CinematicNode_Choice_8,"Przyznaj, że jest odważna.",Cesur olduğunu kabul et.,
72AF4C8D4084704749E3ADA194F66877,CinematicNode_Choice_8,"Powiedz, że nie jesteś entuzjastą takiej mody.",Böyle modanın tutkunu olmadığını söyle.,
7125D95E4D5D663C90552FABDA8A3EFE,CinematicNode_Choice_9,"Dopytaj, co to <fr>soirée</>.",<fr>Soirée</>'nin ne olduğunu sor.,"<fr> = Fransızca tag; soirée aynen"
98C6601A4969C5FAB8C213AF9EEF8736,CinematicNode_Choice_9,Pozwól jej mówić.,Konuşmasına izin ver.,
8BCCF82E4A5F1B96148FF9AF3BC09BA7,CinematicNode_Response_0,"Mamy też w Warszawie golibrodów, gdybyś zechciał coś zrobić z tym, co wyhodowałeś na głowie... i twarzy.","Varşova'da berberlerimiz de var, kafanda ve yüzünde yetiştirdiklerinle bir şeyler yapmak istersen.",
907974C44967ADB4D668439B66140E88,CinematicNode_Response_18,Ligia? ,Ligia? ,
68AAC880450E62405BE2E48179450C51,CinematicNode_Response_18,Tak?,Efendim?,
8BFEB7A648CAF0E2B0CB849522CC67C7,CinematicNode_Response_19,Co zamierzasz? Teraz ty tu rządzisz. Masz jakiś wielki plan?,Ne yapacaksın? Artık burayı sen yönetiyorsun. Büyük bir planın var mı?,
53207F7D443CE23A84AB9698CA84DC47,CinematicNode_Response_19,Wielki plan... Na razie staram się utrzymać na powierzchni.,Büyük plan... Şimdilik yüzeyde kalmaya çalışıyorum.,
B96719EF4032A1AF850F45918C0B58A7,CinematicNode_Response_19,"Pewni klienci są zdania, że kobieta nie podoła prowadzeniu przedsiębiorstwa. Co gorsza, kobieta <i>bez mocy</>.","Bazı müşteriler bir kadının işletmeyi yürütemeyeceği görüşünde. Daha da kötüsü, <i>güçsüz</> bir kadın.",Ligia thaumaturgiyası olmayan kadın
9E3BB3474746C66CF2F3CA892513CE0F,CinematicNode_Response_19,"Wiesz, o czym mówię. Thaumaturg u mojego boku zamknąłby im wszystkim usta.","Ne demek istediğimi anlıyorsun. Yanımda bir tılsımkâr olsa, hepsinin ağzı kapanırdı.",
D117863F454E5DB5284CCA903B70D62A,CinematicNode_Response_19,W sumie to też twoje dziedzictwo...,Nihayetinde bu senin de mirasın...,
FE4EE6C849C62EA17786D28DDDDCA63D,CinematicNode_Response_20,"Nie sądzę, abym się na coś zdał. Marny ze mnie thaumaturg i brak mi kompetencji.","Bir işe yarayacağımı sanmıyorum. Zayıf bir tılsımkârım, yeterliliğim yok.",
A2C2A2FD47C4C3E99FBB71989408ADC4,CinematicNode_Response_20,"Nie wiedziałbym, jak wciskać ludziom te wszystkie osobliwości i antyki, którymi handlował ojciec.",Babamın alıp sattığı tüm bu tuhaflıkları ve antikaları insanlara nasıl yutturacağımı bilemezdim.,
