Key,PL,TR,Notes
ACH_q001_healed,Powrót do żywych,Dirilerin Arasına Dönüş,
ACH_q001_healed_desc,Wróć do pełni zdrowia dzięki pomocy cudotwórcy.,Mucize adamının yardımıyla sağlığına kavuş.,
ACH_q001_got_bukavac,Bestia z Zakaukazia,Güney Kafkasya Canavarı,
ACH_A1_started,Rozdział I. Co ja robię tu?,Bölüm I. Ben Burada Ne Arıyorum?,
ACH_q102_got_lelek,Trele morele,Bülbül Muhabbeti,"""Trele morele"" = saçma sözler; Lelek kuş wordplay"
ACH_q103_got_weles,Lepszy wąż w kieszeni...,"Cepteki Yılan…","""Lepszy wróbel w garści"" deyim wordplay - Weles yılan"
ACH_A2_started,Rozdział II. Stawki i koszty,Bölüm II. Bahisler ve Bedeller,
ACH_q201b_got_golem,Poskromienie gliny,Kilin Ehlileştirilmesi,Golem = kilden yaratık
ACH_q201b_gave_away_golem,"Nie moja glina, nie mój problem","Benim Kilim Değil, Benim Sorunum Değil",
ACH_A3_started,Rozdział III. Żarty się skończyły,Bölüm III. Şakalar Bitti,
ACH_joined_committee,Razem raźniej,Birlik Güçtür,
ACH_joined_rasputin,Z diabłem pod rękę,Şeytanla Kol Kola,
ACH_q401_ending,Trud jego skończon,Emek Son Buldu,
ACH_q401_secret_ending,A gdyby tak rzucić wszystko...,Ya Her Şeyi Bıraksan…,
ACH_all_sketches,Rysownik,Eskizci,
ACH_all_photos,Turysta,Turist,
ACH_all_records,Meloman,Müzik Tutkunu,
ACH_all_clothes,Aligant,Şıkırdım,"Aligant = dönem argo elegant"
ACH_lw_smc_done,Politycznie zaangażowany,Siyasi Bağlantılı,
ACH_saddle_ordered,Telemarketing,Telemarketing,
ACH_lw_smg_done,Wieczny student,Ebedi Öğrenci,
ACH_uni_saved,Zasłużony dla nauki,İlme Hizmet Eden,
ACH_pw02_got_morana,Śliska sprawa,Çetrefilli İş,
ACH_grz01_got_djinn,Ostatnie życzenie,Son Dilek,Djinn_H ile tutarlı
ACH_grz01_gave_away_djinn,Prezent na życzenie,İstek Üzerine Hediye,
ACH_pp01_got_krampus,Ktoś tu dostanie rózgę...,Birileri Değnek Yiyecek…,Krampus çocukları değnekler
ACH_combat_full_health,Pełna dominacja,Tam Üstünlük,
ACH_combat_never_attacked,Rączki przy sobie,Eller Kendine,
ACH_combat_champion_of_ring,Podziemny krąg,Yeraltı Ringi,
ACH_combat_30_enemies_stunned,Skup się!,Odaklan!,Skupienie = Odak wordplay
ACH_combat_let_them_suffer,Wieczne cierpienie,Ebedi Acı,
ACH_combat_break_action,Nie tak szybko,O Kadar Hızlı Değil,
ACH_combat_deal_1001_dmg,Manufaktura bólu,Acı Manüfaktürü,
ACH_combat_win_low_health,Mało brakowało,Az Kalsın,
ACH_full_dim_heart,Serce na dłoni,Yüreği Avucunda,
ACH_full_dim_deed,Człowiek Czynu,Eylem Adamı,
ACH_full_dim_mind,Geniusz!,Dâhi!,
ACH_full_dim_word,Erudyta,Erudit,
ACH_full_pride,Na skrzydłach Dumy,Kibir Kanatlarında,
ACH_wanted_letters,Ten rysunek mnie pogrubia,Bu Çizim Beni Şişman Gösteriyor,
ACH_q401_rasputin_friend,"Cześć, partnerze","Selam, Ortak",
ACH_q401_rasputin_servant,Waruj!,Yerine!,"Köpeğe verilen ""yat"" buyruğu"
ACH_q401_rasputin_dead,Niech się stanie wola moja,Benim İsteklerim Yerine Gelsin,"""Lord's Prayer"" parodi"
ACH_q401_committee_pps_dead,Cena za wygraną,Zafer Bedeli,
ACH_q401_committee_peace,Nowa Komitywa,Yeni Cemiyet,Komitywa = devrimci topluluk
ACH_smg01_liar_liar,"Kłamca, kłamca","Yalancı, Yalancı",
ACH_smc03_love_finds_way,Żółte kaczeńce i ona,Sarı Çiçekler ve O,kaczeniec = sarıçiçek
ACH_smg01_donuts,Przez żołądek do serca,Mideden Yüreğe,
ACH_cm01_papa_home,Powrót ojca,Babanın Dönüşü,
ACH_pw01_i_know_abaurycy,Ma się te znajomości,Bizim de Tanıdıklarımız Var,
ACH_pw02_nobody_moves,Negocjator,Müzakereci,
ACH_grz01_well_fight,Wiktor z Arabii,Arabistanlı Wiktor,Lawrence of Arabia göndermesi
ACH_smg02_long_lecture,Wymagający profesor,Titiz Profesör,
ACH_bzr01_kafar_saved,Sztymunek!,Şek Şük!,Varşova argo — uyum/düzen ünlemi
ACH_combat_states,Pokojowe rozwiązanie,Barışçıl Çözüm,
ACH_combat_6_rounds,Szybki i zdenerwowany,Hızlı ve Öfkeli,Fast & Furious göndermesi — TR yerleşik çeviri
ACH_all_upyr_visions,Teraz rozumiem,Şimdi Anlıyorum,
ACH_q001_got_bukavac_desc,"Złap salutora, który nawiedza mieszkańców wioski.",Köyün sakinlerini rahatsız eden salutoru yakala.,
ACH_A1_started_desc,Zakończ sprawy w wiosce i udaj się do Warszawy.,Köydeki işleri bitir ve Varşova'ya git.,
ACH_q102_got_lelek_desc,Pochwyć grasującego po Śródmieściu Południowym Lelka.,Güney Śródmieście'de dolanan Lelek'i yakala.,
ACH_q103_got_weles_desc,"Pochwyć Welesa, Salutora zwabionego do Hotelu Imperialnego.",Hotel Imperialny'ye çekilmiş Salutor Weles'i yakala.,"Özel isim korunur (diyalog/Codex/Readable ile tutarlı)"
ACH_A2_started_desc,Dowiedz się o pewnym dworskim sekrecie.,Bir saray sırrını öğren.,
ACH_q201b_got_golem_desc,"Nie pozwól, żeby Golem wymknął ci się z rąk.",Golem'in elinden kaçmasına izin verme.,
ACH_q201b_gave_away_golem_desc,Dotrzymaj obietnicy danej Arielowi Rofe i oddaj mu Golema.,Ariel Rofe'ye verdiğin sözü tut ve Golem'i ona ver.,
ACH_A3_started_desc,"Opuść klinikę, powitaj stan wojenny w Warszawie.",Kliniği terk et ve Varşova'daki sıkıyönetimi karşıla.,
