"Hash","NodeName","PL","TR","Notes"
"D9AFD208456F44C65394FCB2BDD3FF3A","q203b_journal","Diableski Gambit","Şeytan Gambiti","Görev başlığı"
"D2F5F9D9428DF0411614BFB905A9B556","q203b_journal","Kurz przyjęcia już dawno opadł, a Rasputina nigdzie nie ma. Powinienem go poszukać.","Partinin tozu çoktan yere indi, Rasputin ise ortada yok. Onu aramalıyım.",""
"57DF920B417885E03842E195699F2CD5","q203b_journal","Emir Burnakowicz na swój wnikliwy sposób interesuje się osobą Rasputina. Być może to z powodu mojego uzdrowienia, Rasputin znalazł się w kręgu zainteresowań starego lekarza.","Emir Burnakowicz, kendine has keskin üslubuyla Rasputin'le ilgileniyor. Belki de benim iyileşmem yüzünden Rasputin, yaşlı hekimin ilgi alanına girdi.",""
"E646643348C33593240302B6E3FD649B","q203b_journal","Przyjaciółki Rasputina mówią, że tym razem znajdę go na cmentarzu. Mam przeczucie, że udał się do pewnego rodzinnego grobowca. ","Rasputin'in kadın arkadaşları, bu kez onu mezarlıkta bulacağımı söylüyor. İçimden, belli bir aile mezarına gittiğine dair bir his geliyor. ","Trailing space"
"D992A38A427E13232A1DEEBC850FD92C","q203b_journal","Poza wzrokiem i słuchem postronnych, Rasputin szczerze wyznał, że cud uzdrowienia carewicza ma mu zapewnić miejsce u boku cara, a mnie razem z nim, jeśli tylko tego zechcę.","Gözlerden ve kulaklardan uzakta Rasputin, Çareviç'i iyileştirme mucizesinin kendisine Çar'ın yanında yer açacağını, istersem beni de yanında götüreceğini açıkça itiraf etti.",""
"D65973F5443458D89CC863BBB4735CD8","q203b_journal","Rozmowa z Rasputinem nie potoczyła się najlepiej, padło wiele niefortunnych słów. Mnich chce, żebym był częścią jego planu i żebym uczestniczył w nim na jego zasadach. Nawet jeżeli nie do końca mi to pasuje, to potrzebuję hipnozy więc…","Rasputin ile konuşma pek iyi gitmedi; ortaya çok talihsiz laf çıktı. Keşiş, planının bir parçası olmamı ve katkımın kendi kurallarına uymasını istiyor. Pek içime sinmese de hipnoza ihtiyacım var, dolayısıyla…",""
"BDC40C804F0FC93F26115BBE81CAC36F","q203b_journal","Machina ruszyła i plan Rasputina wchodzi w życie. Mam zbadać wnętrze cerkwi i okoliczności egzorcyzmu, do którego wkrótce dojdzie. Szukam dla Rasputina metody, dzięki której ludzie zobaczą w nim boskiego uzdrowiciela.","Çark döndü, Rasputin'in planı hayata geçiyor. Ortodoks Kilisesi'nin içini ve az sonra yapılacak şeytan kovma ayininin koşullarını incelemem gerek. Rasputin adına, insanların onda ilahî bir iyileştirici görebileceği bir yol arıyorum.","cerkiew → Ortodoks Kilisesi (glossary)"
"050D5FB74FFDE1DAEA409DB9705917A2","q203b_journal","Szymon, mały, niespokojny chłopiec, który ma zostać poddany egzorcyzmowi, nosi w sobie Skazę. To może być nowina, której oczekuje Rasputin.","Şeytan kovma ayinine tabi tutulacak küçük, tedirgin çocuk Szymon, içinde bir Kusur taşıyor. Bu, Rasputin'in beklediği haber olabilir.",""
"40DE835F49923CB1FA3CCDA94201CF4B","q203b_journal","Szymon okazał się być thaumaturgiem, a ja zobaczyłem w nim siebie z dawnych lat. Zabrałem chłopcu jego Skazę, licząc, że przez to będzie miał szczęśliwsze dzieciństwo ode mnie.","Szymon'ın bir tılsımkâr olduğu ortaya çıktı; onda eski yıllarımdaki kendimi gördüm. Çocuğun Kusur'unu aldım; umarım bu ona benimkinden daha mutlu bir çocukluk kazandırır.",""
"A3D8FD904C344C67C128049239F61B1F","q203b_journal","Szymon okazał się być thaumaturgiem, a ja zobaczyłem w nim siebie z dawnych lat. Wierzę, że zapamięta nasze spotkanie, a jego Skaza przysposobi mu potężnego salutora, w którym będzie miał wiernego przyjaciela.","Szymon'ın bir tılsımkâr olduğu ortaya çıktı; onda eski yıllarımdaki kendimi gördüm. Karşılaşmamızı unutmayacağına inanıyorum; Kusur'u ona güçlü bir salutor kazandıracak ve salutor onun sadık dostu olacak.",""
"A8540D9A4D078432FE6217A54D45D3C4","q203b_journal","Rasputin osiągnął to, czego chciał. W oczach ludzi wyszedł na cudotwórcę i pomógł tam, gdzie boży sługa, Kirył, zawiódł. Płomienne przemówienie Rasputina, które nastąpiło zaraz po tym, podpaliło nastroje i wywołało zamieszki. To się nie skończy dobrze.","Rasputin istediğini elde etti. İnsanların gözünde mucizekâr çıktı ve Tanrı'nın hizmetkârı Kirył'ın başaramadığı yerde yardım ediverdi. Hemen akabinde gelen alevli konuşması havayı tutuşturdu ve kargaşaya yol açtı. Bu iyi bitmeyecek.",""
"D157C9BD49DC401DB7FABFA39AA5BCB5","q203b_journal","Przyjrzyj się planom Rasputina","Rasputin'in planlarını incele","Quest objective"
"1A4FDCE247B6D8C6ACB897AD4E9F670E","q203b_journal","Wróć do Rasputina, gdy będziesz gotów","Hazır olduğunda Rasputin'e dön",""
"DFB8B6F14DE7A7392C88EC99D0DB06E5","q203b_journal","Porozmawiaj z Rasputinem","Rasputin ile konuş",""
"B00727A041CC2B5B4E22F3A0890F060B","q203b_journal","Porozmawiaj z Rasputinem w cerkwi","Rasputin ile Ortodoks Kilisesi'nde konuş",""
"F33B3E384B5242478CF21C966E5EAC29","q203b_journal","Stwórz odpowiednie warunki pod cud Rasputina","Rasputin'in mucizesi için uygun koşulları hazırla",""
