Hash,NodeName,PL,TR,Notes
1B2D6DFE4792EA8286B2D5B44F22E713,CinematicNode_Choice_10,"Zapytaj, gdzie go znaleźć. Bez szczegółów.",Onu nerede bulacağını sor. Ayrıntı verme.,
90CBE4C841514A34FF6A2BA55A0E42A7,CinematicNode_Choice_10,Dowiedz się więcej o Javierze.,Javier hakkında daha fazla bilgi edin.,
4F06B8DB4A1CB45F4BF489A8151025D5,CinematicNode_Choice_10,"Zauważ, że to niecodzienne imię.",Bunun sıradışı bir isim olduğunu belirt.,
F3FAA97E441B031138934485A41593B0,CinematicNode_Choice_10,1,1,
3E2700B943CE154A5EB635ACA3E82F5A,CinematicNode_Choice_10,2,2,
BE2BEFDB4C2CA4C4CECD71B0556B3E99,CinematicNode_Choice_10,3,3,
EADCC4B94FD7ED4FDA052A90ECB0584B,CinematicNode_Choice_11,"Powiedz, że nie byłeś w tej części miasta.",Şehrin o kesimine gitmediğini söyle.,
39CDC5054D3D0F1324983FAFA6C5AC17,CinematicNode_Choice_11,Wspomnij waszą eskapadę na Powiśle w młodości.,Gençliğinizdeki Powiśle kaçamağınızı hatırlat.,
5FB33E1A41A68021CFA598BBDA80607A,CinematicNode_Choice_11,"Powiedz, że już miałeś okazję.",Zaten fırsatın olduğunu söyle.,
9663EF924C39D0235DC807A194AC1A14,CinematicNode_Choice_11,1,1,
113E1E3743B172F52D5ED6806F19CC3A,CinematicNode_Choice_11,2,2,
EC518D0645456B7DAB2FBE851EF7BEFD,CinematicNode_Choice_11,3,3,
A9F8BE904BBF601B9F517A904A08654B,CinematicNode_Choice_6,Nie przeszkadzaj Abaurycemu.,Abaurycy'i rahatsız etme.,
FBE3A47043DBA2C3A5AC2CA5420CC5F8,CinematicNode_Choice_6,Zaproponuj Abaurycemu spłatę długu.,Abaurycy'e borcun ödenmesini teklif et.,
DB2A4DBE4F02130B869C8DBEA15491E4,CinematicNode_Choice_6,1,1,
73BCC4EA4BA223E8E05E68AE0D0F9A94,CinematicNode_Choice_6,2,2,
2BEEB8A1483893A15CC098821586E83F,CinematicNode_Choice_7,Zgódź się na kawę.,Kahveyi kabul et.,
845FA5B24ABB19A086D6978FA986A5FD,CinematicNode_Choice_7,"Zapytaj, co tu się dzieje.",Burada neler olduğunu sor.,
4CEDFD60427EBD6374040CBF20EB8D61,CinematicNode_Choice_7,"Zwróć uwagę, że Abaurycy lubi wiązać ludzi.",Abaurycy'in insanları bağlamayı sevdiğini belirt.,
E6BF50054642BC54C4511F99C28EF68E,CinematicNode_Choice_7,1,1,
58471E0642DF3D6700AFABADADB7A0EE,CinematicNode_Choice_7,2,2,
44E96E1A4D6A46D3A740C9823321A20E,CinematicNode_Choice_7,3,3,
7A84138841C82A79741F1487239B6DAB,CinematicNode_Choice_8,"Powiedz, że czarną, bez cukru.","Sade, şekersiz iste.",
7B1D6376435370819165F4995C6520AF,CinematicNode_Choice_8,"Powiedz, że nie chcesz kawy.",Kahve istemediğini söyle.,
7E5953AE4391CE737F80B8BC256508E4,CinematicNode_Choice_8,1,1,
024ED7A543178F65A324D8AB31622CC3,CinematicNode_Choice_8,2,2,
718749FD438E5D266FD6D2A78704B7A1,CinematicNode_Choice_9,"Wyjaśnij, co miałeś na myśli.",Neyi kastettiğini açıkla.,
FDD2D6C549F30F76709DBB9EDC33C77A,CinematicNode_Choice_9,"Powiedz, że nie chodzi o morderstwo.",Meselenin cinayet olmadığını söyle.,
105B12D2467366517F82E2A71336997F,CinematicNode_Choice_9,1,1,
C94E9B75491F779341E7D1B683630560,CinematicNode_Choice_9,2,2,
0A24310D4415F2EAACB185B9601469FA,CinematicNode_Response_0,"Tak się składa, że tak. Dość specyficzna okolica. Rybacy, tragarze i rzemieślnicy, próbujący związać koniec z końcem. ","Öyle denk geldi evet. Oldukça kendine has bir semt. Balıkçılar, hamallar ve iki ucu bir araya getirmeye çalışan zanaatkârlar.",Abaurycy Powiśle hakkında
95829FB74A191D5FFA79A3BC0440E0F7,CinematicNode_Response_0,Tyle zauważyłeś?,Bu kadarını fark ettin mi?,
1FE381C74AE4F7DAB7067EAF8FBE108E,CinematicNode_Response_0,Mniej więcej.,Aşağı yukarı.,
A02183134ADEA3E30AB4A183370D11E6,CinematicNode_Response_28,"""Kilka dni, panie Abaurycy, kilka dni"". Widzicie go?","""Birkaç gün, Bay Abaurycy, birkaç gün."" Görüyor musunuz şu adamı?",
D81BA6FA42117BA79BB9CAB03D378E09,CinematicNode_Response_28,"Panie Abaurycy, oddam, przysięgam. Jutro są wyścigi na Torze Mokotowskim. Wygram. Sztymunek? ","Bay Abaurycy, ödeyeceğim, yemin ederim. Yarın Mokotów Pisti'nde yarışlar var. Kazanacağım. Ayarladık mı?",'sztymunek' = argo — mutabakat
DDDB8B9E434FEE2151D08F99E9CFD815,CinematicNode_Response_28,"Był, dopóki kasa się zgadzała.","Vardı, kasa denk gelene kadar.",
6F6C0CDF4EA29C56FCC1D79159651D2E,CinematicNode_Response_28,Błagam. ,Yalvarırım. ,
FAD80F074A46369D66F8AEA61B53938E,CinematicNode_Response_28,"Nie rycz, bo mi dywan załzawisz. A to perski!","İnleme, halıyı gözyaşıyla ıslatacaksın. Hem de İran halısı!",Abaurycy
BCE6C3EC492EFA1D437599996E429B61,CinematicNode_Response_28,Wyglądasz na zmęczonego. Chcesz kawy?,Yorgun görünüyorsun. Kahve ister misin?,
1F8E4B1149C6480794DD7B80EB2E0D06,CinematicNode_Response_29,Mogę założyć za niego te pieniądze?,Onun adına parayı ben ödeyebilir miyim?,Wiktor
786975D748463B292D18C7A833A7E890,CinematicNode_Response_29,"Tak! Błagam! Obiecuję, dobry panie, oddam co do kopiejki!","Evet! Yalvarırım! Söz veriyorum iyi bey, kuruşuna kadar öderim!",
B4422D5744D45D5BC1077C939997A0C5,CinematicNode_Response_29,Ale masz sponsora. Niech będzie. Zabrać go stąd.,Sponsorun varmış. Öyle olsun. Götürün onu buradan.,
C31C5959470144FA936655B5A77B0E7B,CinematicNode_Response_30,"Wynagrodzisz mi to, co do kopiejki.",Bunu kuruşuna kadar bana geri ödeyeceksin.,Wiktor
10CE989B4D985039DFD023B046C3FBCB,CinematicNode_Response_30,"Tak. Oddam wszystko! Dziękuję, panie Abaurycy.","Evet. Hepsini öderim! Teşekkür ederim, Bay Abaurycy.",
