"Hash","NodeName","PL"
"656A1F184A0CA909E6774886E29DA7A2","CinematicNode_Choice_1","Podziękuj i wsiadaj."
"73F18F6E4FA49DC6436BDAB03C18CDAF","CinematicNode_Choice_1","Zapytaj, czy w wiosce jest uzdrowiciel."
"9B79B109481BE2AC83B99494F7D7FF59","CinematicNode_Choice_1","Zapytaj, czy jeszcze chwilę na ciebie poczeka."
"F0F8142148B6C6B77E4F2BAE2C32A1D1","CinematicNode_Response_5","Dzień dobry. Jedzie pan może do wsi?"
"D637D92F48B30A7F46C2C198B3E5D96F","CinematicNode_Response_5","Dobry. A gdzie mam jechać? Tu nie ma gdzie jeździć, panie. Stacja, wieś i cmentarz. Tyle. Wyżej koń nie pojedzie."
"706ED8A44F68F18A88B17CAC1F77FE0E","CinematicNode_Response_5","Interesuje mnie właśnie ta wioska."
"902CBE0648F878A8719CD29F8929273B","CinematicNode_Response_5","Jak pan masz tylko powód, żeby tam jechać, to siadaj pan."
"CA0C0325499B21918C7A2AA7E4C0D69A","CinematicNode_Response_6","Będę wdzięczny."
"764CDE0D4AD2268B6D28F9922DAAF7EB","CinematicNode_Response_6","Zawsze to będzie miło do kogo gębę otworzyć."
"A1D08E834132C89A1D2118A75DC69D53","CinematicNode_Response_7","Zaczeka pan na mnie chwilę? Chciałem się jeszcze rozejrzeć."
"A8D062AF44BE25B2F5A21EB6E2736FC3","CinematicNode_Response_7","Już teraz to pana nie zostawię przecież."
"151DDC0A4649E960796A34BD0A765BBE","CinematicNode_Response_7","Dziękuję."
"6F6A87444E46E298E2C60DB7E58FD6E2","CinematicNode_Response_8","Gotowyś pan?"
"C75C6A804E7C51C9AFD6339E27381968","CinematicNode_Response_9","A w tej wiosce to sami miejscowi mieszkają?"
"0CFC9A5C484C30AB3E7178BB8C901CE9","CinematicNode_Response_9","A kto inny by chciał na takim zadupiu mieszkać, panie?"
"F9BADFBD4ACBC2CFD29388940A872B13","CinematicNode_Response_9","Ale mi chodzi o to, czy nie ma tu jakiegoś przyjezdnego, gościa."
"38ECE1514602C11222312394C2802D60","CinematicNode_Response_9","A, pan na uzdrawianie przyjechał? To on to żaden gość tu. On tu już siedzi miesiącami, panie. Ludzie udręczone, to i ma kogo uzdrawiać."
"CC3479AF48D25E45EEE1FB9DD129FBF7","CinematicNode_Response_9","A gdzie go znajdę?"
"02045E264FCABFF140FC71BF6ACD6B23","CinematicNode_Response_9","Siedzi w gospodzie pewnie jeszcze. Modli się o tej porze. O, on to się dużo modli, panie."
"263B4CA448CCE3BA13BE4DA0AAE52E17","CinematicNode_Response_9","To siadasz pan?"
