"Hash","NodeName","PL","TR","Notes"
"98A08E9D47BCB8CEA7C2059EF61B2312","CinematicNode_Choice_0","Porozmawiajcie o jego konflikcie ze Stanisławem.","Onun Stanisław ile çatışmasını konuşun.",""
"40E68C7E40F60DFE2471AAB3D7C4DD08","CinematicNode_Choice_0","Uświadom go, jak zginął twój ojciec.","Babanın nasıl öldüğünü ona bildir.",""
"F9A147E8426A7131624D83AC3D1CC443","CinematicNode_Choice_0","Nawiąż do rozmowy, którą właśnie przerwałeś.","Az önce kestiğin konuşmaya dön.",""
"689F04724C3BED824CD37299A448CE96","CinematicNode_Choice_0","Odejdź.","Ayrıl.",""
"978FF53440363477762A738EFAF1BC39","CinematicNode_Choice_0","1","1",""
"F8A2343F4F1A9EFCF2595FB7EF883435","CinematicNode_Choice_0","2","2",""
"39ECA3BA46C5738EB9CF97A0C7F4A04F","CinematicNode_Choice_0","3","3",""
"F63ADEF44B183A6552A89CB652C04F76","CinematicNode_Choice_0","4","4",""
"680BE8C4401B6B62F24BE592A6991FA9","CinematicNode_Choice_1","Zarzuć mu, że to on zamówił Golema.","Golem'i ısmarlayanın o olduğunu yüzüne vur.",""
"EED41741460BEB5FAB84FCA415862DAB","CinematicNode_Choice_1","Powiedz, że wiesz o Abrahamie Horowitzu.","Abraham Horowitz'i bildiğini söyle.",""
"05D62DF248F528C64B2FAA9E91647F7F","CinematicNode_Choice_1","Odejdź.","Ayrıl.",""
"B2FDE55E46B4AC8BD3C2B4A207CE4277","CinematicNode_Choice_1","1","1",""
"366F96E34B25D241FF4541A28B814018","CinematicNode_Choice_1","2","2",""
"54574E0642A72EB25257B38EAA1E8586","CinematicNode_Choice_1","3","3",""
"D8DF35FB469A70880057F7867D5A7E67","CinematicNode_Choice_2","Przyznaj, że Golem zagraża też jemu, gdy tu jesteś.","Sen buradayken Golem'in ona da tehdit olduğunu kabul et.",""
"81F15120452F649DAE52B682D99F5404","CinematicNode_Choice_2","Wyrzuć, że ty i Ligia nie macie w tym swojej winy.","Bu işte sen ve Ligia'nın kabahati olmadığını yüzüne vur.",""
"824A6B114A3524A41468E39D30CA2551","CinematicNode_Choice_2","Powiedz, że jeszcze tu wrócisz.","Buraya tekrar döneceğini söyle.",""
"795735A440C2C8B597E2E0B981494FAD","CinematicNode_Choice_2","1","1",""
"6CFF194143238AA71E3963BDD77C615E","CinematicNode_Choice_2","2","2",""
"DC746B1441EECFD577D32F9A1037F8AB","CinematicNode_Choice_2","3","3",""
"332E53FC494368F119415A8D14BF95AE","CinematicNode_Choice_3","Zgódź się.","Kabul et.",""
"F2D9353243F92CBBFB0D52A9CBD0FDE0","CinematicNode_Choice_3","Powiedz, że spotkacie się na miejscu.","Orada buluşacağınızı söyle.",""
"D190C2C14DBB1C42575AFCB75B0FC77C","CinematicNode_Choice_3","1","1",""
"3CB1374C42665C915754F88B3D8842C1","CinematicNode_Choice_3","2","2",""
"329DBC664CD702BA346E5CB7309BA12B","CinematicNode_Choice_4","Wspomnij jego ""ochroniarzy"".","""Korumalarını"" zikret.",""
"60BF6E0048FE4374A2393FBEDD1E4C37","CinematicNode_Choice_4","Nic nie mów.","Bir şey söyleme.",""
"7D5994E74D193EE854CEF7B319B8476E","CinematicNode_Choice_4","1","1",""
"140FA97141D1C2888AFC12A85B7F7B25","CinematicNode_Choice_4","2","2",""
"EF44DD9441B859612422FFA776B71E3E","CinematicNode_Choice_5","Powiedz, że masz dowody na ich niezgodę.","Aralarındaki anlaşmazlığa dair delillerin olduğunu söyle.",""
"264534514F92D1D53D107A8F051C90BD","CinematicNode_Choice_5","Zapytaj, czemu odszedł z waszego sklepu.","Dükkânınızdan niye ayrıldığını sor.",""
"17DF1FA24A9B78AD66875CBC4F0EFCFC","CinematicNode_Choice_5","Wycofaj się.","Geri çekil.",""
"6EA5E6BB4EC7EF4AECDE8A865BFC4A3C","CinematicNode_Choice_5","1","1",""
"18FF373448B0F36265162EB60109489E","CinematicNode_Choice_5","2","2",""
"F88191804F786479172B71BDDB9FC677","CinematicNode_Choice_5","3","3",""
"0C12059A4AFCC34EA348EBB37B5AE903","CinematicNode_Choice_8","Powiedz, że Sofer był świadom czynu ojca.","Sofer'in babanın yaptığından haberdar olduğunu söyle.",""
"AC3DEA6448E5AE0A637C6090E3101A94","CinematicNode_Choice_8","Pozostaw go w niepewności.","Onu belirsizlik içinde bırak.",""
"02FF7D0D423B46717392B7976DA00B43","CinematicNode_Choice_8","Udowodnij, że klątwa Golema zbiera duże żniwo.","Golem lanetinin büyük can aldığını ispatla.",""
"ECC36A6F42C54C87E8301190763A47C9","CinematicNode_Choice_8","Porusz temat ojca i Horowitza.","Babanla Horowitz konusunu aç.",""
"7BB011C340D73A8DCD4786BB43E23F1D","CinematicNode_Choice_8","1","1",""
"49A7B29643882EBC08C0B4B0F42C4E15","CinematicNode_Choice_8","2","2",""
"64C2E6324B5210C0138FA99773545967","CinematicNode_Choice_8","3","3",""
"F5A3769D4CE6A935F3AB25A0F57642B1","CinematicNode_Choice_8","4","4",""
"AB8F4F98439505E5A58177BF2AE7EDF1","CinematicNode_Response_0","Porozmawiajmy na temat pańskiej relacji z moim ojcem. Napiętej... relacji.","Babamla ilişkinizi konuşalım. Gergin… bir ilişkiyi.",""
"ACD8848643EC8DA3F5B8EBABC9B1291F","CinematicNode_Response_0","Panie Szulski, powtórzę. Nie kłóciliśmy się ze Stanisławem.","Bay Szulski, tekrar ediyorum. Stanisław'la kavga etmemiştik.",""
"785DDE404C8BD8E9643F23BAE09045B5","CinematicNode_Response_1","Mam nadzieję, że ci chłopcy na zewnątrz, to twoi krewni. W przeciwnym razie przepłaciłeś za ochronę.","Umarım dışarıdaki o delikanlılar akrabalarındır. Aksi halde koruma için fazla para ödemişsin.",""
"D08DBAC244226228BCC992A5128DB468","CinematicNode_Response_1","Boisz się czegoś?","Bir şeyden mi korkuyorsun?",""
"5D88BB544F8ADDBC28713696F84FB248","CinematicNode_Response_1","Nie jestem strachliwy. To zasługa pracy z pańskim ojcem.","Ürkek biri değilim. Bu, babanızla çalışmanın kazandırdığıdır.",""
"4DBF22434AAC849158F9519EED513013","CinematicNode_Response_10","Kara nie wydaje mi się wcale adekwatna do zadanego czynu.","Verilen ceza, işlenen eylemle hiç de orantılı görünmüyor gözüme.",""
"72A993594920A73412DBC2A6D3EF7EA9","CinematicNode_Response_10","Horowitz miał swoje za uszami. Musiał mieć, skoro interesowała się nim i Ochrana, i socjaliści.","Horowitz'in sırtı temiz değildi. Hem Ochrana hem sosyalistler onunla ilgilendiğine göre öyle olmalıydı.",""
"DF27804C4CCA7E6955675BA714FF1A0C","CinematicNode_Response_10","A to, co zrobił mój ojciec... sam nie wierzę, że to powiem, ale jego pobudki wydają się szlachetne.","Ve babamın yaptığı şey… bunu söyleyeceğime kendim bile inanamıyorum ama güdüleri asil görünüyor.",""
"FD2317744B804F5E944A50B6D9366868","CinematicNode_Response_10","O, doprawdy?!","Sahi mi?!",""
"B4F11F82475668168967A4AE09B4AD6B","CinematicNode_Response_10","W jego działaniu nie było cienia okrucieństwa, nie zrobił tego dla własnych korzyści, a dla jakiegoś... większego dobra.","Eyleminde zerre zulüm yoktu; kendi çıkarı için yapmadı, bir… üstün iyilik uğruna yaptı.",""
"7DC9D1E0496A637AB4E027AB5912CD2C","CinematicNode_Response_10","Bez konkretów to tylko puste słowa!","Somut delil olmadan bunlar sadece boş laf!",""
"E0422280434EFC8925F9FAA2459C587E","CinematicNode_Response_11","Zamiast mówić, pokażę ci.","Söylemek yerine, sana göstereceğim.",""
"8808CE0246B88B7C1F60DFAAEDB909F6","CinematicNode_Response_12","Pan Szulski. Znowu. Jakieś nowe teorie?","Bay Szulski. Yine. Yeni kuramlar mı?",""
"2DF528174E94BB4266E1B4AE9C3F1B8F","CinematicNode_Response_13","Nie potrzebowałeś mocy, żeby wysłać <i>Golema</> za moim ojcem.","Babamın peşine <i>Golem</> salmak için güce ihtiyacın yoktu.",""
"D6C70B384719ECA03F5A41842182256A","CinematicNode_Response_13","Stary Sofer zrobił to na twoją prośbę.","Yaşlı Sofer bunu senin ricanla yaptı.",""
"05CB035C44F56B9C90792AABD582D358","CinematicNode_Response_13","A wiesz, czemu?","Niye olduğunu da biliyor musun?",""
"9A3534B04EA0D7901B46AEA3221F5398","CinematicNode_Response_14","Nienawidziłeś go, kiedy rzucałeś u niego robotę i wciąż go nienawidzisz. Nienawiść to potężnę uczucie. Może prowadzić do zemsty.","Onun yanındaki işi bıraktığında ondan nefret ediyordun ve hâlâ nefret ediyorsun. Nefret güçlü bir duygudur. İnsanı intikama götürebilir.",""
"D1DF0CDA4B70629734C4559272A2E087","CinematicNode_Response_14","Zakładam, że nie ma pan bladego pojęcia, o czym pan mówi.","Söylediklerinizden zerre haberiniz olmadığını varsayıyorum.",""
"FFA86FC74F87C83157EAD99331E5FBF2","CinematicNode_Response_15","Dowiem, się wszystkiego, co chcesz przede mną ukryć. Pamiętaj o tym.","Benden saklamak istediğin her şeyi öğreneceğim. Bunu aklından çıkarma.",""
"3C2A11DF46930DCFB39151A2E6766F2A","CinematicNode_Response_16","Duma, pycha i groźby. Jest pan nieodrodnym synem swojego ojca.","Kibir, gurur ve tehditler. Babanızın has oğlusunuz.","Duma=Kibir, Pycha=Gurur — glossary ayrımı korundu"
"B59CE2FB4155F6EE26CF088A4AE01A6C","CinematicNode_Response_16","Zobaczysz, jak bardzo, kiedy <i>Golem</> zrobi krzywdę mojej siostrze.","<i>Golem</> kız kardeşime zarar verdiğinde ne kadar öyle olduğumu göreceksin.",""
