"Hash","NodeName","PL","TR","Notes"
"C54DE5264531C695B4A24E8FC1125B32","CinematicNode_Choice_1","Każ im się oddalić.","Uzaklaşmalarını emret.",""
"3123328741E27FAEA2BBBD82FB0D26C0","CinematicNode_Choice_1","Powiedz, że dziś zamknięte.","Bugün kapalı olduğunu söyle.",""
"A37D6EAC4B333AFAC08E27B20573D31E","CinematicNode_Choice_1","Zapytaj, czego chcą.","Ne istediklerini sor.",""
"EB388AFE4F61EC241641D48DE53BFF0D","CinematicNode_Choice_1","Odejdź.","Çekil git.",""
"16CECAD44CA020578283E0A7D4EA916E","CinematicNode_Choice_1","1","1",""
"D88552F84B74AED083284F9F66F47FAB","CinematicNode_Choice_1","2","2",""
"B76376C44E495E441BE781849D45D8F1","CinematicNode_Choice_1","3","3",""
"AFFA44B64211B2BE6E1532AB5D2CE158","CinematicNode_Choice_1","4","4",""
"B57272DA40115CAA2623C8933C9FDB21","CinematicNode_Response_0","Jeszcze macie szansę stąd odejść, więc...","Buradan gitme şansınız hâlâ var, o yüzden…",""
"C86484044FC37EBC4C5C98B72D43403F","CinematicNode_Response_0","Wypierdalać.","Defol gidin.",""
"9DD76C9A45F2E3770F89388D72CD8399","CinematicNode_Response_1","To twój sklepik, <i>magiku</>?","Bu senin dükkanın, <i>büyücü</>?",""
"B8F97D854F7CF90C812D97A5C99A6B0C","CinematicNode_Response_2","Dzisiaj mamy nieczynne. Możecie już iść.","Bugün kapalıyız. Gidebilirsiniz artık.",""
"9D8986E8453CFE2EF589859C66638823","CinematicNode_Response_3","Szkoda mi na was czasu.","Zamanımı sizi dinlemeye harcamak istemiyorum.",""
"33FD979B4E858D20DF5D1BBDED17A8D7","CinematicNode_Response_3","Nigdzie nie pójdziesz, psi pomiocie.","Hiçbir yere gidemezsin, köpek döllü.",""
"03E64EEE46223C492CD9618C8EBE4459","CinematicNode_Response_4","Chodźcie, zrobimy przykład, z tego tu.","Gelin, bununla ibret dersi verelim.",""
"F01FDAFD476697B7CC2371A742A2DE99","CinematicNode_Response_4","I powiesimy jego łeb jak trofeum, na witrynie, coby inni widzieli.","Kafasını bir kupa gibi vitrinde asarız, başkaları görsün diye.",""
"70750F514E4B4746A9ECAE90496D807F","CinematicNode_Response_5","Chciałbym wiedzieć, czego tu szukacie. Ktoś was wynajął?","Ne aradığınızı bilmek istiyorum. Biri sizi tuttu mu?",""
"D3B88DBB435B2987C2FC6DBEA14031D5","CinematicNode_Response_5","Wynajął? Myśmy są święta inkwizycja! Przyszedł czas na rozliczenie was i waszego dobytku.","Tuttu mu? Biz kutsal engizisyonuz! Sizin ve mal mülkünüzün hesabını sorma zamanı geldi.",""
"61B2B9FD49A498B695D5A9A19A3C58F2","CinematicNode_Response_5","Jak wam Skałon zapowiadał, już dawno temu.","Skałon'un çok önceden haber verdiği gibi.",""
"1588CEE64E69347AF2F5E19E6E7F06D5","CinematicNode_Response_6","Czego się tu kręcisz?","Burada ne arıyorsun?",""
"A731CF8A40F5A7636EABB2BCAAB6CED0","CinematicNode_Response_7","Ligia miała słuszne obawy.","Ligia'nın kaygıları yersiz değilmiş.",""
"7C897F624DC275BBBAEE70A13B833BE2","CinematicNode_Response_8","Przepraszam, panowie.","Özür dilerim, beyler.",""
"51EF7C9D44013E64D61266A846601319","CinematicNode_Response_9","Patrzcie no, chyba właściciel.","Bir bakın şuna, sahibi galiba.",""
