"Hash","NodeName","PL","TR","Notes"
"DC5F63B7443C920A546FB3BDCF9A13BE","CinematicNode_Choice_0","Zapytaj o powody strajku.","",""
"BAE9CF21404B4009A2B4088458DE5217","CinematicNode_Choice_0","Odejdź.","",""
"091967B249D580738B4A82AD8826F628","CinematicNode_Choice_0","1","",""
"810F2FC94676BF0B4E637E85DDF50CFA","CinematicNode_Choice_0","2","",""
"D20270D2445767BEE3CF3CA0B4BA84B2","CinematicNode_Choice_0","3","",""
"BCDC3E5C40079AEEF517EA8B2ACBBD16","CinematicNode_Choice_1","Przyznaj mu rację.","",""
"2F5D5E7540987838B928BDBE3B3091C2","CinematicNode_Choice_1","Bądź sarkastyczny.","",""
"5977B00F4D997116728972B66406949A","CinematicNode_Choice_1","Nie komentuj.","",""
"A5AD74DE412EBB8DD1B6A183D000D780","CinematicNode_Choice_1","1","",""
"29F754424D9CF7EE3DFA99BAD3062D67","CinematicNode_Choice_1","2","",""
"1AC8D7624E22595BDAB74FB46E05181E","CinematicNode_Choice_1","3","",""
"12A7AF8243463BFD6E5E8D826E920BAE","CinematicNode_Choice_2","Powiedz, że działał zbyt pochopnie.","",""
"D91D34E140CD68C94F0677A203D40C7E","CinematicNode_Choice_2","Dowiedz się o szczegóły zwolnień.","",""
"E3B367184ED47C07DEE7CBAD3885DC37","CinematicNode_Choice_2","Zmień temat.","",""
"4FAB01BA4902177E34C39C9D279A8C03","CinematicNode_Choice_2","1","",""
"0B10F09F4B7DAC599C23EFA542C8B37D","CinematicNode_Choice_2","2","",""
"871091A245EBE526226707AAB8271979","CinematicNode_Choice_2","3","",""
"5F36581947E5FBAE58E89C8DCFAFD856","CinematicNode_Choice_2","4","",""
"3DAB5FA74EB7BC738F5953B22EE77F02","CinematicNode_Choice_3","Sięgnij do jego empatii. Niech sprzeda Bucefała.","",""
"03139941418C699F0E4D56A6BF26D111","CinematicNode_Choice_3","Odejdź.","",""
"A9CE63B046E7EBC182537C8FC9C69BE9","CinematicNode_Choice_3","1","",""
"07B331DB44DC2C12DB9120BEE3244195","CinematicNode_Choice_3","2","",""
"6CD10CF9463165B93C17E9A354664186","CinematicNode_Choice_7","Poprzyj Fejgina.","",""
"793196C74C0CDD95175861A4D718F0F9","CinematicNode_Choice_7","Nic nie mów.","",""
"70EFD6A449006B0739C1B795584FAAAB","CinematicNode_Choice_7","1","",""
"49D380DC4154B361F7DA3CB61A5C1B23","CinematicNode_Choice_7","2","",""
"C84FC51E461933AF6CE23E81B3F5679B","CinematicNode_Response_0","Zwolnienia wzbudziły sporo emocji.","",""
"B8E1FDD04DC694AD8BD03A96C597BDD0","CinematicNode_Response_0","Klasa pracująca zyskuje samoświadomość.","",""
"59D19D2847EDE1DD0B6DCF97268097D1","CinematicNode_Response_0","Tragedia dla biznesu.","",""
"5625AAD84E7BD0E07AB929B2A3CF497B","CinematicNode_Response_1","Pewnie teraz żałuje pan tych zwolnień?","",""
"3060F08B47C2F4027657DE82EFE1BCA9","CinematicNode_Response_1","<i>Zeit ist Geld,</> co pana sprowadza?","",""
"2519A6D647A0EA961C79839E5083CB7C","CinematicNode_Response_10","<i>Polnische Schweine...</>","",""
"D05069634738919F2D08AE9089B62ABF","CinematicNode_Response_11","Nie może pan tego opublikować! Nie ma pan dowodów.","",""
"34D196A7425D309A2A9A41970AA69739","CinematicNode_Response_11","Ale Rutkowski je ma. Pewnie się nimi podzieli z prasą. Chyba, że się jakoś dogadacie.","",""
"1302AA124FB8C88DC45011ADEDA2D959","CinematicNode_Response_11","Na pana miejscu bym się pospieszył. Zamykamy wydanie o piątej.","",""
"5605FFCD4008E207685F3EAACD452EA5","CinematicNode_Response_12","Wydaje mi się, że nie ma już co dyskutować.","",""
"327413B54BB9802776ACEC8D8982BAC3","CinematicNode_Response_13","Słusznie. Alkohol i praca to przepis na nieszczęście.","",""
"54F720904CF19E761DAE3F86AFEADC5F","CinematicNode_Response_13","<i>Natürlich!</> Wie pan do ilu wypadków dochodzi z powodu pijaństwa? Ale robotnicy swoje, że bez wódki to ręce im się trzęsą.","",""
"0F3D811741A6D0DB7F083E88CDB87C64","CinematicNode_Response_13","Z takimi nie ma co dyskutować, trzeba wymagać.","",""
"1CDC52CC4FAEAF2C719A92AB12CB79F7","CinematicNode_Response_14","...","",""
"5BB6D8AC403ED326580A81B207CC15B5","CinematicNode_Response_15","W głębi duszy wie pan, co jest ważne. I co trzeba zrobić. Liczy się człowiek, panie Neumayer. Nie koń.","",""
"B0D2DEA647B1137E89ED34BEA41AD3FE","CinematicNode_Response_15","<i>Ja.</> Ma pan rację.","",""
"33B5D55B48DD4543746CF189D84F28E1","CinematicNode_Response_17","Panie Neumayer?","",""
"837E393C46B9E11CE56FB6BC51650D66","CinematicNode_Response_17","<i>Ja?</>","",""
"CD081DC64EA4B99E667834B8D889AA6D","CinematicNode_Response_18","Panie Neumayer, udało mi się dotrzeć do źródeł, które jasno wskazują, że pomimo kłopotów finansowych firmy, pan sam pławi się w luksusach.","",""
"1BAAA280437315DA9D6C8C82F09A8674","CinematicNode_Response_18","Bzdury. Jestem skromnym człowiekiem. <i>Das ist alles.</>","",""
"654285C748313305FB0F0089FC7A908F","CinematicNode_Response_19","W zasadzie to nic. Nie będę zajmował panu czasu.","",""
"F49327614231E3824235CC934F608F32","CinematicNode_Response_19","<i>Sehr gut.</>","",""
"B24657304F6E1951754F8FB75F5B1228","CinematicNode_Response_2","<i>Niemiecki krezus żeruje na krzywdzie polskich robotników</>. Nie będzie pan ulubieńcem tłumów.","",""
"4D6B5FC4448D25A3A0F76A947E3E9370","CinematicNode_Response_29","Jakie były okoliczności tych zwolnień?","",""
"EC2BC1F043B07B936FBB28AE9E0570E6","CinematicNode_Response_29","Nie lubię bierności. Jak wprowadziłem nowe zasady, a ludzie dalej pili, to postawiłem im ultimatum.","",""
"64ECA999468F51CC67C1BCBAFA92DC92","CinematicNode_Response_29","A ile im pan dał czasu, na dostosowanie się do nowych zasad?","",""
"83D2A14443DEFB048FEB63940035462C","CinematicNode_Response_29","Wprowadziłem zasady w poniedziałek, a w środę były zwolnienia. Trzeba być zasadniczym.","",""
"2901CCD24E970712E00CBC9CD6CA6548","CinematicNode_Response_3","...","",""
"69C78A964D1C120C0220E79209C70550","CinematicNode_Response_3","<i>Robotnicy głodują, a koń śpi na atłasach. Tak wygląda praca u znanego, niemieckiego krezusa.</> Myśli pan, że to zwróci uwagę? Moim zdaniem tak.","",""
"0391DC61460CE0AC98A918940C9F8B7F","CinematicNode_Response_30","Pożegnam się.","",""
"1B4625C74EB7912589C5609883064BF9","CinematicNode_Response_30","Ja miałem swoje powody, te najważniejsze, związane z etyką pracy, ale też czynników zawsze jest więcej. <i>Es ist kompliziert.</>","",""
"9E318F014BD7409F0AF622B58C2C06E8","CinematicNode_Response_30","Wie pan jak jest.","",""
"F20078EF4DFEA37629040EB79B8C170F","CinematicNode_Response_35","To nie było mądre posunięcie.","",""
"6DE7E9AD497E2EF99803D78B1E38B2F9","CinematicNode_Response_35","Czy pan staje w obronie tych pijaków? Socjalista z pana, czy co?","",""
"9FC5EB5D4DF3A62F0F4B868A242B9744","CinematicNode_Response_35","Nie w tym rzecz. Nie może pan oczekiwać, że ludzie zmienią się z dnia na dzień.","",""
"E90160FB4D5C811D182EA797AE593EE8","CinematicNode_Response_36","Dlaczego robotnicy strajkują?","",""
"070909374178CA8B076BD192E02C0DA3","CinematicNode_Response_36","Proszę pana, zwolniłem tych co pili w pracy i nagle wszyscy dostali gorączki. <i>Ihr Polen</>, nie rozumiem was.","",""
"36F6724F43E742B7903609A5B7D6924D","CinematicNode_Response_36","Czas wprowadzić ten kraj w dwudziesty wiek. W Niemczech, to nie do pomyślenia, pić wódkę w pracy!","",""
"9F13DC8043D4B5C27867AE836F5BAAA6","CinematicNode_Response_4","Prowadzenie działalności nie jest łatwe. Widzę po mojej siostrze.","",""
"8D62CD864E6640ABBCC066A80CE8E645","CinematicNode_Response_4","Pan nawet nie wie, z jakim chamstwem ja się mierzę na co dzień.","",""
"069026A84704DE29AB824E8CE61C4367","CinematicNode_Response_40","Pan wybaczy, za chwilę wracam.","",""
"BB3B08FA4385CA3A25E950A1A7F0FEA1","CinematicNode_Response_40","Mi się spieszy, nie będę na pana długo czekał.","",""
"0199298E4A74219AF9E4B7A5794693CA","CinematicNode_Response_41","Wróciłem. Na czym skończyliśmy?","",""
"D44E68E345B229E3D31C238ED54C4F07","CinematicNode_Response_41","Miał pan pytania odnośnie strajku.","",""
"CD511F214A424FEBAEDB0CA1E3272184","CinematicNode_Response_5","Święte słowa. Gdzie się podziały te stare, dobre czasy, kiedy człowiek pracował za miskę kaszy?","",""
"63D9259F4644170544A844BE313E7806","CinematicNode_Response_6","Co ma pan na myśli, wspominając o agresji?","",""
"4D8D378746F9BE2ABB77C391CF7B5DBD","CinematicNode_Response_6","Co takiego zrobił?","",""
"CD349CB64DFA1F9159C9B5BE6C9C2969","CinematicNode_Response_6","Pan sobie wyobraża?! Ten <i>Gestank,</> ten smród!","",""
"CFA1EB624D4EA4D2084050B9E79BD719","CinematicNode_Response_7","...","",""
"7FA055FE47E33B475439AEA3375A3E73","CinematicNode_Response_9","No dobrze, co było takie pilne?","",""
