"Hash","NodeName","PL"
"DD7F6B824C2AE45BD12F94BAC0BADE32","CinematicNode_Choice_0","Rozprosz uwagę robotnika."
"AA80223048CA523C03A9E9AFDF8865B7","CinematicNode_Choice_0","Odejdź."
"78DF539242E2C5BDA4DF9D84D41F65D3","CinematicNode_Choice_0","1"
"D56181BE42E5F6E599C8E5AED7180863","CinematicNode_Choice_0","2"
"5E3B5BB343E3A294C4A946ADB20C5463","CinematicNode_Response_0","..."
"88078C3A4FBD9CD5ED2DF1BAAE09692C","CinematicNode_Response_2","Muszę się wydostać z portu. Coś się wydarzyło na molo."
"F371E9664F9415DC9387B588197AA1B1","CinematicNode_Response_2","A myślisz pan, żeśmy nie słyszeli? A teraz morda w kubeł, bo nam policjantów na kark ściągniesz."
"C28F416C4F1E2010E6A60FA8FAA1721F","CinematicNode_Response_2","Tak! Płacimy im, żeby nas nie widzieli, ale nie aż tyle, żeby takie <dl>hece</> mimo uszu puszczali."
"33DD43B94835B6412A2D91A5D59B2B5B","CinematicNode_Response_2","I co mu jeszcze powiesz, matole? Swój adres domowy? Zamknij się i pakuj."
"FDCABBE54CEE300AD489E0BDE9760228","CinematicNode_Response_3","Kurwa, ty gamoniu!"
"03CB38CC4E92EAA6CCC7FCBC333CFBCA","CinematicNode_Response_3","Słyszałeś? Robią taki <dl>rejwach</>, zaraz nam szefów na łeb ściągną."
"84A5DC794FBF62B670390AB630897EB0","CinematicNode_Response_3","Dobra, dzień dziecka się skończył. Zawijamy ich."
"DAA66000467487B53C3620A0C90B2B26","CinematicNode_Response_4","..."
