"Hash","NodeName","PL"
"4EA3B9F04332C4B9337309964EE08A28","CinematicNode_Choice_0","Ześlij na Kafara wielką trwogę, aby zostawił Maksa w spokoju."
"7333656B4371C268E921BF9682A06E0C","CinematicNode_Choice_0","Zasugeruj inną strategię. Zdradź mu sekret Kafara."
"1137D4144199595FAC7AFDA636820DCC","CinematicNode_Choice_0","Najpierw zapytaj Kafara o dług Maksa."
"41849ACD4A09B0E5565F368C7C26F26A","CinematicNode_Choice_0","Zgódź się na strategię Abaurycego."
"4080E167476F00F7FAC7498EAF007084","CinematicNode_Choice_0","1"
"962AECBE4828EEF8DBC180A8D01AD265","CinematicNode_Choice_0","2"
"56C42D92499DCD96E311BE8073BD7270","CinematicNode_Choice_0","3"
"8E284E97461BB0AFBEAE5D9809B302D5","CinematicNode_Choice_0","4"
"3AF2599A4B4610B77112BB9F3139F837","CinematicNode_Response_0","Kafar, ty chuju."
"AEA6C5634B90C05D068A21B7D4AD32CB","CinematicNode_Response_0","Niedzic, ty <dl>garbusie</>. Zawsze wpadasz bez zapowiedzi."
"C08CB7724080B4D1957003BF71B003F2","CinematicNode_Response_0","Słyszysz go? Lichwiarz mnie <dl>garbusem</> nazywa, ścierwo."
"08F471644E766FA4FADD2A948E47B1B1","CinematicNode_Response_0","Następnym razem <i>bilecik</> przyślę! Masz swoją żałosną osobę trzymać z dala od moich ludzi. Zwłaszcza, od Maksa."
"56F347A549764B2467DA84AAD97ED242","CinematicNode_Response_0","A co ty mi możesz, ja tu mam renomę. Lepiej zamknij jadaczkę i idź sobie szczekać gdzie indziej."
"D09EF58E4DD06066A6EBD7B98238BD8A","CinematicNode_Response_0","Jadaczka, to mu zaraz odpadnie. Bierzemy go!"
"F6D32B2042514B23D785B9BB041206B0","CinematicNode_Response_1","Już widzisz siebie w drogim surducie, otoczonego właścicielami kramów, którzy okazują ci względy i szacunek. Wgapiają się w ciebie, jak psy."
"EF9CCCC147989D5E13727FB53BD5767A","CinematicNode_Response_1","Złudna to słodycz. Jedno życzliwe słówko o twoim cukrze i bańka pryska. Nic nie masz, upokorzony, przegrany, gnijesz w zapomnieniu."
"537BF30943CA1C337AFF67BAB8F188DD","CinematicNode_Response_1","Wszystko stracone! Nie! Tyle lat starań... Włażenia w tyłek zarządcy. Użerania się z tymi sukinsynami z Różyca... ja nie dam rady w więzieniu."
"E910CEC045F69E3303BF5BAB34773AF8","CinematicNode_Response_1","Chyba że..."
"F6854A2D4CDAED876E0180A28C97F677","CinematicNode_Response_1","Zgoda, zgoda, panie Niedzic! Cokolwiek zechcesz. O Maksie już zapomniałem. <i>Sztymunek</>?"
"8AAFAEEF483581987075CDAAD4CB2520","CinematicNode_Response_1","Myślę, że się dogadamy."
"0E456FFC4E6BE242831C36B541C8BB4A","CinematicNode_Response_10","Gadaj zdrów! Nie mam powodu, żeby ci wierzyć. <dl>Masz cykorię</>, to wszystko powiesz, żeby dupę uratować."
"1E7126F54C568E83016CD8A11D3616ED","CinematicNode_Response_10","<dl>Frajer</> jesteś, tyle ci powiem."
"D43B08774D3CECCBFA66D29504E7FFE5","CinematicNode_Response_11","Cukier?"
"9DDFEF794BAE5C03A6A4D5895DFCDE28","CinematicNode_Response_11","Skąd...?"
"2BEBE59140C0397216B5438EF9E50B07","CinematicNode_Response_11","Nieważne."
"AAD2F5B646C1D264A6DCEDB27BA3E5A0","CinematicNode_Response_11","Ta... Maks chciał go opylić tuż pod nosem Niedzica."
"B5FA829E4A003C7F6634FD810942E039","CinematicNode_Response_11","Rozliczając się z nim, wyświadczam ci przysługę."
"415B34214E48BC04B244AE8B11150E3E","CinematicNode_Response_12","Stul pysk! Wiktor, bo się niecierpliwię."
"5F7C53D14878B09CFBE1A0A37230E130","CinematicNode_Response_13","Pokażę ci jeszcze jedną sztuczkę. Rozdział trzeci."
"083B9FA64BE2BD7EF8D42BB56143DAC3","CinematicNode_Response_14","..."
"87B75FD64636A09D0946D4B5E3EC7B9A","CinematicNode_Response_15","<i>""Pielgrzym i Tuziemiec zwyciężają""</>."
"4D15F8CB46099FCD4254A0B5194E4215","CinematicNode_Response_2","Słuchaj, może tym razem, podejdziemy do tego z głową. Tak się składa, że Kafar ma pewien mały, odurzający sekrecik."
"161C8D6546812CE0DDC6EA9FB4E9B0C6","CinematicNode_Response_2","Ale jak to tak, nie będziemy strzelać do szumowiny? Wtedy nasza sentymentalna podróż się nie dopełni i będę musiał ostatni rozdział przepisać!"
"595058CB42280F89FE0BE981A6592D12","CinematicNode_Response_2","Kafar boi się, że jego przemyt <i>cukru</> wyjdzie na jaw. Robi to za plecami zarządcy."
"8DB00C134ED1C670C6257FBFBDC05C22","CinematicNode_Response_2","Ale ty mi teraz zaimponowałeś, Wiktor."
"DD954B9446CE379A3D086380CE93EEF9","CinematicNode_Response_2","I co? Magia, szmato! Rurka ci zmiękła, co?"
"48ACEA204EE11CDFB3CAF5B34BAF8815","CinematicNode_Response_2","I kto wam niby uwierzy, <dl>aligancie</>? Jazda mi stąd."
"75ED0BDA46B20A6EF37CC6A930E40492","CinematicNode_Response_2","To może jednak wpierdol?"
"56D76A2341AD48C44715D3A684504432","CinematicNode_Response_3","W porządku. Spróbujmy po twojemu."
"26FE4A1C4829367F7DE26F9CD6BF7F82","CinematicNode_Response_3","Jak za starych, dobrych czasów!"
"6D4CD6F249AA9283E8BF62BBBD4A58C5","CinematicNode_Response_3","Ależ się rzucasz, jak mały kogucik. Nic na mnie nie macie, a Maks ma mi oddać, co mi jest winien."
"ED876A3546EE8E4BFEEEA18DFCA47A90","CinematicNode_Response_3","No dobrze, niech ci będzie. To my sobie już pójdziemy z Wiktorem."
"6AD4776C4D0ECB9593F0C887B1EB98A3","CinematicNode_Response_3","Naprawdę?"
"C821550F451BCE511105D2A1AC84F922","CinematicNode_Response_3","Nie, kurwa! A teraz pożegnaj się z ząbkami, skarbeńku. Rozdział trzeci."
"1461D334420549DE5D5932A1F5EC3B1C","CinematicNode_Response_9","To jaka jest twoja wersja wydarzeń?"
"21A8C3F44CA94FE08D8CD3AFFF3665FA","CinematicNode_Response_9","Co to kogo obchodzi? Nie po to cię brałem, żebyś teraz dysputy z nim prowadził."
"DEBDBC354A51364425D3958F02BE90E7","CinematicNode_Response_9","Najciemniej pod latarnią. Twój Maksio <dl>zajumał</> mi coś ważnego. Po to, żeby samemu na tym zarobić."
