"Hash","NodeName","PL"
"9D567E80424B90C349BC47BFD6C4E1BD","IC_lw_grz01","Rozkwit"
"140569FE4484FE6BC1E8E1A83F60A83E","IC_lw_grz01","Po targowisku ewidentnie buszuje złodziej. Wygląda na to, że jego przykrywką jest sprzedaż stokrotek. Znalezienie go nie powinno być wyjątkowo trudne."
"CA9A994A4D39A4ED8AF8289CAE6D48DD","IC_lw_grz01","Zegarek"
"C6A9553E400602FF819359965C67EDA4","IC_lw_grz01","Niczego sobie, kieszonkowy."
"C6C94C2A43F1FA2E5B2A63B3D389859D","IC_lw_grz01","Resztki"
"E541DF674A4C0460FA8E8E98F616E98E","IC_lw_grz01","Po zegarku błąka się uciekająca w popłochu myśl, żeby jednak ten jeden zegarek zostawić. Głupio byłoby wpaść przez nieostrożność. Może sprzedawca nie zorientuje się, że brakuje mu pozostałych przedmiotów..."
"1813EE084DBF86FA4D601B91F4AB7DD7","IC_lw_grz01","Kwiat"
"6A6F9BD341AC5F05A9AFFE80DDAE9427","IC_lw_grz01","Stokrotka afrykańska. Leży na straganie w towarzystwie talerzyków."
"7F778FFB43945556D9781DAB5FA8AF69","IC_lw_grz01","Pozdrowienia"
"9B3BE7C6472A3C6EA4DB45A7CAD0EF07","IC_lw_grz01","Kwiat pachnie intensywnie satysfakcją i samozadowoleniem, pączkującymi w sercu. Ktoś zostawił go w tym miejscu jako szczere pozdrowienie i poszedł dalej, pozwalając, by emocje prędko w nim rozkwitły."
"E949D9CB4BDE5937771235B897864A19","IC_lw_grz01","Rzeźba"
"612F5D034D4BE29C815AA89D1F9DDA71","IC_lw_grz01","Popiersie. Wygląda na autentycznie stare i cenne, na co wskazywałaby cena."
"16CC82404101D3859F4424B4E680D8D1","IC_lw_grz01","Ciężki los"
"52C98B9C453E2E58F52F60937C63BA0F","IC_lw_grz01","Dłoń sunęła po popiersiu, a myśli bzyczały w głowie, niczym pszczoły na wiosnę. Nie da rady. To zbyt ciężkie, szczególnie, że w drugiej ręce musi nosić te przeklęte kwiaty, póki ich nie sprzeda..."
"3DED89D04C91D581A3F34984985AC0AB","IC_lw_grz01","Sklepik z marzeniami"
