"Hash","NodeName","PL","TR","Notes"
"212A49D44A333F610E7B719D70F02794","IC_lw_PP_POIs","Amerykański rarytas","Amerikan Lezzeti",""
"FA25D8F242B9D59A00F363BC69F68F77","IC_lw_PP_POIs","W magazynie nr 4 trzyma swoje produkty znany koneser zagranicznych przysmaków, Henryk Reiner. Wśród sprowadzanych przez niego produktów jest napój cola - chętnie daje go do spróbowania zainteresowanym.","Tanınmış yabancı lezzet uzmanı Henryk Reiner, ürünlerini 4 numaralı depoda tutuyor. Getirdiği ürünler arasında kola adlı bir içecek var; ilgilenenlere severek tattırıyor.",""
"7C4F65AA422906A69798E8B0BDE6FE7A","IC_lw_PP_POIs","Zgubiona nalepka","Düşmüş Etiket",""
"87AB91A144EDC8C625D54BBA6DA2DE84","IC_lw_PP_POIs","Niewielka karteczka z napisem. W tych okolicach ktoś przenosił skrzynie z towarem. Tylko co to ta ""COLA""?","Üstünde yazı olan küçük bir kâğıt. Bu civarda birisi mal sandıklarını taşımış. Sadece şu ""COLA"" nedir?",""
"9C5C815A4C74CF4DC169428DD962ABE9","IC_lw_PP_POIs","Czasopismo ""Mucha""","""Mucha"" Dergisi","Polonyalı mizah dergisi"
"2372454C4CBBFF60441852AD8FF42E0E","IC_lw_PP_POIs","Strona z czasopisma. Humorystyczna rubryka nawiązuje widocznie do jakiegoś ogłoszenia autorstwa Henryka Reinera, który chce rozpromować nowy produkt z Ameryki.","Bir dergi sayfası. Mizah köşesi belli ki Amerika'dan gelen yeni bir ürünü tanıtmak isteyen Henryk Reiner'in bir ilanına gönderme yapıyor.",""
"B47976FD47FC5A829715588CBF083A52","IC_lw_PP_POIs","Tabliczka","Levha",""
"D6E7C2744C232F5E67284DB0EB9DF1D5","IC_lw_PP_POIs","Informacja, która prawdopodobnie znajdowała się na drzwiach magazynu lub skrzyniach z towarem - Henryk Reiner przechowuje swoje towary w magazynie nr 4.","Büyük olasılıkla depo kapısında ya da mal sandıklarının üstünde duran bir bilgi — Henryk Reiner mallarını 4 numaralı depoda saklıyor.",""
"D12FE3FC42DBA40DEB1AA2AF37E5FB34","IC_lw_PP_POIs","Nielegalny humor","Yasadışı Mizah",""
"BB006CC24685AC9BA04EF492E7AF15E5","IC_lw_PP_POIs","Aleksander Kirschner to komik, który lubi żartować z cara. Jego popisy odbywają się wieczorami w barze ""Spelunka"". Po oficjalnym wydarzeniu można zobaczyć także tajny występ - wystarczy udać się na zaplecze i podać przy wejściu hasło ""A niech sczeźnie"".","Aleksander Kirschner, çarla ilgili şaka yapmayı seven bir komedyen. Gösterileri akşamları ""Spelunka"" barında yapılıyor. Resmî gösterinin ardından gizli bir gösteri de görülebilir — arkadaki alana geçip girişte parola ""Geberesice"" denmesi yeterli.","'A niech sczeźnie' = 'Geberesin/Geberesice' (Polonyaca lanet)"
"22E2A7F84EAAED384CCAA781313E7AA6","IC_lw_PP_POIs","Raport informatora Ochrany","Ochrana Muhbir Raporu",""
"888C511F402BFD22273FC18381D2E261","IC_lw_PP_POIs","Niechlujnie zapisana notatka, prawdopodobnie szkic późniejszego, pełnego raportu. W Porcie Praskim kręci się ktoś, kogo Ochrana ma na oku.","Özensizce yazılmış bir not — büyük olasılıkla daha sonraki, eksiksiz raporun bir taslağı. Praga Limanı'nda Ochrana'nın gözaltında tuttuğu biri dolaşıyor.",""
