"Hash","NodeName","PL"
"387F9AB84D30390ECD50E6AE5D589CEA","CinematicNode_Choice_1","Nalegaj, żeby wskazał, gdzie jest Javier."
"CCE879A34095B783300F0FA1B5CDAFB7","CinematicNode_Choice_1","Powiedz, że szukasz Javiera."
"F3923CA947E7A77604106189A0C6DCEC","CinematicNode_Choice_1","Zapytaj, czego pilnuje."
"F7CE5A2E406EC18A1C8590B8FC2CA7CD","CinematicNode_Choice_1","Odejdź."
"CF5B31F942D60D179DB52FAF3AD66138","CinematicNode_Choice_1","1"
"AC58FA23456BB7E23D4E7E9B4FE8753E","CinematicNode_Choice_1","2"
"E6CFE7CC44AD4AC49EC112B359A1316E","CinematicNode_Choice_1","3"
"DA9746B9440A6A300ECF1C952D4E2280","CinematicNode_Choice_1","4"
"78D53C23470345EF28C6A0A383971540","CinematicNode_Response_10","Co jest w środku?"
"95AE0215493A43909C337298EB5B16CD","CinematicNode_Response_10","Jajco. Spierdalaj pan."
"F0FF491148EC7F3DCD9E1EB86E65EE20","CinematicNode_Response_11","Uszu nie masz?"
"D7116B6A4DEC16E4C3E03A9C8A537A45","CinematicNode_Response_6","Spierdalam więc w podskokach."
"859E160745DABF1B3851B5B4BE78ECAA","CinematicNode_Response_7","Przepraszam."
"5324283242662999A87EFAB4FE6605CA","CinematicNode_Response_7","Spierdalaj."
"A60DF6D44EAB97B2DBAB9BBCD767BA03","CinematicNode_Response_8","Znasz Javiera? Podobno można go znaleźć na Powiślu."
"41C737F848933D089E32799A0B0B2228","CinematicNode_Response_8","Tu pan znajdziesz tylko wpierdol. O ludziach nie gadam. Spierdalaj pan."
"BD3ADA074F9C80D1CA77869170A36EAD","CinematicNode_Response_9","Ale wie pan, gdzie Javier jest?"
"6435B4F442C063ED4449DA9B797AD0A7","CinematicNode_Response_9","Po dobroci nie idzie? To wyjdziesz z dzielnicy na kopach."
