"Hash","NodeName","PL","TR","Notes"
"F4478FB8429CDD368661A3A2681C76BB","CinematicNode_Choice_0","Powiedz, że kimś w tym rodzaju.","Bu türden biri olduğunu söyle.",""
"54F1DC5048F7CBED3449ECAB46B93C5C","CinematicNode_Choice_0","Odejdź.","Çek git.",""
"D69DC73542A6FD2FA0F15999FE48D011","CinematicNode_Choice_0","1","1",""
"409FAED74D10D83CE008BD8E530B381F","CinematicNode_Choice_0","2","2",""
"367EF5194EFB2BC6B7D6B79B5834463F","CinematicNode_Choice_1","Rozpal w nim pragnienie rozgłosu.","İçinde ün arzusunu alevlendir.",""
"E77EF7BA40EEF6453BEF15A290977BD8","CinematicNode_Choice_1","Zapytaj, co pamięta z zamachu.","Suikastten neyi hatırladığını sor.",""
"CA6C4A5643FBDAD1F6EC94BD868FD128","CinematicNode_Choice_1","Zapytaj, jak się czuje.","Nasıl hissettiğini sor.",""
"F767115B40C6D20F3D34B38E8F4FA27F","CinematicNode_Choice_1","Powiedz, że wiesz, że to on jest zamachowcem.","Suikastçinin o olduğunu bildiğini söyle.",""
"0F7A454E452EF3868D661BB902FFA9E3","CinematicNode_Choice_1","Odejdź.","Çek git.",""
"226733B742A14B08F682F39A3CEBAB4A","CinematicNode_Choice_1","1","1",""
"0D93428945CEB695AF20E099295BB117","CinematicNode_Choice_1","2","2",""
"D91945B740E4E4B0328D9985DC6CD766","CinematicNode_Choice_1","3","3",""
"A60046C6476E3EF336935D95B021578B","CinematicNode_Choice_1","4","4",""
"B2930E0E43C197D6A7D328AB044DF391","CinematicNode_Choice_1","5","5",""
"9F8BD3FD468287E704E569B03BDA2607","CinematicNode_Response_0","Można powiedzieć, że jestem lekarzem dusz.","Bir tür ruh hekimi olduğum söylenebilir.",""
"9CC8302A41200C24E67D458B40BDAEAC","CinematicNode_Response_0","Jak ksiądz?","Papaz gibi mi?",""
"538590644E9E37D5F35842BF1AA52254","CinematicNode_Response_0","A chce się pan z czegoś wyspowiadać?","Bir şey itiraf etmek ister misiniz?",""
"E1F5B9524E0CCAF847BC17AFA705C1F2","CinematicNode_Response_1","...","…",""
"4D04D40D4FA95A85868E02829BB867B8","CinematicNode_Response_10","A zatem, jak się pan czuje?","O halde nasıl hissediyorsunuz?",""
"4C3DEBD540995F7A56ECC8AAF73E2FB5","CinematicNode_Response_10","Spać mi się chce. Nudzisz mnie.","Uykum geldi. Beni sıkıyorsun.",""
"8C202C36409047D5D6EAF1A57366F64D","CinematicNode_Response_11","Powie mi pan coś o zamachu? Pamięta pan, co się wtedy wydarzyło?","Bana suikastle ilgili bir şey söyler misiniz? O zaman ne olduğunu hatırlıyor musunuz?",""
"0C534D33475922E5BCF06D99FB78994F","CinematicNode_Response_11","Nie pamiętam i nie powiem. Nawet za cenę życia.","Hatırlamıyorum, söylemem de. Hayatım pahasına bile.",""
"8663DD074DD9887865B84182EAEF98C5","CinematicNode_Response_12","Zostawię pana. Na razie.","Sizi rahat bırakayım. Şimdilik.",""
"CA5910CF485946E73DD3BE9D165EF9B0","CinematicNode_Response_13","Cieszę się, że jeszcze pana złapałem. Widzę, że czuje się pan lepiej.","Sizi yakalayabildiğime sevindim. Daha iyi olduğunuzu görüyorum.",""
"4AEE6F424711BCA69D361B97AD20CF87","CinematicNode_Response_13","No, wygląda, że szczęściarz ze mnie.","Eh, anlaşılan şanslı çıktım.",""
"EFE1FDB84F9D17F398DB5080FC064681","CinematicNode_Response_13","Czego?","Ne istiyorsun?",""
"CAA0BD5F4B69D6B15B35508FBCBF5C72","CinematicNode_Response_16","Wiesz, kim jest Kmicic? Chętnie o was napisze. Po polsku, w polskiej, podziemnej gazecie. O bohaterach samozwańczej walki z zaborcą.","Kmicic kim, biliyor musunuz? Sizin hakkınızda seve seve yazar. Polonyaca, Polonya yer altı gazetesinde. İşgalciye karşı kendi başına savaş veren kahramanlar üzerine.",""
"0C758B7C44A453372E20909A5DB2C452","CinematicNode_Response_16","Co ty gadasz? Osobiście znasz Kmicica?","Ne diyorsun sen? Kmicic'i şahsen mi tanıyorsun?",""
"245CFF054A63781C96D6F19548A48D5B","CinematicNode_Response_16","Tak. Nie może się doczekać.","Evet. Sabırsızlanıyor.",""
"08F5DC124FCB205B14BCED8B867A7A5C","CinematicNode_Response_16","Doprawdy?","Sahi mi?",""
"4A6A20B6477AC51D4A421ABCC3E8A366","CinematicNode_Response_18","No... Być może powtórzę to tym i owym, a ci i owi dadzą ci naszą odpowiedź.","Şey… Belki bunu şuna buna iletirim, şu bu da sana cevabımızı verir.",""
"2D51AB2143678FD44BE135A0D3A57C30","CinematicNode_Response_18","Gdzie i kiedy możemy się zobaczyć?","Nerede ve ne zaman görüşebiliriz?",""
"2767E65944AC7CABB2499EB8AE39FFC3","CinematicNode_Response_18","Spokojnie, magiku. To my odezwiemy się do ciebie.","Sakin ol büyücü. Sana biz haber vereceğiz.",""
"076E14964F7D442339FF78B27EEAE288","CinematicNode_Response_2","Nie jesteś doktorem. Czego, kurwa, chcesz?","Sen doktor değilsin. Lan ne istiyorsun?",""
"F99643C5455924209049B6BB0BD10709","CinematicNode_Response_6","Czemu się nie otworzysz? Przecież chcesz wysłać wiadomość całemu światu. Chcesz, żeby wszyscy o tobie usłyszeli. Podziwiali cię.","Neden açılmıyorsun? Ne de olsa tüm dünyaya bir mesaj göndermek istiyorsun. Herkesin senden haberdar olmasını istiyorsun. Sana hayran olsun.",""
"66F013B34F328A7E8246F2BDD3A3DE45","CinematicNode_Response_7","Dzień dobry.","Günaydın.",""
"3F60C0E94DA57CAFBBB807B93BE1FF05","CinematicNode_Response_7","Co tym razem? I gdzie są moje rzeczy? Oddajcie mi w końcu ubranie, żebym mógł stąd iść.","Bu kez ne var? Eşyalarım nerede? Verin de şu giysilerimi alayım, buradan gidebileyim.",""
"62768937459B5C046750758BEA3D6B21","CinematicNode_Response_7","Chyba, że znowu będziecie mi termometr w dupę pchać? To dawaj teraz, bo śpiący jestem. I morfinę. Boli mnie.","Yoksa yine kıçıma derece mi sokacaksın? O zaman hemen sok, uyuklamaya başladım. Bir de morfin. Acıyor.",""
"896818E943E710DA3CCC9E80C0B3F8B7","CinematicNode_Response_7","Ty jesteś doktorem w ogóle?","Sen doktor musun gerçekten?",""
"BC1C0EEE49FC088C8FC6FF850B7E4E7D","CinematicNode_Response_8","Co teraz, lewatywa?","Şimdi ne, lavman mı?",""
"439E1809452033029D3B40AC0B188335","CinematicNode_Response_9","Wiem, że dworzec to twoja robota, Lechito.","Garın senin işin olduğunu biliyorum, Lehit.",""
"7165F03149A1FEF4F92F848BE1880322","CinematicNode_Response_9","Nie wiem, o czym mówisz.","Neden bahsettiğini bilmiyorum.",""
"E46AE1B64549C20013F4479BB1D1EB91","CinematicNode_Response_9","To jak będzie z tą morfiną?","Şu morfinden ne olacak peki?",""
