"Hash","NodeName","PL"
"ECC742E64620576C6AFADEA216D831D5","CinematicNode_Choice_2","Zacznij temat spostrzeżeń o Danisie."
"4C5463214B42E8ACEF08D8B650316795","CinematicNode_Choice_2","Zapytaj, od kiedy się znają."
"9DA67A5043DD6438EFEB39915E8C89A2","CinematicNode_Choice_2","Odejdź."
"C3B1DB6D4C89142C82F153A152B9B36F","CinematicNode_Choice_3","Skonfrontuj ich z prawdą o Danisie."
"B793FFD04FED2094E89F7A8BFF1AF209","CinematicNode_Choice_3","Wypytaj o narzeczoną Danisa. "
"E58E10974CA05B70F47635BE3C7A8046","CinematicNode_Choice_3","Dopytaj o szablę Paszy."
"53841DEE453ABDCF94A3EF9695D9F91E","CinematicNode_Choice_3","Zapytaj o pistolet Danisa. "
"61C78AB641307A76C285FB85E3B7A2E3","CinematicNode_Choice_3","Porozmawiaj o pieśniach Danisa. "
"B90A765F44F31A50C2D92EB3A332D80D","CinematicNode_Choice_3","Odejdź. "
"EF0AFD3446C5981C8382909F5B6EA7C0","CinematicNode_Response_15","A ty czego?"
"8326467F4557C638DEBFD7A6D2A80820","CinematicNode_Response_16","...no mówię ci. Może to jego uczesanie. Weźmiesz mnie tak brzytwą, jak on ma..."
"C24DCB604860E62B3731E09E2B8E3CFA","CinematicNode_Response_16","To znowu ty! Czego tam? "
"F2DD177B446B07CE4EB923BC5004BE1D","CinematicNode_Response_17","Kim jest Pasza?"
"D9F384214923D0B4A9884EB110A3F3E8","CinematicNode_Response_17","Kompan nasz. Z tej samej wsi za Donem, co i my. Niejedno wspólnie przeszliśmy."
"07BC04074320ED93AA0EC0838883D1B8","CinematicNode_Response_17","Pasza nie żyje. I na tym skończmy."
"BDDEAE44495DB42419453D9B3930499D","CinematicNode_Response_17","Co się właściwie z nim stało?"
"1FEF0A55479732E4583148869B488B58","CinematicNode_Response_17","Wszyscy się blisko trzymamy, ale po pijaku różne pomysły przychodzą."
"C213343440DAAD71274BB8B0FC609CE3","CinematicNode_Response_17","Ta przeklęta <i>szaszka</> Paszy to zdobyczna była. Raz Danis z Paszą popili i zaczęli o nią w rosyjską ruletkę grać."
"78B4F1DD4126C324B0FE4DB8D4284B81","CinematicNode_Response_17","A więc Danis wygrał."
"BA677C834F5612A15FA912A325E7BAFB","CinematicNode_Response_17","Ale na szabelce Paszy zamiast jego triumfu jest troska i miłość. Bardzo o nią dba."
"547545AF47B9ACD33DD0D5B4594919C2","CinematicNode_Response_18","Słyszałem, że Danis lubi grać w rosyjską ruletkę."
"2B60D1574F1A7FCDD746368A3FA141C5","CinematicNode_Response_18","Dureń z niego, o konsekwencjach swoich wygłupów nigdy nie pomyśli. "
"DCA0CEC74C2CF1414DDE07A5B805F2CF","CinematicNode_Response_18","Głowy w jego pobliżu są zagrożone."
"84815C7B4800AE4051CDA99BC7EDF091","CinematicNode_Response_19","Wrażliwa dusza z tego Danisa, kto by powiedział. Często na bałałajce pogrywa? "
"1D9426D74CDADE925FC0E1ACCA069536","CinematicNode_Response_19","Ostatnio to śpiewa raz o kostusze i ogniach piekielnych, raz o igraszkach na sianie. Za nim to nie nadążysz."
"423B78494162BF319D559A9D176CEF06","CinematicNode_Response_19","Jak na mój gust, to trochę za dużo tych smętnych melodii gra."
