"Hash","NodeName","PL"
"EBF11744479EB8EB602CA09ABA931FE6","CodexCharactersDT","Rasputin"
"2EC500DD4EBC520959943093CBB43DA7","CodexCharactersDT","A więc Rasputin. Słyszałem o nim jedynie plotki - kaznodzieja, mistyk, który jeszcze nie tak dawno uzdrawiał na salonach w Sankt Petersburgu. Ja znalazłem go w małej wiosce na Zakaukaziu. Mówią, że to szalony mnich - albo nawet szarlatan i oszust. Dla mnie jest ostatnią nadzieją na uzdrowienie."
"544A84C443C043CCC7F0819AA722ABAE","CodexCharactersDT","Nie przesadzę, jeśli napiszę, że zawdzięczam mu życie. Bez jego tajemniczych mocy, odszedłbym od zmysłów. To chyba znaczy, że mam u niego dług. Jednocześnie nie mogę pozbyć się poczucia, jak dziwny jest. Nie potrafię go jeszcze rozgryźć."
"416BFDC24DB63789C5FB748FCDCDBE5B","CodexCharactersDT","Rasputin, pod pozorem dziwacznych i niepokojących wizji, postanowił towarzyszyć mi w podróży do Warszawy."
"855DF7CD46CFEB829F71D6AFA2A8295E","CodexCharactersDT","Szybko znalazł sobie przyjaciół. Małżeństwo Nadarzyńskich. Mieszka u nich na Powązkowskiej 7."
"A1052D2E4DCD7FA0922FFB81EB4B3FF0","CodexCharactersDT","Nieoczekiwanie, Rasputin odwiedził mnie w domu. Wciąż nawiedzają go niepokojące wizje. Poznał też pewien sekret, ale nie chciał go jeszcze zdradzić. Mamy się spotkać u państwa Nadarzyńskich, jego gospodarzy, na Powązkach."
"B0FB436C4EEAAF248B907E89E3B41750","CodexCharactersDT","Zaczął gromadzić wokół siebie intrygującą gromadkę... No właśnie, kogo? Przyjaciół? Kumpli od kieliszka? Wyznawców? Pochodzą z różnych środowisk, zbierają się u Nadarzyńskich i ostro balują."
"3E36E28D4E1E88757BA05BA9C8622211","CodexCharactersDT","Nie spodziewałem się, że Rasputin powita mnie przemową, podziękuje za moją pomoc i zdradzi sekret carskiej rodziny. Jeszcze ta jego wizja... Mówił coś o cerkwi."
"F4B3115D48DFD8070352A6BBF459A51F","CodexCharactersDT","Nareszcie szczerze porozmawialiśmy. Nawet, jeśli mam wątpliwości co do czystości jego intencji, mam wobec niego dług. Bardzo zależy mu na tym, bym pomógł wypełnić plan."
"FF524C2D46D49F3B19BEF381CD0247ED","CodexCharactersDT","Ten człowiek naprawdę wie, jak wzbudzać w tłumie skrajne emocje. Najpierw dokonał ""cudu"" uzdrawiając Szymka, po czym sprowokował zamieszki kontrowersyjną przemową."
"0FC0227E4E7D3DBD43AC9AB75DC6A493","CodexCharactersDT","Więź która połączyła mnie i Rasputina skrywa wiele tajemnic. W jaki sposób, ktoś kto nie jest thaumaturgiem, może z taką łatwością zaglądać do mojego umysłu? Emir naległa, żebym zerwał to połączenie."
"192C3E5E44CC46129BC803878C71EB18","CodexCharactersDT","Dowiedziałem się od Lazarewa, że Rasputin przebywa na Powiślu. Czy w końcu wyniósł się na stałe od Nadarzyńskich? Podobno mnie tam oczekuje."
"A5B438214591C5827F5F0FA095E52C63","CodexCharactersDT","Rasputin zorganizował sobie ucztę tuż pod drzwiami lupanaru. Jakie to dla niego typowe. Musi mu zależeć na tym, aby wieść o tym wydarzeniu dotarła do szerszego grona."
"B21BDCAD415F85EC9F39D99B6FCA5BE3","CodexCharactersDT","W jednej chwili jest. W drugiej go nie ma. Gdy tylko zniknął za drzwiami burdelu, doszło do wybuchu. Jak do tego doszło? Czy Rasputin zginął? Przecież nie mógł tego przeżyć... Prawda?"
"479C04934146606A45F412A3594CD4B9","CodexCharactersDT","Po przebudzeniu znalazłem na stoliku nocnym tajemniczy liścik. Cytat z Biblii, brak podpisu, enigmatyczna wiadomość... Pachnie mi to Rasputinem. Wiedziałem."
"6E220E8D48319349188091A2A3615FA6","CodexCharactersDT","Tam, gdzie niegdyś stał dom uciech, dziś są tylko zgliszcza. I ołtarzyk na cześć Rasputina. Ludzie przychodzą tu, by opłakać jego i swych bliskich, którzy również zginęli. Również? No właśnie... Ciało, które opłakują nie należy do Rasputina, choć wszyscy zdają się w to wierzyć..."
"FC9C18CE418B96BB08113F86CFF9483C","CodexCharactersDT","Rasputin żyje. I chce mnie sprawdzić. Moją lojalność i granice tego, jak daleko się posunę. Czuję, że mi nie ufa. Dałem mu chyba ku temu kilka powodów."
"2A4555984B3B0E0B528CC8804A58C4F7","CodexCharactersDT","Rasputin żyje. I chce, abym pozbył się z planszy niepotrzebnych pionków. Ufa mi. Tylko mi. Nie ma u jego boku miejsca dla nikogo poza mną."
"C9A8ED6E4D70EB70E0DCC78E399CA0D4","CodexCharactersDT","Plan Rasputina się powiódł. Dobrze odegrał swoją rolę mesjasza, ""zmartwychwstając"" i  ""uleczając"" carewicza, co zagwarantowało nam miejsce na carskim dworze. Los nam sprzyja."
